day	week	month	year	mu	sigma	nu	P3	P10	P25	P50	P75	P90	P97	SDM2	SDM1	SD0	SDP1	SDP2
14	2	0,46	0,0383	8,81	0,3126	1,3917	3,15	5,07	6,91	8,81	10,57	12,07	13,49	2,78	5,94	8,81	11,39	13,76
21	3	0,69	0,0575	10,59	0,2801	1,4418	4,32	6,49	8,52	10,59	12,50	14,12	15,64	3,88	7,46	10,59	13,38	15,94
28	4	0,92	0,0767	12,27	0,2526	1,4891	5,61	7,96	10,10	12,27	14,28	15,97	17,56	5,12	8,98	12,27	15,20	17,87
35	5	1,15	0,0958	13,87	0,2291	1,5331	6,99	9,43	11,64	13,87	15,93	17,67	19,30	6,47	10,48	13,87	16,87	19,61
42	6	1,38	0,1150	15,39	0,2089	1,5722	8,42	10,89	13,13	15,39	17,47	19,23	20,89	7,89	11,95	15,39	18,43	21,21
49	7	1,61	0,1342	16,83	0,1916	1,6049	9,86	12,32	14,56	16,83	18,92	20,69	22,36	9,33	13,39	16,83	19,88	22,68
56	8	1,84	0,1533	18,20	0,1767	1,6304	11,29	13,72	15,94	18,20	20,29	22,06	23,73	10,77	14,77	18,20	21,25	24,05
63	9	2,07	0,1725	19,50	0,1640	1,6487	12,68	15,07	17,26	19,50	21,59	23,36	25,02	12,17	16,11	19,50	22,55	25,35
70	10	2,30	0,1916	20,75	0,1531	1,6607	14,03	16,36	18,53	20,75	22,82	24,59	26,25	13,53	17,39	20,75	23,78	26,57
77	11	2,53	0,2108	21,94	0,1436	1,6676	15,32	17,61	19,74	21,94	24,00	25,76	27,42	14,84	18,61	21,94	24,95	27,74
84	12	2,76	0,2300	23,07	0,1354	1,6706	16,56	18,80	20,90	23,07	25,12	26,87	28,53	16,09	19,79	23,07	26,07	28,85
91	13	2,99	0,2491	24,16	0,1283	1,6711	17,74	19,94	22,01	24,16	26,20	27,94	29,59	17,28	20,91	24,16	27,14	29,91
98	14	3,22	0,2683	25,21	0,1220	1,6698	18,87	21,03	23,07	25,21	27,23	28,96	30,61	18,42	21,99	25,21	28,17	30,93
105	15	3,45	0,2875	26,21	0,1165	1,6673	19,95	22,07	24,09	26,21	28,22	29,95	31,59	19,51	23,02	26,21	29,15	31,91
112	16	3,68	0,3066	27,17	0,1117	1,6636	20,98	23,07	25,07	27,17	29,17	30,89	32,53	20,55	24,01	27,17	30,10	32,85
119	17	3,91	0,3258	28,10	0,1074	1,6589	21,97	24,04	26,01	28,10	30,09	31,81	33,44	21,55	24,97	28,10	31,02	33,76
126	18	4,14	0,3450	28,99	0,1035	1,6533	22,92	24,96	26,92	28,99	30,98	32,69	34,33	22,50	25,88	28,99	31,90	34,65
133	19	4,37	0,3641	29,86	0,1001	1,6471	23,84	25,85	27,80	29,86	31,83	33,54	35,18	23,42	26,77	29,86	32,76	35,50
140	20	4,60	0,3833	30,70	0,0970	1,6403	24,71	26,71	28,64	30,70	32,66	34,37	36,01	24,30	27,62	30,70	33,59	36,33
147	21	4,83	0,4025	31,50	0,0942	1,6330	25,56	27,54	29,46	31,50	33,47	35,17	36,81	25,15	28,44	31,50	34,39	37,13
154	22	5,06	0,4216	32,29	0,0917	1,6255	26,37	28,34	30,25	32,29	34,25	35,95	37,59	25,97	29,24	32,29	35,17	37,91
161	23	5,29	0,4408	33,05	0,0894	1,6178	27,16	29,12	31,02	33,05	35,01	36,71	38,35	26,76	30,01	33,05	35,93	38,67
168	24	5,52	0,4600	33,79	0,0873	1,6100	27,92	29,87	31,76	33,79	35,75	37,45	39,09	27,52	30,75	33,79	36,67	39,41
175	25	5,75	0,4791	34,51	0,0854	1,6022	28,66	30,59	32,48	34,51	36,46	38,17	39,81	28,26	31,48	34,51	37,38	40,13
182	26	5,98	0,4983	35,21	0,0837	1,5946	29,37	31,30	33,18	35,21	37,16	38,87	40,52	28,98	32,18	35,21	38,08	40,84
189	27	6,21	0,5175	35,89	0,0821	1,5870	30,06	31,98	33,86	35,89	37,84	39,55	41,20	29,67	32,86	35,89	38,77	41,53
196	28	6,44	0,5366	36,55	0,0807	1,5797	30,73	32,65	34,53	36,55	38,51	40,22	41,87	30,34	33,53	36,55	39,43	42,20
203	29	6,67	0,5558	37,20	0,0793	1,5725	31,38	33,29	35,17	37,20	39,16	40,88	42,53	30,99	34,17	37,20	40,08	42,86
210	30	6,90	0,5749	37,83	0,0781	1,5656	32,01	33,92	35,80	37,83	39,79	41,51	43,17	31,62	34,80	37,83	40,72	43,50
217	31	7,13	0,5941	38,44	0,0770	1,5588	32,63	34,54	36,42	38,44	40,41	42,14	43,80	32,24	35,42	38,44	41,34	44,13
224	32	7,36	0,6133	39,04	0,0759	1,5523	33,23	35,14	37,02	39,04	41,02	42,75	44,42	32,84	36,02	39,04	41,95	44,75
231	33	7,59	0,6324	39,63	0,0749	1,5460	33,81	35,72	37,60	39,63	41,61	43,34	45,02	33,42	36,60	39,63	42,54	45,35
238	34	7,82	0,6516	40,21	0,0740	1,5399	34,38	36,29	38,17	40,21	42,19	43,93	45,61	33,99	37,17	40,21	43,13	45,94
245	35	8,05	0,6708	40,77	0,0731	1,5340	34,94	36,85	38,73	40,77	42,76	44,50	46,19	34,55	37,73	40,77	43,70	46,52
252	36	8,28	0,6899	41,32	0,0723	1,5284	35,48	37,40	39,28	41,32	43,31	45,06	46,75	35,10	38,28	41,32	44,25	47,09
259	37	8,51	0,7091	41,86	0,0715	1,5230	36,02	37,93	39,82	41,86	43,86	45,61	47,31	35,63	38,81	41,86	44,80	47,64
266	38	8,74	0,7283	42,39	0,0707	1,5178	36,54	38,45	40,34	42,39	44,39	46,15	47,85	36,15	39,33	42,39	45,34	48,19
273	39	8,97	0,7474	42,91	0,0700	1,5128	37,05	38,96	40,86	42,91	44,91	46,68	48,38	36,66	39,85	42,91	45,86	48,72
280	40	9,20	0,7666	43,42	0,0693	1,5081	37,55	39,47	41,36	43,42	45,42	47,19	48,91	37,16	40,35	43,42	46,38	49,24
287	41	9,43	0,7858	43,92	0,0687	1,5036	38,04	39,96	41,86	43,92	45,93	47,70	49,42	37,65	40,84	43,92	46,88	49,76
294	42	9,66	0,8049	44,40	0,0681	1,4993	38,52	40,44	42,34	44,40	46,42	48,20	49,92	38,13	41,33	44,40	47,38	50,26
301	43	9,89	0,8241	44,88	0,0674	1,4952	38,99	40,92	42,82	44,88	46,90	48,68	50,41	38,61	41,80	44,88	47,86	50,75
308	44	10,12	0,8433	45,36	0,0669	1,4913	39,46	41,38	43,29	45,36	47,38	49,16	50,90	39,07	42,27	45,36	48,34	51,24
315	45	10,35	0,8624	45,82	0,0663	1,4876	39,92	41,84	43,75	45,82	47,84	49,63	51,37	39,53	42,73	45,82	48,81	51,71
322	46	10,58	0,8816	46,27	0,0657	1,4841	40,36	42,29	44,20	46,27	48,30	50,09	51,83	39,98	43,18	46,27	49,27	52,18
329	47	10,81	0,9008	46,72	0,0652	1,4809	40,81	42,73	44,64	46,72	48,75	50,55	52,29	40,42	43,62	46,72	49,72	52,63
336	48	11,04	0,9199	47,16	0,0647	1,4778	41,24	43,17	45,08	47,16	49,19	50,99	52,74	40,85	44,06	47,16	50,16	53,08
343	49	11,27	0,9391	47,59	0,0642	1,4749	41,67	43,59	45,51	47,59	49,63	51,43	53,18	41,28	44,49	47,59	50,60	53,52
350	50	11,50	0,9582	48,01	0,0637	1,4723	42,09	44,01	45,93	48,01	50,05	51,86	53,61	41,70	44,91	48,01	51,02	53,96
357	51	11,73	0,9774	48,43	0,0632	1,4698	42,50	44,43	46,34	48,43	50,47	52,28	54,03	42,11	45,32	48,43	51,44	54,38
364	52	11,96	0,9966	48,84	0,0627	1,4676	42,91	44,84	46,75	48,84	50,88	52,69	54,45	42,52	45,73	48,84	51,86	54,80
371	53	12,19	1,0157	49,24	0,0622	1,4655	43,31	45,24	47,15	49,24	51,29	53,10	54,86	42,92	46,13	49,24	52,26	55,20
378	54	12,42	1,0349	49,64	0,0618	1,4637	43,70	45,63	47,55	49,64	51,69	53,50	55,26	43,32	46,53	49,64	52,66	55,61
385	55	12,65	1,0541	50,03	0,0613	1,4620	44,09	46,02	47,94	50,03	52,08	53,89	55,65	43,71	46,92	50,03	53,05	56,00
392	56	12,88	1,0732	50,41	0,0608	1,4605	44,48	46,41	48,32	50,41	52,46	54,28	56,04	44,09	47,30	50,41	53,44	56,39
399	57	13,11	1,0924	50,79	0,0604	1,4592	44,86	46,78	48,70	50,79	52,84	54,66	56,42	44,47	47,68	50,79	53,82	56,77
406	58	13,34	1,1116	51,16	0,0600	1,4580	45,23	47,16	49,07	51,16	53,21	55,03	56,79	44,84	48,05	51,16	54,19	57,14
413	59	13,57	1,1307	51,53	0,0595	1,4570	45,60	47,52	49,44	51,53	53,58	55,39	57,16	45,21	48,42	51,53	54,56	57,51
420	60	13,80	1,1499	51,89	0,0591	1,4561	45,96	47,89	49,80	51,89	53,94	55,75	57,52	45,58	48,78	51,89	54,91	57,87
427	61	14,03	1,1691	52,24	0,0587	1,4553	46,32	48,24	50,16	52,24	54,29	56,11	57,87	45,93	49,13	52,24	55,27	58,22
434	62	14,26	1,1882	52,59	0,0583	1,4547	46,67	48,60	50,51	52,59	54,64	56,45	58,22	46,29	49,49	52,59	55,62	58,57
441	63	14,49	1,2074	52,94	0,0578	1,4542	47,02	48,94	50,85	52,94	54,98	56,80	58,56	46,64	49,83	52,94	55,96	58,91
448	64	14,72	1,2266	53,27	0,0574	1,4538	47,37	49,28	51,19	53,27	55,32	57,13	58,90	46,98	50,17	53,27	56,30	59,24
455	65	14,95	1,2457	53,61	0,0570	1,4535	47,71	49,62	51,53	53,61	55,65	57,46	59,23	47,32	50,51	53,61	56,63	59,57
462	66	15,18	1,2649	53,94	0,0566	1,4534	48,04	49,95	51,86	53,94	55,98	57,79	59,55	47,66	50,84	53,94	56,95	59,90
469	67	15,41	1,2841	54,26	0,0562	1,4533	48,37	50,28	52,18	54,26	56,30	58,11	59,87	47,99	51,17	54,26	57,27	60,22
476	68	15,64	1,3032	54,58	0,0559	1,4533	48,70	50,60	52,50	54,58	56,62	58,42	60,18	48,31	51,49	54,58	57,59	60,53
483	69	15,87	1,3224	54,89	0,0555	1,4533	49,02	50,92	52,82	54,89	56,93	58,73	60,49	48,64	51,81	54,89	57,90	60,84
490	70	16,10	1,3415	55,20	0,0551	1,4535	49,34	51,24	53,13	55,20	57,23	59,04	60,79	48,95	52,12	55,20	58,20	61,14
497	71	16,33	1,3607	55,50	0,0547	1,4537	49,65	51,55	53,44	55,50	57,54	59,34	61,09	49,27	52,43	55,50	58,51	61,44
504	72	16,56	1,3799	55,81	0,0544	1,4539	49,96	51,85	53,74	55,81	57,83	59,63	61,39	49,58	52,73	55,81	58,80	61,73
511	73	16,79	1,3990	56,10	0,0540	1,4542	50,26	52,15	54,04	56,10	58,13	59,93	61,68	49,88	53,03	56,10	59,09	62,02
518	74	17,02	1,4182	56,39	0,0536	1,4546	50,56	52,45	54,34	56,39	58,42	60,21	61,96	50,18	53,33	56,39	59,38	62,31
525	75	17,25	1,4374	56,68	0,0533	1,4551	50,86	52,75	54,63	56,68	58,70	60,50	62,24	50,48	53,62	56,68	59,67	62,59
532	76	17,48	1,4565	56,97	0,0530	1,4555	51,15	53,04	54,91	56,97	58,98	60,77	62,52	50,78	53,91	56,97	59,95	62,86
539	77	17,71	1,4757	57,25	0,0526	1,4561	51,44	53,32	55,20	57,25	59,26	61,05	62,79	51,07	54,20	57,25	60,22	63,14
