# ADDED DEC 1, 2022, SVB
# NOTE: THIS DATASET IS INVALIDAT BY WRONG ITEM MAPPING
# DO NOT USE

Start Item?	Phase 2 order	Phase 1 order	tau	label	Domain	gsed2 variable name	old gsed variable name
0-2 months	SF001	SF4	5,4	Does your child smile?	sem	gpasec004	mdtsed001
	SF002	SF6	7,43	When lying on his/her back, does your child move his/her arms and legs?	motor	gpamoc006	cromoc008
	SF003	SF15	7,83	Does your child look at your face when you speak to him/her?	sem	gpasec015	crosec002
	SF004	SF1	8,68	Does your child cry when he/she is hungry, wet, tired, or wants to be held?	lang	gpalac001	gsdlac001
	SF005	SF3	9,93	Does your child grasp your finger if you touch her hand?	motor	gpafmc003	gsdfmc003
	SF006	SF2	11,06	Does your child look at and focus on objects in front of him/her?	cog	gpacgc002	gsdcgc002
	SF007	SF11	11,61	Does your child bring his/her hand to his/her mouth?	motor	gpamoc011	cromoc007
	SF008	SF5	12,26	Does your child try to move his/her head (or eyes) to follow an object or person?	motor	gpamoc005	iyomoc001
	SF009	SF10	12,4	Does your child smile when you smile or talk with him/her?	sem	gpasec010	iyosec004
	SF010	SF7	12,44	Does your child look at a person when that person starts talking or making noise?	lang	gpaclc007	croclc001
	SF011	SF16	12,94	Does your child stop crying or calm down when you come to the room after being out of sight, or when you pick him or her up?	sem	gpasec016	iyosec001
	SF012	SF12	13,39	When you talk to your child, does he/she smile, make noises, or move arms, legs or trunk in response?	lang	gpalgc012	iyolgc002
	SF013	SF14	14,91	When you are about to pick up your child, does he/she act happy or excited?	sem	gpasec014	iyosec002
	SF014	SF21	16,6	Does your child turn his/her head towards your voice or some noise?	lang	gpalgc021	iyolgc001
	SF015	SF26	17,15	Does your child grasp onto a small object (e.g., your finger, a spoon) when put in his/her hand?	motor	gpamoc026	cromoc006
	SF016	SF9	19,11	Does your child make sounds other than crying?	lang	gpalac009	gsdlac004
	SF017	SF20	19,27	Does your child sometimes suck his/her thumb or fingers?	sem	gpasec020	crosec004
3 - 5 months	SF018	SF17	19,49	While your child is on his/her back, can he/she bring his/her hands together?	motor	gpamoc017	iyomoc002
	SF019	SF25	19,81	Does your child move excitedly, kick legs, move arms or trunk, or make coo noises when a known person enters the room or speaks to them?	sem	gpasec025	iyosec005
	SF020	SF19	19,88	Does your child make noise or gesture to get your attention?	lang	gpalgc019	iyolgc005
	SF021	SF31	20,69	If you play a game with your child, does he/she respond with interest? For example, if you play peek-a-boo, pat-a-cake, wave bye-bye, etc. does your child smile, widen their eyes, kick or move arms or vocalize?	sem	gpasec031	iyosec003
	SF022	SF33	21,08	Does your child recognize you or other family members (e.g., smile when they enter a room or move toward them)?	sem	gpaclc033	croclc014
	SF023	SF23	21,14	Does your child laugh?	lang	gpaclc023	croclc006
	SF024	SF32	21,48	Does your child smile or become excited when seeing someone familiar?	sem	gpasec032	crosec003
	SF025	SF13	22,39	When your child is on his/her stomach, can he/she turn his/her head to the side?	motor	gpagmc013	gsdgmc005
	SF026	SF22	22,5	Does your child make sounds when LOOKING at toys or people (not crying)?	lang	gpalgc022	iyolgc003
	SF027	SF45	23,2	Is your child interested when he/she sees other children playing? Does she or he watch, smile, or look excited?	sem	gpasec045	iyosec006
	SF028	SF8	24,26	Does your child hold his/her hands in fists all the time?	motor	gpamoc008	cromoc001
	SF029	SF24	24,49	Can your child hold his/her head steady for at least a few seconds, without it flopping to the side?	motor	gpamoc024	iyomoc004
	SF030	SF37	26,3	When held in a sitting position, can the child hold his/her head steady and straight?	motor	gpamoc037	cromoc002
	SF031	SF18	26,85	When your child is on his/her stomach, can he/she hold his/her head up off the ground?	motor	gpagmc018	gsdgmc006
6-8 months	SF032	SF34	28,62	Does your child show interest in new objects that are put in front of him/her by reaching out for them?	cog	gpaclc034	croclc004
	SF033	SF29	29,55	When he/she is on his/her tummy, can your child hold his/her head straight up, looking around for more than a few seconds? He/she can rest on his/her arms while doing this.	motor	gpamoc029	iyomoc005
	SF034	SF30	30,29	Can your child roll from his/her back to stomach or stomach to his/her side?	motor	gpagmc030	gsdgmc007
	SF035	SF35	31,02	Can your child reach for AND HOLD an object, at least for a few seconds?	motor	gpamoc035	iyomoc007
	SF036	SF39	31,08	Can your child eat food from your fingers or off a spoon you hold?	life	gpasec039	mdtsed006
	SF037	SF27	31,1	Does your child make single sounds like 'buh' or 'duh' or 'muh'?	lang	gpalgc027	iyolgc004
	SF038	SF44	31,29	Can your child sit with support, either leaning against something (furniture or person), or by leaning forward on his or her hands?	motor	gpamoc044	iyomoc008
	SF039	SF28	31,3	Does your child try to reach for objects that are in front of him/her by extending one or both arms?	motor	gpamoc028	iyomoc006
	SF040	SF40	31,4	Can your child pick up a small object (e.g., a small toy or small stone) using just one hand?	motor	gpamoc040	cromoc012
	SF041	SF42	31,84	When lying on his/her stomach, can your child hold his/her head and chest off the ground using only his/her hands and arms for support?	motor	gpamoc042	cromoc005
	SF042	SF41	31,98	If an object falls to the ground out of view, does your child look for it?	cog	gpamoc041	iyomoc009
	SF043	SF43	32,38	When lying on his/her back, does the child grab his/her feet?	motor	gpamoc043	cromoc009
	SF044	SF38	32,59	Can your child roll from his/her back to stomach, or stomach to back, on his/her own?	motor	gpamoc038	cromoc010
	SF045	SF47	33,39	Does your child play by tapping an object on the ground or a table?	motor	gpaclc047	croclc007
	SF046	SF46	33,46	Does the child look for an object of interest when it is removed from sight or hidden from him/her (e.g., put under a cover, behind another object)?	cog	gpaclc046	croclc008
	SF047	SF49	33,6	Can your child hold him/herself in a sitting position without help or support for longer than a few seconds?	motor	gpamoc049	cromoc011
	SF048	SF48	34,47	Does your child intentionally move or change his/her position to get objects that are out of reach?	motor	gpaclc048	croclc011
9-11 months	SF049	SF51	34,56	Does your child make two similar sounds together like baba, mumu, pepe, didi (single consonant vowel combinations)?	lang	gpalgc051	iyolgc006
	SF050	SF36	34,73	When you put your child on the floor, can she lean on her hands while sitting? (If she already sits up straight without leaning on her hands, mark 'yes' for this item.).	motor	gpagmc036	aqigmc012
	SF051	SF52	36,38	Can your child pass a small object from one hand to the other?	motor	gpamoc052	iyomoc012
	SF052	SF50	38,15	Can your child bang objects together, or bang an object on the table or on the ground?	motor	gpamoc050	iyomoc011
	SF053	SF64	36,6	Can your child pick up small bits of food and feed him/her-self using his/her hand?	life	gpasec064	mdtsed012
	SF054	SF58	38,67	Can your child pick up and drop a small object (e.g., a small toy or small stone) into a bucket or bowl while sitting?	motor	gpamoc058	cromoc022
	SF055	SF54	38,84	Can your child maintain a standing position while holding on to a person or object (e.g., wall or furniture)?	motor	gpamoc054	cromoc015
	SF056	SF53	39,66	Can your child pick up a small object (e.g., a piece of food, small toy or small stone) with just his/her thumb and one finger?	motor	gpamoc053	cromoc019
	SF057	SF56	41,26	Can your child pull themselves up from the floor while holding onto something? For example, can they pull themselves up using a chair, a person, or some other object?	motor	gpamoc056	iyomoc016
12-14 months	SF058	SF59	41,85	Does your child stop what he/she is doing when you say 'Stop!' even if just for a second?	lang	gpalgc059	mdtlgd008
	SF059	SF60	42,97	Can your child walk several steps while holding on to a person or object (e.g., wall or furniture)?	motor	gpamoc060	cromoc018
	SF060	SF55	44,09	While holding onto furniture, does your child bend down and pick up a small object from the floor and then return to a standing position?	motor	gpagmc055	aqigmc021
	SF061	SF57	44,33	While holding onto furniture, does your child squat with control (without falling or flopping down)?	motor	gpagmc057	aqigmc020
	SF062	SF68	45,1	Does your child make a gesture to indicate 'No' (e.g., shaking head)?	lang	gpalgc068	mdtlgd009
	SF063	SF82	45,57	Even if your child is unable to do singing games, does he/she enjoy them and want to be a part of them?	sem	gpasec082	mdtsed016
	SF064	SF61	46,67	Can your child stand up without holding onto anything, even if just for a few seconds?	motor	gpamoc061	iyomoc020
15-17 months	SF065	SF75	47,18	Does your child put his/her hands out to have them washed?	life	gpasec075	mdtsed013
	SF066	SF62	47,83	Can your child maintain a standing position on his/her own, without holding on or receiving support?	motor	gpamoc062	cromoc017
