lex_gcdg	instrument	equate	domain	label	tau
acom22	ASQ-I	NA	Communication	says 3 words such as mama dada and baba	44.2960254233313
acom23	ASQ-I	NA	Communication	points to something when wants it	46.7659877333966
acom27	ASQ-I	NA	Communication	goes into another room to find toy or object	50.5317244840477
acom33	ASQ-I	NA	Communication	says 15 or more words in addition to mama and dada	58.7464041848225
acom37	ASQ-I	NA	Communication	tells caregiver what is happening in the picture	67.3394543394251
acom38	ASQ-I	NA	Communication	says first name or nickname	65.8174184495705
acom40	ASQ-I	NA	Communication	makes sentences that are 3 or 4 words long	65.6702578534336
acom41	ASQ-I	NA	Communication	follows 3 directions that are unrelated to one another	70.3570921985501
acom61	ASQ-I	NA	Communication	says both her first and last names	70.6454137422871
af15	ASQ-I	FM17	Fine Motor	tries to pick up crumb using thumb and fingers in raking motion	35.9051112193251
af25	ASQ-I	FM31	Fine Motor	stacks a block or toy on top of another one	53.1720119368344
af33	ASQ-I	FM43	Fine Motor	copies caregiver by drawing a circle	69.6607103240288
ag12	ASQ-I	NA	Gross Motor	leans on hands while sitting	35.8421866371142
ag17	ASQ-I	NA	Gross Motor	gets into crawling position by getting up on hands and knees	40.5607548229316
ag18	ASQ-I	NA	Gross Motor	holds onto crib rail without leaning his chest for support	41.2009783715911
ag20	ASQ-I	NA	Gross Motor	lowers with control while holding onto furniture	44.3878334729774
ag21	ASQ-I	NA	Gross Motor	bends down picks up toy and returns to standing position	43.2843294692623
ag22	ASQ-I	NA	Gross Motor	walks beside furniture while holding on with one hand	46.7901308086539
ag23	ASQ-I	NA	Gross Motor	takes several steps forwards when held with one hand	46.5653142282094
ag24	ASQ-I	NA	Gross Motor	bends over to pick up object and stands up without support	50.0692403714546
ag25	ASQ-I	NA	Gross Motor	climbs onto furniture or other large objects  	50.135321903698
ag26	ASQ-I	NA	Gross Motor	stands up in middle of floor and takes steps forward	50.7724258273122
ag27	ASQ-I	NA	Gross Motor	moves around by walking rather than crawling	50.6211004701494
ag29	ASQ-I	NA	Gross Motor	climbs on object such as chair to reach something	52.7332861405613
apbs21	ASQ-I	COG135	Problem Solving	drops 2 toys one after another into container	46.9500810162201
apbs23	ASQ-I	COG137	Problem Solving	copies caregiver by scribbling	50.1936762393382
apbs37	ASQ-I	FM52	Problem Solving	copies caregiver by making bridge with blocks boxes or cans	67.8017325080839
apbs38	ASQ-I	COG147	Problem Solving	repeats just 2 numbers in the same order	69.4798634354269
apbs43	ASQ-I	COG151	Problem Solving	tells caregiver what she drew	66.5159498600929
b1m39	Bayley1	NA	NA	Fingers hand in play	36.2891030942417
b1m44	Bayley1	COG17	Cognitive	Carries ring to mouth	36.8103990608857
b1m46	Bayley1	NA	NA	Closes on dangling ring (check hand preference)	34.6779880098004
b1m47	Bayley1	REC6	Receptive	turns head to sound of bell	30.9034135848916
b1m51	Bayley1	NA	NA	eye-hand coordination in reaching	33.6629268132561
b1m54	Bayley1	NA	NA	picks up cube (check hand preference)	35.1625215441973
b1m56	Bayley1	COG30	Cognitive	retains 2 cubes	36.9048002944929
b1m57	Bayley1	NA	NA	exploitive paper play	34.2876402386497
b1m58	Bayley1	NA	NA	Discriminates strangers	36.1602906235497
b1m60	Bayley1	NA	NA	reaches persistently	37.9260868794968
b1m62	Bayley1	NA	NA	turns head after fallen spoon	37.7495485961283
b1m63	Bayley1	NA	NA	lifts inverted cup	35.9767749779707
b1m64	Bayley1	COG27	Cognitive	reaches for second cube	36.2722016966791
b1m65	Bayley1	COG93	Cognitive	smiles at mirror (5.4 months)	38.476000975598
b1m66	Bayley1	COG24	Cognitive	bangs in play	35.2846786606311
b1m67	Bayley1	COG95	Cognitive	sustained inspection of ring	37.5399171076187
b1m68	Bayley1	COG23	Cognitive	exploitive string play	36.0106676981402
b1m69	Bayley1	FM21	Fine Motor	transfers objects hand to hand	36.5260372401551
b1m70	Bayley1	FM67	Fine Motor	picks up cube deftly and directly	38.6716436995934
b1m71	Bayley1	COG96	Cognitive	pulls string: secures ring	37.0590619069245
b1m72	Bayley1	REC51	Receptive	interest in sound production	36.0706491805981
b1m73	Bayley1	FM25	Fine Motor	lifts cup with handle	38.600056245409
b1m78	Bayley1	COG26	Cognitive	manipulates bell: insterest in details	38.9205109023654
b1m79	Bayley1	EXP49	Expressive	vocalizes 4 different syllables	41.4987752675422
b1m80	Bayley1	COG29	Cognitive	pulls string adaptively: secures ring	39.9610696078516
b1m82	Bayley1	COG37	Cognitive	attempts to secure 3 cubes	43.6326971791102
b1m83	Bayley1	COG31	Cognitive	rings bell purposely	40.8557834096566
b1m85	Bayley1	EXP10	Expressive	says "da-da" or equivalent	42.3130834169387
b1m86	Bayley1	COG28	Cognitive	Uncovers toy (check manual if by pulling cloth	43.579967588554
b1m87	Bayley1	COG38	Cognitive	fingers holes in pegboard	42.7925933217207
b1m88	Bayley1	COG100	Cognitive	picks up cup, secures cube	42.8248827659625
b1m89	Bayley1	REC14	Receptive	responds to verbal request	46.5860708674889
b1m90	Bayley1	COG36	Cognitive	puts cube in cup on command	44.5286386424398
b1m91	Bayley1	COG101	Cognitive	looks for content of box	43.4054479058087
b1m94	Bayley1	REC12	Receptive	inhibits on command	46.3789721542824
b1m95	Bayley1	FM69	Fine Motor	attempting to imitate scribble	47.4729586969438
b1m96	Bayley1	COG102	Cognitive	unwraps cube	49.2135337471222
b1m97	Bayley1	NA	NA	repeats performance laughed at	46.6325457289203
b1m98	Bayley1	FM28	Fine Motor	holds crayon adaptively	47.7957296773184
b1m99	Bayley1	COG39	Cognitive	pushes car along	46.1972920709436
b1m100	Bayley1	COG103	Cognitive	puts 3 or more cubes in cup	47.1198965236164
b1m101	Bayley1	EXP12	Expressive	jabbers expressively	48.719674801126
b1m102	Bayley1	COG104	Cognitive	uncovers blue box	46.5758022871287
b1m103	Bayley1	FM27	Fine Motor	turns pages of books	46.2307852068883
b1m104	Bayley1	COG44	Cognitive	Pats toy (whistle doll) in imitation	49.0015471133412
b1m105	Bayley1	COG41	Cognitive	dangles ring by string	48.8126741398447
b1m106	Bayley1	EXP16	Expressive	imitates words	51.0268860598189
b1m107	Bayley1	FM70	Fine Motor	puts beads in box (6 of 8)	47.861334066354
b1m108	Bayley1	COG47	Cognitive	places 1 peg repeateadly	49.6641527319046
