item	instrument	domain	mode	number	equate	label
aqicmc001	aqi	cm	c	001		Does your baby sometimes make throaty or gurgling sounds?
aqicmc002	aqi	cm	c	002		After you have been out of sight, does your baby smile or get excited when she sees you?
aqicmc003	aqi	cm	c	003		Does your baby make cooing sounds such as "ooo", "gah," and  "ah"?
aqicmc004	aqi	cm	c	004		Does your baby make high-pitched squeals?
aqicmc006	aqi	cm	c	006		When you speak to your baby, does she make sounds back to you?
aqicmc007	aqi	cm	c	007		Does your baby laugh?
aqicmc008	aqi	cm	c	008		Does your baby make sounds when looking at toys or people?
aqicmc009	aqi	cm	c	009		If you call your baby when you are out of sight, does she look in the direction of your voice?
aqicmc010	aqi	cm	c	010		When a loud noise occurs, does your baby turn to see where the sound came from?
aqicmc012	aqi	cm	c	012		When playing with sounds, does your baby make grunting, growling, or other deep-toned sounds?
aqicmc013	aqi	cm	c	013		Does your baby respond to the tone of your voice and stop her activity at least briefly when you say "no-no" to her?
aqicmc014	aqi	cm	c	014		Does your baby make sounds like "da," "ga," "ka," and "ba"?
aqicmc015	aqi	cm	c	015		If you copy the sounds your baby makes, does your baby repeat the sounds back to you?
aqicmc016	aqi	cm	c	016		Does your baby make two similar sounds like "ba-ba," "da-da," or "ga-ga"? (The sounds do not need to mean anything.)
aqicmc017	aqi	cm	c	017		Does your baby stop crying when she hears a voice other than yours?
aqicmc018	aqi	cm	c	018		If you ask your baby to, does he play at least one nursery game even if you don't show him the activity yourself (such as "bye-bye," "Peekaboo," "clap your hands," "So Big")?
aqicmc020	aqi	cm	c	020		When you ask, "Where is the ball (hat, shoe, etc.)?" does your baby look at the object? (Make sure the object is present. Mark "yes" if she knows one object.)
aqicmc021	aqi	cm	c	021		Does your baby follow one simple command, such as "Come here," "Give it to me," or "Put it back," without your using gestures?
aqicmc022	aqi	cm	c	022		Does your baby say three words such as "Mama", "Dada" and "Baba"? (A "word" is a sound or sounds your baby says consistently to mean someone or something)
aqicmc023	aqi	cm	c	023		When your child wants something, does she tell you by pointing to it?
aqicmc024	aqi	cm	c	024		Does your baby shake his head when he means "no" or "yes"?
aqicmc025	aqi	cm	c	025		Does your baby/child say four or more words in addition to "Mama" and "Dada"?
aqicmc026	aqi	cm	c	026		Without your giving him clues by pointing or using gestures, can your child carry out at least three of these kinds of directions? A. "Put the toy on the table." B."Close the door." C. "Bring me a towel." D."Find your coat." E."Take my hand." F."Get your book."
aqicmc027	aqi	cm	c	027		When you ask her to, does your baby go into another room to find a familiar toy or object? You might ask, "Where is your ball?" or say, "Bring me your coat" or "Go get your blanket."
aqicmc028	aqi	cm	c	028		When you ask your child to point to her nose, eyes, hair, feet, ears, and so forth, does she correctly point to at least seven body parts? (She can point to parts of herself, you, or a doll.) (Mark "sometimes" if she correctly points to at least three different body parts.)
aqicmc029	aqi	cm	c	029		Without your showing him, does your child point to the correct picture when you say, "Show me the kitty" or ask, "Where is the dog?" (He needs to identify only one picture correctly.)
aqicmc030	aqi	cm	c	030		Does your child say eight or more words in addition to "Mama" and "Dada"?
aqicmc031	aqi	cm	c	031		If you point to a picture of a ball (kitty, cup, hat, etc.) and ask your child, "What is this?" does your child correctly name at least one picture?
aqicmc032	aqi	cm	c	032		Without giving your child help by pointing or using gestures, ask him to "put the book on the table" and "put the shoe under the chair." Does your child carry out both of these directions correctly?
aqicmc033	aqi	cm	c	033		Does your child say 15 or more words in addition to "Mama" and "Dada"?
aqicmc034	aqi	cm	c	034		Show your child how a zipper on a coat moves up and down, and say, "See, this goes up and down." Put the zipper to the middle, and ask your child to move the zipper down. Return the zipper to the middle, and ask your child to move the zipper up. Do this several times, placing the zipper in the middle before asking your child to move it up or down. Does your child consistently move the zipper up when you say "up" and down when you say "down"?
aqicmc035	aqi	cm	c	035		Does your child imitate a two-word sentence? For example, when you say a two-word phrase, such as "Mama eat," "Daddy play," "Go home," or "What's this?" does your child say both words back to you? (Mark "yes" even if his words are difficult to understand.)
aqicmc036	aqi	cm	c	036		Does your child say two or three words that represent different ideas together, such as "See dog," "Mommy come home," or "Kitty gone"? (Don't count word combinations that express one idea, such as "Bye-bye," "All gone," "All right," and "What's that?") Please give an example of your child's word combinations:
aqicmc037	aqi	cm	c	037		When looking at a picture book, does your child tell you what is happening or what action is taking place in the picture? (for example, "barking," "running," "eating," and "crying") You may ask, "What is the dog (or boy) doing?"
aqicmc038	aqi	cm	c	038		When you ask, "What is your name?" does your child say her first name or nickname?
aqicmc039	aqi	cm	c	039		Does your child correctly use at least two words like "me," "I," "mine," and "you"?
