ID.VWO1996	ID.VWO2005	ID.VWO1983	ID.smock	ID.GHAP	occ	labelNL	labelEN	tau	m	LR	hot
v1	v1	v1	v1430	GSFIXEYE	1	Ogen fixeren	Eyes Fixate	5,4	1	0	1
v28	v29	v2	v1431	GSRSPCH	1	Reageert op toespreken (M)	Reacts when spoken to	1,7	1	0	1
v51	v52	v3	v1432	GSMARM	1	Beweegt armen evenveel	Moves arms equally well	-2,2	1	1	0
NA	NA	NA	NA	GSMARMR	1	Beweegt armen evenveel - r	Moves arms equally well - r	NA	1	1	0
NA	NA	NA	v1433	GSMARML	1	Beweegt armen evenveel - l	Moves arms equally well - l	NA	1	1	0
v52	v53	v4	v1434	GSMLEG	1	Beweegt benen evenveel	Moves legs equally well	-1,9	1	1	0
NA	NA	NA	NA	GSMLEGR	1	Beweegt benen evenveel - r	Moves legs equally well - r	NA	1	1	0
NA	NA	NA	v1435	GSMLEGL	1	Beweegt benen evenveel - l	Moves legs equally well - l	NA	1	1	0
v55	v56	v5	v1436	GSLFCHIN	1	Heft kin even van onderlaag	Lifts chin off table for a moment	5,2	1	0	1
v29	v30	v6	v1437	GSSMILE	2	Lacht terug (M)	Smiles in response	11,3	1	0	1
v2	v2	v7	v1438	GSFEYE	2	Volgt met ogen en hoofd	Follows with eyes and head	14,5	1	1	1
NA	NA	NA	NA	GSFEYER	2	Volgt met ogen en hoofd - r	Follows with eyes and head - r	NA	1	1	1
NA	NA	NA	v1439	GSFEYEL	2	Volgt met ogen en hoofd - l	Follows with eyes and head - l	NA	1	1	1
v3	v3	v8	v1440	GSHOPEN	3	Handen af en toe open	Hands occasionally open	16,5	1	1	1
NA	NA	NA	NA	GSHOPENR	3	Handen af en toe open - r	Hands open now and then - r	NA	1	1	1
NA	NA	NA	v1441	GSHOPENL	3	Handen af en toe open - l	Hands open now and then - l	NA	1	1	1
v4	v4	v9	v1442	GSLKHN	3	Kijkt naar eigen handen	Watches own hands	20,7	1	0	1
v30	v31	v10	v1443	GSVOCAL	3	Maakt geluiden terug (M)	Vocalizes in response	14,5	1	0	1
v53	v54	v11	v1444	GSRP	3	Blijft hangen bij optillen onder de oksels	Stays suspended when lifted under armpits	15,8	1	0	0
v56	v57	v12	v1445	GSHH45	3	Heft in buikligging hoofd tot 45	Lifts head to 45 degrees in prone position	20	1	0	1
v31	v32	NA	NA	NA	4	Maakt gevarieerde geluiden (M)	Produces varying sounds	NA	1	0	0
v32	NA	NA	NA	NA	4	Reageert op roepen bij naam (M)	Reacts when called by name	NA	1	0	0
v5	v5	v13	v1446	GSHPLAYM	4	Speelt met handen middenvoor	Plays with hands in midline	28,2	1	0	1
v6	v6	v14	v1447	GSGRP	4	Pakt in rugligging voorwerp	Supine position: grasps object within reach	29,9	1	1	1
NA	NA	NA	NA	GSGRPR	4	Pakt in rugligging voorwerp - r	Graps an object/toy within reach when laying on back - r	NA	1	1	1
NA	NA	NA	v1448	GSGRPL	4	Pakt in rugligging voorwerp - l	Graps an object/toy within reach when laying on back - l	NA	1	1	1
v54	v55	v15	v1449	GSNOHLAG	4	Reacties bij optrekken tot zit (alleen occasion 4!)	Reactions if pulled to sitting	26	1	0	1
na1	NA	v16	v1450	GSTHEAD	4	Draait hoofd naar geluid	Turns head to sound	31,1	1	1	1
NA	NA	NA	NA	GSTHEADR	4	Draait hoofd naar geluid - r	Turns head to sound - r	NA	1	1	1
NA	NA	NA	v1451	GSTHEADL	4	Draait hoofd naar geluid - l	Turns head to sound - l	NA	1	1	1
v58	v59	v17	v1452	GSLBEND	4	Benen gebogen of trappelen bij verticaal zwaaien	Flexes or stomps legs while being swung	25,7	1	1	1
NA	NA	NA	NA	GSLBENDR	4	Benen gebogen of trappelen bij verticaal zwaaien -r	Flexes or stomps legs while being swung -r	NA	1	1	1
NA	NA	NA	v1453	GSLBENDL	4	Benen gebogen of trappelen bij verticaal zwaaien -l	Flexes or stomps legs while being swung - l	NA	1	1	1
v57	v58	v18	v1454	GSHH90	4	Kijkt rond met 90 graden geheven hoofd	Looks around to side with angle face-table 90 degrees	27,8	1	0	1
v7	v7	v19	v1455	GSTTOY	5	Pakt blokje over	Passes cube from hand to hand	36	1	0	1
v8	v8	v20	v1456	GSPTOY	5	Houdt blokje vast, pakt er nog een in andere hand	Holds cube, grasps another one with other hand	36,5	1	0	1
v9	v9	v21	v1457	GSPLFT	5	Speelt met beide voeten	Plays with both feet	33,2	1	1	1
NA	NA	NA	NA	GSPLFTR	5	Speelt met beide voeten -r	"Plays with both feet - r (M; can ask parents)"	NA	1	1	1
NA	NA	NA	v1458	GSPLFTL	5	Speelt met beide voeten -l	"Plays with both feet - l (M; can ask parents)"	NA	1	1	1
v59	v60	v22	v1459	GSROLLS	5	Rolt zich om van rug naar buik en omgekeerd (M)	Rolls over, back and forth	34,7	1	0	1
v60	v61	v23	v1460	GSHHSIT	5	Kan hoofd goed ophouden in zit	Balances head well while sitting	32,5	1	0	1
v61	v62	v24	v1461	GSSITST	5	Zit op billen met gestrekte benen	Sits on buttocks while legs stretched	34,9	1	0	1
v33	v33	v25	v1462	GSSAYS	5	Zegt dada-baba of gaga (M)	"Says ""dada"", ""baba"", or ""gaga"""	36	1	0	1
v35	v35	NA	NA	NA	6	Reageert op mondeling verzoek (M)               	Reacts to verbal request	NA	1	0	0
v62	v63	v26	v1463	GSSITWS	6	Zit stabiel los	Sits in stable position, without support	40	1	0	1
v10	v10	v27	v1464	GSPICK	6	Pakt propje met duim en wijsvinger	Picks up pellet between thumb and index finger	43,1	1	1	1
NA	NA	NA	NA	GSPICKR	6	Pakt propje met duim en wijsvinger -r	Picks up crumb between thumb and index finger -r	NA	1	1	1
NA	NA	NA	v1465	GSPICKL	6	Pakt propje met duim en wijsvinger -l	Picks up crumb between thumb and index finger -l	NA	1	1	1
v63	v64	v28	v1466	GSCRAWL	6	Kruipt vooruit, buik op de grond (M)	Crawls forward, abdomen on the floor	43,1	1	0	1
v64	v65	v29	v1467	GSPULLST	6	Trekt zich op tot staan	Pulls up to standing position	44,3	1	0	1
v36	v36	v30	v1468	GSWAVES	6	Zwaait dag, dag (M)	"Waves ""bye bye"" "	43,1	1	0	1
v34	v34	v31	v1469	GSJABBER	6	Brabbelt bij zijn spel (M)	"Jabbering while playing (M; can ask parents)"	40,9	1	0	1
v38	v38	NA	NA	NA	7	Begrijpt enkele dagelijks gebruikte zinnen	Understands a few daily-used sentences	NA	1	0	0
v11	v11	v32	v1470	GSGETC	7	Doet blokje in/uit doos	Puts cube in and out of a box	46	1	1	1
NA	NA	NA	NA	GSGETCR	7	Doet blokje in/uit doos -r	Puts cube in and out of a box -r	NA	1	1	1
NA	NA	NA	v1471	GSGETCL	7	Doet blokje in/uit doos -l	Puts cube in and out of a box -l	NA	1	1	1
v12	v12	v33	v1472	GSPLAYGT	7	Speelt geven en nemen(M)	"Plays ""give and take"""	46,5	1	0	1
v65	v66	v34	v1473	GSCRBLY	7	Kruipt, buik vrij van de grond (M)	"Crawls, with belly lifted off the ground (M; can ask parents)"	46,1	1	0	1
v66	v67	v35	v1474	GSWALKS	7	Loopt langs (M)	Walks along	46,1	1	0	1
na2	NA	v36	v1475	GSSIMPLE	7	Begrijpt enkele woorden	"Understands some simple words (M; can ask parents)"	45,7	1	0	1
v37	v37	v37	v1476	GSTWOWRD	7	Zegt 2 geluidswoorden met begrip (M)	"Says 2 ""sound-words"" with comprehension"	50,1	1	0	1
