lex_dutch1996	lex_dutch2005	lex_dutch1983	lex_smocc	lex_ghap	lex_gcdg	lex_gsed	occ	labelNL	labelEN	tau	m	LR	hot
1	v1	v1	v1	v1430	GSFIXEYE	n1	ddifmd001	1	Ogen fixeren	Eyes Fixate	5.4	1	0	1
2	v28	v29	v2	v1431	GSRSPCH	n2	ddicmm029	1	Reageert op toespreken (M)	Reacts when spoken to	1.7	1	0	1
3	v51	v52	v3	v1432	GSMARM	n3	ddigmd052	1	Beweegt armen evenveel	Moves arms equally well	-2.2	1	1	0
4	NA	NA	NA	NA	GSMARMR	NA	NA	1	Beweegt armen evenveel - r	Moves arms equally well - r	NA	1	1	0
5	NA	NA	NA	v1433	GSMARML	NA	NA	1	Beweegt armen evenveel - l	Moves arms equally well - l	NA	1	1	0
6	v52	v53	v4	v1434	GSMLEG	n4	ddigmd053	1	Beweegt benen evenveel	Moves legs equally well	-1.9	1	1	0
7	NA	NA	NA	NA	GSMLEGR	NA	NA	1	Beweegt benen evenveel - r	Moves legs equally well - r	NA	1	1	0
8	NA	NA	NA	v1435	GSMLEGL	NA	NA	1	Beweegt benen evenveel - l	Moves legs equally well - l	NA	1	1	0
9	v55	v56	v5	v1436	GSLFCHIN	n5	ddigmd056	1	Heft kin even van onderlaag	Lifts chin off table for a moment	5.2	1	0	1
10	v29	v30	v6	v1437	GSSMILE	n6	ddicmm030	2	Lacht terug (M)	Smiles in response	11.3	1	0	1
11	v2	v2	v7	v1438	GSFEYE	n7	ddifmd002	2	Volgt met ogen en hoofd	Follows with eyes and head	14.5	1	1	1
12	NA	NA	NA	NA	GSFEYER	NA	NA	2	Volgt met ogen en hoofd - r	Follows with eyes and head - r	NA	1	1	1
13	NA	NA	NA	v1439	GSFEYEL	NA	NA	2	Volgt met ogen en hoofd - l	Follows with eyes and head - l	NA	1	1	1
14	v3	v3	v8	v1440	GSHOPEN	n8	ddifmd003	3	Handen af en toe open	Hands occasionally open	16.5	1	1	1
15	NA	NA	NA	NA	GSHOPENR	NA	NA	3	Handen af en toe open - r	Hands open now and then - r	NA	1	1	1
