phase1	phase2	gsed	gsed2	gsed3	gsed4	short1	short2	instrument	seq_phase1	seq_phase2	label
Ma_LF_A03	Ma_LF_A01	mdtsed003	gtogmd003	gl1gmd001	lfagmd001	A03	A01	LF	3	1	A1  Moves body in reaction to caregiver
Ma_LF_A02	Ma_LF_A02	mdtsed004	gtogmd002	gl1gmd002	lfagmd002	A02	A02	LF	2	2	A2  Moves body, kicking legs and moving arms equally on his/her own
Ma_LF_A06	Ma_LF_A03	mdtgmd004	gtogmd006	gl1gmd003	lfagmd003	A06	A03	LF	6	3	A3  Pulls to sit - no head lag
Ma_LF_A01	Ma_LF_A04	ddigmd057	gtogmd001	gl1gmd004	lfagmd004	A01	A04	LF	1	4	A4  Lifts head in prone 45 degrees (2X)
Ma_LF_A07	Ma_LF_A05	mdtgmd005	gtogmd007	gl1gmd005	lfagmd005	A07	A05	LF	7	5	A5  Lifts head, shoulders, chest when prone (2X)
Ma_LF_A04	Ma_LF_A06	mdtfmd003	gtogmd004	gl1gmd006	lfagmd006	A04	A06	LF	4	6	A6  Puts hands together in front of face
Ma_LF_A11	Ma_LF_A07	sgrehd012	gtogmd011	gl1gmd007	lfagmd007	A11	A07	LF	11	7	A7  Carries object to mouth to explore (2X)
Ma_LF_A08	Ma_LF_A08	by1mdd051	gtogmd008	gl1gmd008	lfagmd008	A08	A08	LF	8	8	A8  Reaches for an object (2X)
Ma_LF_A10	Ma_LF_A09	mdtfmd006	gtogmd010	gl1gmd009	lfagmd009	A10	A09	LF	10	9	A9  Grasps hold of large object (2X)
Ma_LF_A05	Ma_LF_A10	ddigmd061	gtogmd005	gl1gmd010	lfagmd010	A05	A10	LF	5	10	A10 Balances head while supported
Ma_LF_A12	Ma_LF_A11	dmcgmd003	gtogmd012	gl1gmd011	lfagmd011	A12	A11	LF	12	11	A11 Sits supported (with help) (2X)
Ma_LF_A09	Ma_LF_A12	sgrred010	gtogmd009	gl1gmd012	lfagmd012	A09	A12	LF	9	12	A12 Resists object being taken away (2X)
Ma_LF_A16	Ma_LF_A13	mdtfmd008	gtogmd016	gl1gmd013	lfagmd013	A16	A13	LF	16	13	A13 Sees a small object (2X)
Ma_LF_A13	Ma_LF_A14	by1pdd023	gtogmd013	gl1gmd014	lfagmd014	A13	A14	LF	13	14	A14 Sits momentarily (on his/her own) (2X)
Ma_LF_A18	Ma_LF_A15	mdtgmd009	gtogmd018	gl1gmd015	lfagmd015	A18	A15	LF	18	15	A15 Sits without help (short time) (2X)
Ma_LF_A20	Ma_LF_A16	mdtfmd007	gtogmd020	gl1gmd016	lfagmd016	A20	A16	LF	20	16	A16 Picks object from ground (2X)
Ma_LF_A15	Ma_LF_A17	by1pdd028	gtogmd015	gl1gmd017	lfagmd017	A15	A17	LF	15	17	A17 Rolls from back to stomach (2X)
Ma_LF_A22	Ma_LF_A18	mdtgmd010	gtogmd022	gl1gmd018	lfagmd018	A22	A18	LF	22	18	A18 Sits by self well (2X)
Ma_LF_A17	Ma_LF_A19	denfmd009	gtogmd017	gl1gmd019	lfagmd019	A17	A19	LF	17	19	A19 Rakes (grasps with 3 or 4 fingers) a small object (2X)
Ma_LF_A19	Ma_LF_A20	sgrgmd022	gtogmd019	gl1gmd020	lfagmd020	A19	A20	LF	19	20	A20 Turns on floor (2X)
Ma_LF_A26	Ma_LF_A21	kdigmd031	gtogmd026	gl1gmd021	lfagmd021	A26	A21	LF	26	21	A21 Moves from lying to sitting
Ma_LF_A27	Ma_LF_A22	kdigmd001	gtogmd027	gl1gmd022	lfagmd022	A27	A22	LF	27	22	A22 Stands with support (2X)
Ma_LF_A14	Ma_LF_A23	by1mdd064	gtogmd014	gl1gmd023	lfagmd023	A14	A23	LF	14	23	A23 Reaches for a second object (2X)
Ma_LF_A23	Ma_LF_A24	dmcgmd005	gtogmd023	gl1gmd024	lfagmd024	A23	A24	LF	23	24	A24 Crawls (2X)
Ma_LF_A25	Ma_LF_A25	mdtgmd012	gtogmd025	gl1gmd025	lfagmd025	A25	A25	LF	25	25	A25 Pulls up to standing position (2X)
Ma_LF_A21	Ma_LF_A26	mdtfmd009	gtogmd021	gl1gmd026	lfagmd026	A21	A26	LF	21	26	A26 Shifts object from 1 hand to the other (2X)
Ma_LF_A24	Ma_LF_A27	ddifmd010	gtogmd024	gl1gmd027	lfagmd027	A24	A27	LF	24	27	A27 Picks up small object between thumb and finger (2X)
Ma_LF_A29	Ma_LF_A28	kdigmd005	gtogmd029	gl1gmd028	lfagmd028	A29	A28	LF	29	28	A28 Walks when 1 hand held (2X)
Ma_LF_A28	Ma_LF_A29	dmcgmd009	gtogmd028	gl1gmd029	lfagmd029	A28	A29	LF	28	29	A29 Stands alone for 5 seconds or more if put in standing position (2X)
Ma_LF_A30	Ma_LF_A30	ddifmm012	gtogmd030	gl1gmd030	lfagmd030	A30	A30	LF	30	30	"A30 Plays ""give-and-take"" (3X)"
Ma_LF_A32	Ma_LF_A31	grigmd203	gtogmd032	gl1gmd031	lfagmd031	A32	A31	LF	32	31	A31 Takes few steps alone (2X)
Ma_LF_A36	Ma_LF_A32	mdtgmd018	gtogmd036	gl1gmd032	lfagmd032	A36	A32	LF	36	32	A32 Walks
Ma_LF_A37	Ma_LF_A33	mdtgmd019	gtogmd037	gl1gmd033	lfagmd033	A37	A33	LF	37	33	A33 Runs (basic), may fall over (2X)
Ma_LF_A34	Ma_LF_A34	mdtgmd017	gtogmd034	gl1gmd034	lfagmd034	A34	A34	LF	34	34	A34 Stoops and recovers (2X)
Ma_LF_A31	Ma_LF_A35	kdifmd002	gtogmd031	gl1gmd035	lfagmd035	A31	A35	LF	31	35	A35 Releases ball purposefully (2X)
Ma_LF_A38	Ma_LF_A36	mdtgmd021	gtogmd038	gl1gmd036	lfagmd036	A38	A36	LF	38	36	A36 Runs well (2X)
Ma_LF_A33	Ma_LF_A37	kdigmd003	gtogmd033	gl1gmd037	lfagmd037	A33	A37	LF	33	37	A37 Kicks a ball from stationary position (2X)
Ma_LF_A39	Ma_LF_A38	mdtgmd024	gtogmd039	gl1gmd038	lfagmd038	A39	A38	LF	39	38	A38 Runs and kicks a ball well (2X)
Ma_LF_A40	Ma_LF_A39	mdtgmd022	gtogmd040	gl1gmd039	lfagmd039	A40	A39	LF	40	39	A39 Kneels and then stands, without using hands (2X)
Ma_LF_A45	Ma_LF_A40	mdtgmd031	gtogmd045	gl1gmd040	lfagmd040	A45	A40	LF	45	40	A40 Hops forward on 1 foot 3 steps (2X)
Ma_LF_A42	Ma_LF_A41	kdigmd008	gtogmd042	gl1gmd041	lfagmd041	A42	A41	LF	42	41	A41 Jumps with both feet together (2X)
Ma_LF_A43	Ma_LF_A42	mdtgmd029	gtogmd043	gl1gmd042	lfagmd042	A43	A42	LF	43	42	A42 Jumps over a piece of paper (widthways) (2X)
Ma_LF_A48	Ma_LF_A43	kdigmd015	gtogmd048	gl1gmd043	lfagmd043	A48	A43	LF	48	43	A43 Walks along line heel-to-toe (2X)
Ma_LF_A41	Ma_LF_A44	mdtgmd023	gtogmd041	gl1gmd044	lfagmd044	A41	A44	LF	41	44	A44 Throws beanbag onto a cloth (3X)
Ma_LF_A44	Ma_LF_A45	mdtgmd027	gtogmd044	gl1gmd045	lfagmd045	A44	A45	LF	44	45	A45 Stands on 1 foot > 5 seconds (2X)
Ma_LF_A47	Ma_LF_A46	mdtgmd030	gtogmd047	gl1gmd046	lfagmd046	A47	A46	LF	47	46	A46 Walks on tiptoes 6 or more steps
Ma_LF_A35	Ma_LF_A47	kdigmd034	gtogmd035	gl1gmd047	lfagmd047	A35	A47	LF	35	47	A47 Moves from sitting to standing without using hands
Ma_LF_A46	Ma_LF_A48	mdtgmd032	gtogmd046	gl1gmd048	lfagmd048	A46	A48	LF	46	48	A48 Stands on 1 foot > 5 seconds (2X)
Ma_LF_A49	Ma_LF_A49	mdtgmd033	gtogmd049	gl1gmd049	lfagmd049	A49	A49	LF	49	49	A49 Throws ball up into the air and catches it (3X)
Ma_LF_B04	Ma_LF_B01	mdtlgd002	gtolgd004	gl1lgd001	lfblgd001	B04	B01	LF	53	50	B1  Makes sounds or vocalizes (2X)
Ma_LF_B01	Ma_LF_B02	ddicmm029	gtolgd001	gl1lgd002	lfblgd002	B01	B02	LF	50	51	B2  Reacts when spoken to (2X)
Ma_LF_B02	Ma_LF_B03	ddicmm030	gtolgd002	gl1lgd003	lfblgd003	B02	B03	LF	51	52	B3  Smiles in response (2X)
Ma_LF_B06	Ma_LF_B04	mdtlgd003	gtolgd006	gl1lgd004	lfblgd004	B06	B04	LF	55	53	B4  Laughs (2X)
Ma_LF_B03	Ma_LF_B05	mdtsed005	gtolgd003	gl1lgd005	lfblgd005	B03	B05	LF	52	54	B5  Calms and quiets with caregiver
Ma_LF_B07	Ma_LF_B06	sgrred006	gtolgd007	gl1lgd006	lfblgd006	B07	B06	LF	56	55	B6  Vocalizes when spoken to
Ma_LF_B05	Ma_LF_B07	denlgd007	gtolgd005	gl1lgd007	lfblgd007	B05	B07	LF	54	56	B7  Turns to voice (2X)
Ma_LF_B09	Ma_LF_B08	ddicmm034	gtolgd009	gl1lgd008	lfblgd008	B09	B08	LF	58	57	B8  Babbles while playing
