row	code	label	gsed	gsed2	p1	p2	instrument	domain	mode	number
1	Ma_LF_A01	A1  Moves body in reaction to caregiver	mdtsed003	gtogmd003	lf1	a_d	gl1	gm	d	1
2	Ma_LF_A02	A2  Moves body, kicking legs and moving arms equally on his/her own	mdtsed004	gtogmd002	lf1	a_d	gl1	gm	d	2
3	Ma_LF_A03	A3  Pulls to sit - no head lag	mdtgmd004	gtogmd006	lf1	a_d	gl1	gm	d	3
4	Ma_LF_A04	A4  Lifts head in prone 45 degrees (2X)	ddigmd057	gtogmd001	lf1	a_d	gl1	gm	d	4
5	Ma_LF_A05	A5  Lifts head, shoulders, chest when prone (2X)	mdtgmd005	gtogmd007	lf1	a_d	gl1	gm	d	5
6	Ma_LF_A06	A6  Puts hands together in front of face	mdtfmd003	gtogmd004	lf1	a_d	gl1	gm	d	6
7	Ma_LF_A07	A7  Carries object to mouth to explore (2X)	sgrehd012	gtogmd011	lf1	a_d	gl1	gm	d	7
8	Ma_LF_A08	A8  Reaches for an object (2X)	by1mdd051	gtogmd008	lf1	a_d	gl1	gm	d	8
9	Ma_LF_A09	A9  Grasps hold of large object (2X)	mdtfmd006	gtogmd010	lf1	a_d	gl1	gm	d	9
10	Ma_LF_A10	A10 Balances head while supported	ddigmd061	gtogmd005	lf1	a_d	gl1	gm	d	10
11	Ma_LF_A11	A11 Sits supported (with help) (2X)	dmcgmd003	gtogmd012	lf1	a_d	gl1	gm	d	11
12	Ma_LF_A12	A12 Resists object being taken away (2X)	sgrred010	gtogmd009	lf1	a_d	gl1	gm	d	12
13	Ma_LF_A13	A13 Sees a small object (2X)	mdtfmd008	gtogmd016	lf1	a_d	gl1	gm	d	13
14	Ma_LF_A14	A14 Sits momentarily (on his/her own) (2X)	by1pdd023	gtogmd013	lf1	a_d	gl1	gm	d	14
15	Ma_LF_A15	A15 Sits without help (short time) (2X)	mdtgmd009	gtogmd018	lf1	a_d	gl1	gm	d	15
16	Ma_LF_A16	A16 Picks object from ground (2X)	mdtfmd007	gtogmd020	lf1	a_d	gl1	gm	d	16
17	Ma_LF_A17	A17 Rolls from back to stomach (2X)	by1pdd028	gtogmd015	lf1	a_d	gl1	gm	d	17
18	Ma_LF_A18	A18 Sits by self well (2X)	mdtgmd010	gtogmd022	lf1	a_d	gl1	gm	d	18
19	Ma_LF_A19	A19 Rakes (grasps with 3 or 4 fingers) a small object (2X)	denfmd009	gtogmd017	lf1	a_d	gl1	gm	d	19
20	Ma_LF_A20	A20 Turns on floor (2X)	sgrgmd022	gtogmd019	lf1	a_d	gl1	gm	d	20
21	Ma_LF_A21	A21 Moves from lying to sitting	kdigmd031	gtogmd026	lf1	a_d	gl1	gm	d	21
22	Ma_LF_A22	A22 Stands with support (2X)	kdigmd001	gtogmd027	lf1	a_d	gl1	gm	d	22
23	Ma_LF_A23	A23 Reaches for a second object (2X)	by1mdd064	gtogmd014	lf1	a_d	gl1	gm	d	23
24	Ma_LF_A24	A24 Crawls (2X)	dmcgmd005	gtogmd023	lf1	a_d	gl1	gm	d	24
25	Ma_LF_A25	A25 Pulls up to standing position (2X)	mdtgmd012	gtogmd025	lf1	a_d	gl1	gm	d	25
26	Ma_LF_A26	A26 Shifts object from 1 hand to the other (2X)	mdtfmd009	gtogmd021	lf1	a_d	gl1	gm	d	26
27	Ma_LF_A27	A27 Picks up small object between thumb and finger (2X)	ddifmd010	gtogmd024	lf1	a_d	gl1	gm	d	27
28	Ma_LF_A28	A28 Walks when 1 hand held (2X)	kdigmd005	gtogmd029	lf1	a_d	gl1	gm	d	28
29	Ma_LF_A29	A29 Stands alone for 5 seconds or more if put in standing position (2X)	dmcgmd009	gtogmd028	lf1	a_d	gl1	gm	d	29
30	Ma_LF_A30	"A30 Plays ""give-and-take"" (3X)"	ddifmm012	gtogmd030	lf1	a_d	gl1	gm	d	30
31	Ma_LF_A31	A31 Takes few steps alone (2X)	grigmd203	gtogmd032	lf1	a_d	gl1	gm	d	31
32	Ma_LF_A32	A32 Walks	mdtgmd018	gtogmd036	lf1	a_d	gl1	gm	d	32
33	Ma_LF_A33	A33 Runs (basic), may fall over (2X)	mdtgmd019	gtogmd037	lf1	a_d	gl1	gm	d	33
34	Ma_LF_A34	A34 Stoops and recovers (2X)	mdtgmd017	gtogmd034	lf1	a_d	gl1	gm	d	34
