item	equate	label
aqicmc001		Does your baby sometimes make throaty or gurgling sounds?
aqicmc002		After you have been out of sight, does your baby smile or get excited when she sees you?
aqicmc003		Does your baby make cooing sounds such as "ooo", "gah," and  "ah"?
aqicmc004		Does your baby make high-pitched squeals?
aqicmc005		smiles when caregiver talks to him
aqicmc006		When you speak to your baby, does she make sounds back to you?
aqicmc007		Does your baby laugh?
aqicmc008		Does your baby make sounds when looking at toys or people?
aqicmc009		If you call your baby when you are out of sight, does she look in the direction of your voice?
aqicmc010		When a loud noise occurs, does your baby turn to see where the sound came from?
aqicmc012		When playing with sounds, does your baby make grunting, growling, or other deep-toned sounds?
aqicmc013		Does your baby respond to the tone of your voice and stop her activity at least briefly when you say "no-no" to her?
aqicmc014		Does your baby make sounds like "da," "ga," "ka," and "ba"?
aqicmc015		If you copy the sounds your baby makes, does your baby repeat the sounds back to you?
aqicmc016		Does your baby make two similar sounds like "ba-ba," "da-da," or "ga-ga"? (The sounds do not need to mean anything.)
aqicmc017		Does your baby stop crying when she hears a voice other than yours?
aqicmc018		If you ask your baby to, does he play at least one nursery game even if you don't show him the activity yourself (such as "bye-bye," "Peekaboo," "clap your hands," "So Big")?
aqicmc020		When you ask, "Where is the ball (hat, shoe, etc.)?" does your baby look at the object? (Make sure the object is present. Mark "yes" if she knows one object.)
aqicmc021		Does your baby follow one simple command, such as "Come here," "Give it to me," or "Put it back," without your using gestures?
aqicmc022		Does your baby say three words such as "Mama", "Dada" and "Baba"? (A "word" is a sound or sounds your baby says consistently to mean someone or something)
aqicmc023		When your child wants something, does she tell you by pointing to it?
aqicmc024		Does your baby shake his head when he means "no" or "yes"?
aqicmc025		Does your baby/child say four or more words in addition to "Mama" and "Dada"?
aqicmc026		Without your giving him clues by pointing or using gestures, can your child carry out at least three of these kinds of directions? A. "Put the toy on the table." B."Close the door." C. "Bring me a towel." D."Find your coat." E."Take my hand." F."Get your book."
aqicmc027		When you ask her to, does your baby go into another room to find a familiar toy or object? You might ask, "Where is your ball?" or say, "Bring me your coat" or "Go get your blanket."
aqicmc028		When you ask your child to point to her nose, eyes, hair, feet, ears, and so forth, does she correctly point to at least seven body parts? (She can point to parts of herself, you, or a doll.) (Mark "sometimes" if she correctly points to at least three different body parts.)
aqicmc029		Without your showing him, does your child point to the correct picture when you say, "Show me the kitty" or ask, "Where is the dog?" (He needs to identify only one picture correctly.)
aqicmc030		Does your child say eight or more words in addition to "Mama" and "Dada"?
aqicmc031		If you point to a picture of a ball (kitty, cup, hat, etc.) and ask your child, "What is this?" does your child correctly name at least one picture?
aqicmc032		Without giving your child help by pointing or using gestures, ask him to "put the book on the table" and "put the shoe under the chair." Does your child carry out both of these directions correctly?
aqicmc033		Does your child say 15 or more words in addition to "Mama" and "Dada"?
aqicmc034		Show your child how a zipper on a coat moves up and down, and say, "See, this goes up and down." Put the zipper to the middle, and ask your child to move the zipper down. Return the zipper to the middle, and ask your child to move the zipper up. Do this several times, placing the zipper in the middle before asking your child to move it up or down. Does your child consistently move the zipper up when you say "up" and down when you say "down"?
aqicmc035		Does your child imitate a two-word sentence? For example, when you say a two-word phrase, such as "Mama eat," "Daddy play," "Go home," or "What's this?" does your child say both words back to you? (Mark "yes" even if his words are difficult to understand.)
aqicmc036		Does your child say two or three words that represent different ideas together, such as "See dog," "Mommy come home," or "Kitty gone"? (Don't count word combinations that express one idea, such as "Bye-bye," "All gone," "All right," and "What's that?") Please give an example of your child's word combinations:
aqicmc037		When looking at a picture book, does your child tell you what is happening or what action is taking place in the picture? (for example, "barking," "running," "eating," and "crying") You may ask, "What is the dog (or boy) doing?"
aqicmc038		When you ask, "What is your name?" does your child say her first name or nickname?
aqicmc039		Does your child correctly use at least two words like "me," "I," "mine," and "you"?
aqicmc040		Does your child make sentences that are three or four words long? Please give an example:
aqicmc041		Without your giving help by pointing or repeating directions, does your child follow three directions that are unrelated to one another? Give all three directions before your child starts. For example, you may ask your child to "Clap your hands, walk to the door, and sit down," or "Give me the pen, open the book, and stand up."                                       (5/26/10 this item was corrected to match the published version,ASQ3 English text)
aqicmc042		Does your child answer the following questions:  (Mark "sometimes" if your child answers only one question.) "What do you do when you are hungry?" (Acceptable answers include: "get food," "eat," "ask for something to eat," and "have a snack.") Please write your child's response: "What do you do when you are tired?" (Acceptable answers include: "take a nap," "rest," "go to sleep," "go to bed," "lie down," and "sit down.") Please write your child's response:.
aqicmc043		Does your child use four- and five-word sentences? For example, does your child say, "I want the car"? Please write an example:
aqicmc044		Does your child name at least three items from a common category? For example, if you say to your child, "Tell me some things that you can eat," does your child answer with something like, "Cookies, eggs, and cereal"? Or if you say, "Tell me the names of some animals," does your child answer with something like, "cow, dog, and elephant"?
aqicmc045		Does your child use endings of words, such as "s," "ed," and "ing"? For example, does your child say things like, "I see two cats," "I am playing," or "I kicked the ball"?
aqicmc046		tries to use new words after hearing them
aqicmc047		makes her voice go high at the end of a question
aqicmc048		uses words to describe things
aqicmc049		talks about things in the future
aqicmc050		when child talks on the phone do people understand
aqicmc051		When talking about something that already happened, does your child use words that end in "ed," such as "walked", "jumped", or"played"? Ask your child questions, such as "How did you get to the store?" ("We walked.") "What did you do at your friend's house?" ("We played.") Please write an example:
aqicmc052		Does your child tell you at least two things about common objects? For example, if you say to your child, "Tell me about your ball," does he say something like, "It's round. I throw it. It's big"?
aqicmc053		uses at least 5 words to describe position
aqicmc054		uses 5 words to describe how things feel
aqicmc055		Does your child use all of the words in a sentence (for example, "a," "the," "am," "is," and "are") to make complete sentences, such as "I am going to the park," or " Is there a toy to play with?" or " Are you coming, too?"
aqicmc056		uses words to talk about how things are different
aqicmc057		uses at least 3 irregular verbs for things in the past
aqicmc058		uses words that connect other words such as and 
aqicmc059		asks caregiver to explain words she does not understand
aqicmc060		Does your child repeat the sentences shown below back to you, without any mistakes?(Read the sentences one at a time. You may repeat each sentence one time. Mark "yes" if your child repeats both sentences without mistakes or "sometimes" if your child repeats one sentence without mistakes. Jane hides her shoes for Maria to find. Al read the blue book under his bed.
aqicmc061		When you ask, "What is your name?" does your child say both her first and last names?
aqicmc062		
aqicmc063		
aqicmc064		
aqicmc065		Does your child use comparison words, such as "heavier," "stronger", or "shorter"? Ask your child questions, such as "A car is big, but a bus is _____" (bigger); "A cat is heavy, but a man is _____" (heavier); "A TV is small, but a book is _____" (smaller). Please write an example:
aqifmc001	FM13	Does your baby touch her face with her hands?
aqifmc002	FM88	Does your baby grasp your finger if you touch the palm of her hand?
aqifmc003	FM10	Does your baby hold his hands open or partly open when he is awake (rather than in fists, as they were when he was a newborn)?
aqifmc004	FM1	Is your baby's hand usually tightly closed when he is awake?(If your baby used to do this but no longer does, mark "yes.")
aqifmc005	FM90	Does your baby grab or scratch at her clothes?
aqifmc006	FM6	holds toy briefly when put in his hand
aqifmc007	FM91	grabs or scratches fingers on surface in front of him
aqifmc008	FM92	holds onto toy for 1 min when put in hand by caregiver 
aqifmc009	FM93	Does your baby grab a toy you offer and look at it, wave it about, or chew on it for about 1 minute?
aqifmc010	FM94	reaches for toy on table even when cannot touch it
aqifmc011	FM16	Does your baby pick up a small toy with only one hand?
aqifmc012	FM15	Does your baby reach for or grasp a toy using both hands at once?
aqifmc013	FM95	Does your baby pick up a small toy, holding it in the center of her hands with her fingers around it?
