key	item	tau
294_0	gpacgc002	11.06
294_0	gpaclc007	12.44
294_0	gpaclc023	21.14
294_0	gpaclc033	21.08
294_0	gpaclc034	28.62
294_0	gpaclc046	33.46
294_0	gpaclc047	33.39
294_0	gpaclc048	34.47
294_0	gpaclc088	53.7
294_0	gpaclc091	60.45
294_0	gpaclc093	55.77
294_0	gpaclc096	55.69
294_0	gpaclc100	62.74
294_0	gpaclc101	57.12
294_0	gpaclc105	63.1
294_0	gpaclc107	65.29
294_0	gpaclc108	63.86
294_0	gpaclc112	62.71
294_0	gpaclc113	65.21
294_0	gpaclc115	64.32
294_0	gpaclc116	65.57
294_0	gpaclc117	68.98
294_0	gpaclc118	73.92
294_0	gpaclc119	67.2
294_0	gpaclc120	67.14
294_0	gpaclc121	69.14
294_0	gpaclc122	73.77
294_0	gpaclc124	71.33
294_0	gpaclc126	71.62
294_0	gpaclc138	72.01
294_0	gpaclc139	74.26
294_0	gpacmc090	59.82
294_0	gpafmc003	9.93
294_0	gpagmc013	22.39
294_0	gpagmc018	26.85
294_0	gpagmc030	30.29
294_0	gpagmc036	34.73
294_0	gpagmc055	44.09
294_0	gpagmc057	44.33
294_0	gpagmc067	50.64
294_0	gpagmc069	50.25
294_0	gpalac001	8.68
294_0	gpalac009	19.11
294_0	gpalgc012	13.39
294_0	gpalgc019	19.88
294_0	gpalgc021	16.6
294_0	gpalgc022	22.5
294_0	gpalgc027	31.1
294_0	gpalgc051	34.56
294_0	gpalgc059	41.85
294_0	gpalgc068	45.1
294_0	gpalgc072	49.45
294_0	gpalgc081	54.64
294_0	gpalgc098	60.13
294_0	gpalgc099	55.74
294_0	gpalgc102	59.48
294_0	gpalgc111	65.45
294_0	gpalgc127	73.39
294_0	gpalgc131	71.86
294_0	gpamoc005	12.26
294_0	gpamoc006	7.43
294_0	gpamoc008	24.26
294_0	gpamoc011	11.61
294_0	gpamoc017	19.49
294_0	gpamoc024	24.49
294_0	gpamoc026	17.15
294_0	gpamoc028	31.3
294_0	gpamoc029	29.55
294_0	gpamoc035	31.02
294_0	gpamoc037	26.3
294_0	gpamoc038	32.59
294_0	gpamoc040	31.4
294_0	gpamoc041	31.98
294_0	gpamoc042	31.84
294_0	gpamoc043	32.38
294_0	gpamoc044	31.29
294_0	gpamoc049	33.6
294_0	gpamoc050	38.15
294_0	gpamoc052	36.38
294_0	gpamoc053	39.66
294_0	gpamoc054	38.84
294_0	gpamoc056	41.26
294_0	gpamoc058	38.67
294_0	gpamoc060	42.97
294_0	gpamoc061	46.67
294_0	gpamoc062	47.83
294_0	gpamoc063	48.91
294_0	gpamoc065	48.21
294_0	gpamoc066	49.71
294_0	gpamoc070	49.1
294_0	gpamoc071	50.26
294_0	gpamoc076	49.76
294_0	gpamoc077	51.33
294_0	gpamoc078	51.44
294_0	gpamoc079	52.82
294_0	gpamoc080	56.75
294_0	gpamoc083	57.61
294_0	gpamoc084	56.35
294_0	gpamoc097	58.91
294_0	gpamoc103	67.8
294_0	gpamoc104	63.04
294_0	gpamoc106	63.65
294_0	gpamoc110	60.6
294_0	gpamoc129	75.92
294_0	gpamoc132	75.21
294_0	gpamoc133	74.02
294_0	gpamoc135	71.61
294_0	gpasec004	5.4
294_0	gpasec010	12.4
294_0	gpasec014	14.91
294_0	gpasec015	7.83
294_0	gpasec016	12.94
294_0	gpasec020	19.27
294_0	gpasec025	19.81
294_0	gpasec031	20.69
294_0	gpasec032	21.48
294_0	gpasec039	31.08
294_0	gpasec045	23.2
294_0	gpasec064	36.6
294_0	gpasec075	47.18
294_0	gpasec082	45.57
294_0	gpasec085	52.51
294_0	gpasec086	49.62
294_0	gpasec089	62.7
294_0	gpasec094	49.68
294_0	gpasec095	56.85
294_0	gpasec109	67.15
294_0	gpasec114	68.91
294_0	gpasec123	69.95
294_0	gpasec125	73.46
294_0	gpasec128	74.1
294_0	gpasec130	61.82
294_0	gpasec134	65.64
294_0	gpasec136	78.54
294_0	gpasec137	65.03
294_0	gpaxxc073	49.45
294_0	gpaxxc074	48.09
294_0	gpaxxc087	56.81
294_0	gpaxxc092	56.36
294_0	gtofmd001	12.67
294_0	gtofmd002	17.71
294_0	gtofmd003	28.06
294_0	gtofmd004	29.06
294_0	gtofmd005	33.71
294_0	gtofmd006	31.34
294_0	gtofmd007	28.52
294_0	gtofmd008	43.98
294_0	gtofmd009	39.45
294_0	gtofmd010	38.93
294_0	gtofmd011	44.42
294_0	gtofmd012	45.2
294_0	gtofmd013	39.05
294_0	gtofmd014	45.63
294_0	gtofmd015	47.2
294_0	gtofmd016	50.46
294_0	gtofmd017	46.69
294_0	gtofmd018	49.84
294_0	gtofmd019	50.2
294_0	gtofmd020	48.49
294_0	gtofmd021	48.41
294_0	gtofmd022	48.58
294_0	gtofmd023	42.58
294_0	gtofmd024	53.62
294_0	gtofmd025	52.89
294_0	gtofmd026	58.37
294_0	gtofmd027	49.77
294_0	gtofmd028	57.03
294_0	gtofmd029	65.56
294_0	gtofmd030	64.56
294_0	gtofmd031	63.67
294_0	gtofmd032	53.81
294_0	gtofmd033	59.09
294_0	gtofmd034	72.89
294_0	gtofmd035	61.8
294_0	gtofmd036	65.7
294_0	gtofmd037	64.75
294_0	gtofmd038	69.67
294_0	gtofmd039	68.36
294_0	gtofmd040	68.1
294_0	gtofmd041	68.21
294_0	gtofmd042	69.52
294_0	gtofmd043	66.7
294_0	gtofmd044	73.85
294_0	gtofmd045	71
294_0	gtofmd046	73.89
294_0	gtofmd047	76.82
294_0	gtofmd048	74.6
294_0	gtofmd049	73.91
294_0	gtofmd050	77.28
294_0	gtofmd051	75.22
294_0	gtofmd052	87.98
294_0	gtofmd053	85.61
294_0	gtofmd054	80.6
294_0	gtogmd001	23.66
294_0	gtogmd002	13.05
294_0	gtogmd003	12.86
294_0	gtogmd004	20.67
294_0	gtogmd005	21.5
294_0	gtogmd006	25.08
294_0	gtogmd007	29.77
294_0	gtogmd008	29.54
294_0	gtogmd009	25.25
294_0	gtogmd010	24.32
294_0	gtogmd011	25.92
294_0	gtogmd012	27.95
294_0	gtogmd013	32.74
294_0	gtogmd014	37.8
294_0	gtogmd015	35.94
294_0	gtogmd016	30.29
294_0	gtogmd017	36.1
294_0	gtogmd018	31.66
294_0	gtogmd019	37.01
294_0	gtogmd020	30.01
294_0	gtogmd021	41.08
294_0	gtogmd022	31.96
294_0	gtogmd023	40.13
294_0	gtogmd024	38.05
294_0	gtogmd025	41.4
294_0	gtogmd026	40.86
294_0	gtogmd027	38.28
294_0	gtogmd028	47.54
294_0	gtogmd029	44.61
294_0	gtogmd030	48.24
294_0	gtogmd031	49.89
294_0	gtogmd032	48.36
294_0	gtogmd033	55.77
294_0	gtogmd034	50.13
294_0	gtogmd035	68.83
294_0	gtogmd036	46.56
294_0	gtogmd037	54.12
294_0	gtogmd038	80.68
294_0	gtogmd039	60.77
294_0	gtogmd040	68.85
294_0	gtogmd041	72.53
294_0	gtogmd042	71.74
294_0	gtogmd043	70.25
294_0	gtogmd044	74.17
294_0	gtogmd045	69.31
294_0	gtogmd046	82.4
294_0	gtogmd047	78.02
294_0	gtogmd048	71.22
294_0	gtogmd049	84.56
294_0	gtolgd001	12.53
294_0	gtolgd002	19.6
294_0	gtolgd003	10.33
294_0	gtolgd004	26.47
294_0	gtolgd005	28.38
294_0	gtolgd006	33.09
294_0	gtolgd007	28.37
294_0	gtolgd008	40.93
294_0	gtolgd009	36.49
294_0	gtolgd010	46.97
294_0	gtolgd011	52.61
294_0	gtolgd012	46.66
294_0	gtolgd013	50.18
294_0	gtolgd014	50.9
294_0	gtolgd015	53.01
294_0	gtolgd016	63.15
294_0	gtolgd017	58.35
294_0	gtolgd018	54.69
294_0	gtolgd019	53.01
294_0	gtolgd020	53.54
294_0	gtolgd021	57.54
294_0	gtolgd022	61.9
294_0	gtolgd023	60.89
294_0	gtolgd024	62.66
294_0	gtolgd025	60.19
294_0	gtolgd026	56.6
294_0	gtolgd027	65.15
294_0	gtolgd028	65.4
294_0	gtolgd029	59.3
294_0	gtolgd030	69.24
294_0	gtolgd031	67.06
294_0	gtolgd032	63.96
294_0	gtolgd033	62.97
294_0	gtolgd034	71.99
294_0	gtolgd035	69.65
294_0	gtolgd036	66.44
294_0	gtolgd037	75.07
294_0	gtolgd038	68.18
294_0	gtolgd039	75.57
294_0	gtolgd040	79.05
294_0	gtolgd041	75.42
294_0	gtolgd042	78.82
294_0	gtolgd043	80.97
294_0	gtolgd044	71.16
294_0	gtolgd045	70.93
294_0	gtolgd046	72.6
294_0	gtolgd047	71.46
294_0	gtolgd048	80.07
294_0	gtolgd049	84.75
294_0	gtolgd050	74.02
294_0	gtolgd051	82.42
294_0	gtolgd052	85.24
