key	item	tau
extends 293_0	by3cgd006	12.98
extends 293_0	by3cgd007	18.15
extends 293_0	by3cgd008	19.49
extends 293_0	by3cgd009	19.62
extends 293_0	by3cgd010	23.97
extends 293_0	by3cgd016	22.24
extends 293_0	by3cgd023	27.32
extends 293_0	by3cgd024	33.79
extends 293_0	by3cgd025	28.75
extends 293_0	by3cgd026	29.64
extends 293_0	by3cgd027	33.18
extends 293_0	by3cgd032	34.83
extends 293_0	by3cgd033	38.29
extends 293_0	by3cgd034	39.21
extends 293_0	by3cgd035	43.51
extends 293_0	by3cgd036	41.91
extends 293_0	by3cgd039	51.77
extends 293_0	by3cgd040	49.29
extends 293_0	by3cgd042	48.45
extends 293_0	by3cgd043	53.12
extends 293_0	by3cgd044	54.01
extends 293_0	by3cgd046	58.93
extends 293_0	by3cgd047	49.73
extends 293_0	by3cgd051	56.67
extends 293_0	by3cgd052	59.03
extends 293_0	by3cgd055	53.52
extends 293_0	by3cgd056	65.87
extends 293_0	by3cgd058	63.46
extends 293_0	by3cgd059	63.15
extends 293_0	by3cgd060	69.79
extends 293_0	by3cgd061	66.61
extends 293_0	by3cgd062	64.29
extends 293_0	by3cgd063	68.75
extends 293_0	by3cgd064	69.56
extends 293_0	by3cgd065	71.13
extends 293_0	by3cgd066	72.74
extends 293_0	by3cgd067	72.53
extends 293_0	by3cgd068	84.21
extends 293_0	by3cgd069	76.01
extends 293_0	by3cgd073	79.68
extends 293_0	by3cgd074	79.91
extends 293_0	by3cgd078	89.58
extends 293_0	by3cgd079	88.41
extends 293_0	by3cgd080	92.82
extends 293_0	by3exd003	14.08
extends 293_0	by3exd004	17.31
extends 293_0	by3exd014	49.94
extends 293_0	by3exd015	47.01
extends 293_0	by3exd018	55.76
extends 293_0	by3exd020	60.44
extends 293_0	by3exd021	59.71
extends 293_0	by3exd022	61.13
extends 293_0	by3exd023	65.86
extends 293_0	by3exd024	61.77
extends 293_0	by3exd025	67.73
extends 293_0	by3exd027	67.08
extends 293_0	by3exd029	72.5
extends 293_0	by3exd030	72.29
extends 293_0	by3exd031	72.77
extends 293_0	by3exd032	77.02
extends 293_0	by3exd034	78.86
extends 293_0	by3exd035	78.63
extends 293_0	by3exd037	83.3
extends 293_0	by3exd038	86.33
extends 293_0	by3exd039	82.48
extends 293_0	by3exd040	82.22
extends 293_0	by3exd041	96.61
extends 293_0	by3exd042	85.38
extends 293_0	by3exd043	87.33
extends 293_0	by3exd045	86.64
extends 293_0	by3fmd007	26.59
extends 293_0	by3fmd011	24.08
extends 293_0	by3fmd012	24.32
extends 293_0	by3fmd013	27.25
extends 293_0	by3fmd014	27.42
extends 293_0	by3fmd015	27.25
extends 293_0	by3fmd017	30.33
extends 293_0	by3fmd018	33.51
extends 293_0	by3fmd020	33.12
extends 293_0	by3fmd022	38.1
extends 293_0	by3fmd024	37.13
extends 293_0	by3fmd026	40.14
extends 293_0	by3fmd027	48.61
extends 293_0	by3fmd028	44.24
extends 293_0	by3fmd029	48.8
extends 293_0	by3fmd030	47.69
extends 293_0	by3fmd031	54.19
extends 293_0	by3fmd032	53.53
extends 293_0	by3fmd033	58.93
extends 293_0	by3fmd035	53.39
extends 293_0	by3fmd036	58.46
extends 293_0	by3fmd038	65.59
extends 293_0	by3fmd040	72.09
extends 293_0	by3fmd041	73.5
extends 293_0	by3fmd042	73.21
extends 293_0	by3fmd043	74.93
extends 293_0	by3fmd044	72.88
extends 293_0	by3fmd045	71.64
extends 293_0	by3fmd046	78.73
extends 293_0	by3fmd049	80.83
extends 293_0	by3fmd050	79.16
extends 293_0	by3fmd051	86.04
extends 293_0	by3fmd052	78.99
extends 293_0	by3fmd053	85.74
extends 293_0	by3fmd054	75.87
extends 293_0	by3fmd055	92.33
extends 293_0	by3fmd057	86.47
extends 293_0	by3fmd061	92.14
extends 293_0	by3gmd005	19.7
extends 293_0	by3gmd007	21.19
extends 293_0	by3gmd009	19.21
extends 293_0	by3gmd012	19.65
extends 293_0	by3gmd015	24.56
extends 293_0	by3gmd016	23.06
extends 293_0	by3gmd017	24.93
extends 293_0	by3gmd018	32.84
extends 293_0	by3gmd019	26.5
extends 293_0	by3gmd021	30.69
extends 293_0	by3gmd022	27.81
extends 293_0	by3gmd026	30.4
extends 293_0	by3gmd027	31.8
extends 293_0	by3gmd028	33.67
extends 293_0	by3gmd030	38.02
extends 293_0	by3gmd031	38.27
extends 293_0	by3gmd032	39.31
extends 293_0	by3gmd033	42.06
extends 293_0	by3gmd034	39.33
extends 293_0	by3gmd035	40.31
extends 293_0	by3gmd036	43.08
extends 293_0	by3gmd037	42.57
extends 293_0	by3gmd038	44.49
extends 293_0	by3gmd039	42.3
extends 293_0	by3gmd040	46.45
extends 293_0	by3gmd041	49.65
extends 293_0	by3gmd042	49.21
extends 293_0	by3gmd043	50.87
extends 293_0	by3gmd044	50.37
extends 293_0	by3gmd045	49.22
extends 293_0	by3gmd046	51.83
extends 293_0	by3gmd047	54.24
extends 293_0	by3gmd048	58.1
extends 293_0	by3gmd049	56.5
extends 293_0	by3gmd050	57.12
extends 293_0	by3gmd051	60.86
extends 293_0	by3gmd052	61.93
extends 293_0	by3gmd058	71.25
extends 293_0	by3gmd059	74.66
extends 293_0	by3gmd060	74.61
extends 293_0	by3gmd063	74.49
extends 293_0	by3red006	19.24
extends 293_0	by3red007	22.8
extends 293_0	by3red008	25.95
extends 293_0	by3red015	50.04
extends 293_0	by3red016	55.82
extends 293_0	by3red017	53.17
extends 293_0	by3red019	57.13
extends 293_0	by3red020	58.26
extends 293_0	by3red021	57.52
extends 293_0	by3red022	61.38
extends 293_0	by3red023	62.3
extends 293_0	by3red024	62.33
extends 293_0	by3red025	64.95
extends 293_0	by3red026	68.01
extends 293_0	by3red027	74.27
extends 293_0	by3red028	74
extends 293_0	by3red029	73.38
extends 293_0	by3red030	72.89
extends 293_0	by3red031	76
extends 293_0	by3red035	93.36
extends 293_0	by3red036	79.51
extends 293_0	by3red038	84.28
extends 293_0	by3red039	87.89
