key	item	tau
gsed1912	mulcgd010	29.5
gsed1912	mulcgd020	29.24
gsed1912	mulcgd040	33.5
gsed1912	mulcgd070	38.31
gsed1912	mulcgd090	42.89
gsed1912	mulcgd091	47.21
gsed1912	mulcgd110	46.68
gsed1912	mulcgd120	47.84
gsed1912	mulcgd160	52.68
gsed1912	mulcgd161	56.25
gsed1912	mulcgd163	61.49
gsed1912	mulcgd200	63.63
gsed1912	mulcgd210	64.69
gsed1912	mulcgd220	68.89
gsed1912	mulcgd230	65.29
gsed1912	mulcgd240	68.66
gsed1912	mulcgd250	67.84
gsed1912	mulcgd270	71.1
gsed1912	mulcgd280	72.07
gsed1912	mulcgd290	69.28
gsed1912	mulcgd291	70.53
gsed1912	mulcgd300	71.56
gsed1912	mulcgd301	73.28
gsed1912	mulcgd302	74.44
gsed1912	mulcgd310	76.16
gsed1912	mulcgd320	74.09
gsed1912	mulcgd321	75.68
gsed1912	mulcgd330	74.48
gsed1912	mulcgd331	76.07
gsed1912	mulexd080	48.35
gsed1912	mulexd110	47.19
gsed1912	mulexd111	50.78
gsed1912	mulexd112	55.36
gsed1912	mulexd130	51.77
gsed1912	mulexd140	57.15
gsed1912	mulexd150	57.56
gsed1912	mulexd151	63.94
gsed1912	mulexd152	67.83
gsed1912	mulexd160	60.53
gsed1912	mulexd170	60.22
gsed1912	mulexd181	68.44
gsed1912	mulexd182	70.28
gsed1912	mulexd183	72.56
gsed1912	mulexd201	66.62
gsed1912	mulexd210	65.5
gsed1912	mulexd220	65.07
gsed1912	mulexd230	70.04
gsed1912	mulexd240	72.93
gsed1912	mulexd241	73.56
gsed1912	mulexd242	74.3
gsed1912	mulexd243	75.75
gsed1912	mulexd244	77.75
gsed1912	mulexd250	70.87
gsed1912	mulexd260	75
gsed1912	mulexd261	76.47
gsed1912	mulexd262	77.08
gsed1912	mulexd270	76.01
gsed1912	mulexd271	77.03
gsed1912	mulexd272	78.17
gsed1912	mulexd280	77.6
gsed1912	mulfmd070	37.5
gsed1912	mulfmd080	43.79
gsed1912	mulfmd090	41.59
gsed1912	mulfmd100	43.35
gsed1912	mulfmd101	48.19
gsed1912	mulfmd120	46.05
gsed1912	mulfmd121	52.24
gsed1912	mulfmd130	43.67
gsed1912	mulfmd140	48.85
gsed1912	mulfmd150	52.22
gsed1912	mulfmd160	54.08
gsed1912	mulfmd161	62.47
gsed1912	mulfmd170	58.74
gsed1912	mulfmd181	70.43
gsed1912	mulfmd200	67.93
gsed1912	mulfmd210	69.87
gsed1912	mulfmd220	72.11
gsed1912	mulfmd221	75.59
gsed1912	mulfmd230	72.27
gsed1912	mulfmd231	75
gsed1912	mulfmd240	68.76
gsed1912	mulfmd260	73.97
gsed1912	mulfmd261	75.8
gsed1912	mulfmd270	74.26
gsed1912	mulfmd280	77.58
gsed1912	mulfmd300	76.33
gsed1912	mulfmd301	77.4
gsed1912	mulfmd302	78.28
gsed1912	mulgmd070	35.23
gsed1912	mulgmd090	38.28
gsed1912	mulgmd110	39.81
gsed1912	mulgmd120	45.67
gsed1912	mulgmd130	44.19
gsed1912	mulgmd140	49.13
gsed1912	mulgmd150	49.12
gsed1912	mulgmd160	50.79
gsed1912	mulgmd170	51.9
gsed1912	mulgmd180	50.67
gsed1912	mulgmd190	50.06
gsed1912	mulgmd200	53.39
gsed1912	mulgmd210	53.72
gsed1912	mulgmd240	61.71
gsed1912	mulgmd270	64.47
gsed1912	mulgmd280	67.17
gsed1912	mulgmd290	69.37
gsed1912	mulgmd300	70.22
gsed1912	mulgmd320	68.18
gsed1912	mulred040	32.02
gsed1912	mulred060	32.57
gsed1912	mulred110	48.38
gsed1912	mulred150	51.83
gsed1912	mulred160	57.72
gsed1912	mulred180	56.78
gsed1912	mulred181	60.05
gsed1912	mulred182	61.55
gsed1912	mulred190	56.16
gsed1912	mulred200	59.29
gsed1912	mulred223	75.26
gsed1912	mulred230	61.06
gsed1912	mulred231	63.83
gsed1912	mulred240	64.58
gsed1912	mulred250	67.37
gsed1912	mulred260	68.3
gsed1912	mulred270	73.83
gsed1912	mulred280	68.41
gsed1912	mulred290	71.14
gsed1912	mulred291	72.88
gsed1912	mulred292	74.35
gsed1912	mulred293	76.27
gsed1912	mulred300	75.58
gsed1912	mulred301	76.07
gsed1912	mulred302	76.89
gsed1912	mulred303	77.43
gsed1912	mulred304	78.87
gsed1912	mulred320	76.89
gsed1912	mulred321	78.12
gsed1912	mulred330	76.21
gsed1912	mulred331	78.31
