key	item	tau
gsed2206	aqicmc033	58.74
gsed2206	aqicmc038	65.81
gsed2206	aqicmc040	65.66
gsed2206	aqicmc061	70.63
gsed2206	aqifmc025	53.17
gsed2206	aqifmc033	69.64
gsed2206	aqigmc012	35.84
gsed2206	aqigmc018	41.2
gsed2206	aqigmc020	44.38
gsed2206	aqigmc021	43.28
gsed2206	aqigmc022	46.79
gsed2206	aqigmc023	46.56
gsed2206	aqigmc024	50.06
gsed2206	aqigmc026	50.77
gsed2206	aqigmc027	50.62
gsed2206	aqipxc037	67.76
gsed2206	aqipxc043	66.5
gsed2206	barxxx005	36.5
gsed2206	barxxx006	40.16
gsed2206	barxxx007	44.95
gsed2206	barxxx008	43.09
gsed2206	barxxx009	43.77
gsed2206	barxxx010	48.84
gsed2206	barxxx011	49.89
gsed2206	barxxx012	50.01
gsed2206	barxxx014	60.9
gsed2206	barxxx015	63.55
gsed2206	barxxx017	71.27
gsed2206	barxxx018	69.64
gsed2206	barxxx019	69.87
gsed2206	by1mdd039	36.29
gsed2206	by1mdd044	36.82
gsed2206	by1mdd046	34.68
gsed2206	by1mdd047	30.77
gsed2206	by1mdd051	33.67
gsed2206	by1mdd054	35.17
gsed2206	by1mdd056	36.91
gsed2206	by1mdd057	34.29
gsed2206	by1mdd058	36.16
gsed2206	by1mdd060	37.93
gsed2206	by1mdd062	37.75
gsed2206	by1mdd063	35.98
gsed2206	by1mdd064	36.28
gsed2206	by1mdd066	35.29
gsed2206	by1mdd067	37.54
gsed2206	by1mdd068	36.01
gsed2206	by1mdd069	36.53
gsed2206	by1mdd070	38.68
gsed2206	by1mdd071	37.06
gsed2206	by1mdd072	36.07
gsed2206	by1mdd073	38.61
gsed2206	by1mdd078	38.93
gsed2206	by1mdd080	39.97
gsed2206	by1mdd086	43.59
gsed2206	by1mdd088	42.83
gsed2206	by1mdd089	46.59
gsed2206	by1mdd090	44.54
gsed2206	by1mdd091	43.41
gsed2206	by1mdd094	46.38
gsed2206	by1mdd095	47.48
gsed2206	by1mdd096	49.22
gsed2206	by1mdd097	46.64
gsed2206	by1mdd098	47.8
gsed2206	by1mdd099	46.2
gsed2206	by1mdd100	47.12
gsed2206	by1mdd101	48.72
gsed2206	by1mdd102	46.58
gsed2206	by1mdd103	46.23
gsed2206	by1mdd104	49.01
gsed2206	by1mdd105	48.82
gsed2206	by1mdd106	51.03
gsed2206	by1mdd107	47.87
gsed2206	by1mdd108	49.67
gsed2206	by1mdd111	53.17
gsed2206	by1mdd112	51.71
gsed2206	by1mdd113	52.78
gsed2206	by1mdd115	51.73
gsed2206	by1mdd116	50.61
gsed2206	by1mdd117	52.92
gsed2206	by1mdd118	54.08
gsed2206	by1mdd119	57.62
gsed2206	by1mdd131	57.32
gsed2206	by1mdd134	57.75
gsed2206	by1mdd136	59.91
gsed2206	by1mdd143	60.87
gsed2206	by1pdd020	38.51
gsed2206	by1pdd023	33.94
gsed2206	by1pdd025	35.79
gsed2206	by1pdd027	36.5
gsed2206	by1pdd028	36.5
gsed2206	by1pdd029	37.74
gsed2206	by1pdd030	37.72
gsed2206	by1pdd031	38.04
gsed2206	by1pdd034	37.35
gsed2206	by1pdd038	32.21
gsed2206	by1pdd040	40.95
gsed2206	by1pdd041	44.59
gsed2206	by1pdd043	48.36
gsed2206	by1pdd045	48.08
gsed2206	by1pdd046	50.01
gsed2206	by1pdd047	47.26
gsed2206	by1pdd048	48.49
gsed2206	by1pdd049	51.84
gsed2206	by1pdd050	52.98
gsed2206	by1pdd051	51.64
gsed2206	by1pdd052	51.64
gsed2206	by2mdd094	53.85
gsed2206	by2mdd097	53.17
gsed2206	by2mdd098	54.08
gsed2206	by2mdd099	55.3
gsed2206	by2mdd110	61.43
gsed2206	by2mdd114	59.91
gsed2206	by2mdd122	66.63
gsed2206	by2mdd123	60.87
gsed2206	by2mdd125	67.83
gsed2206	by2mdd126	69.64
gsed2206	by2mdd127	66.96
gsed2206	by2pdd062	50.01
gsed2206	by2pdd063	47.56
gsed2206	by2pdd066	50.94
gsed2206	by2pdd067	51.4
gsed2206	by2pdd078	66.13
gsed2206	by3cgd036	44.54
gsed2206	by3cgd047	51.08
gsed2206	by3cgd051	55.1
gsed2206	by3cgd055	54.08
gsed2206	by3cgd056	60.77
gsed2206	by3cgd058	59.5
gsed2206	by3cgd059	60.03
gsed2206	by3cgd060	63.58
gsed2206	by3cgd061	61.97
gsed2206	by3cgd063	63.65
gsed2206	by3cgd064	64.69
gsed2206	by3cgd065	65.24
gsed2206	by3cgd066	65.33
gsed2206	by3cgd067	65.8
gsed2206	by3cgd068	71.65
gsed2206	by3cgd073	69.7
gsed2206	by3exd020	58.2
gsed2206	by3exd023	61.87
gsed2206	by3exd025	63.41
gsed2206	by3exd027	63.05
gsed2206	by3exd029	66.35
gsed2206	by3exd031	66.5
gsed2206	by3exd034	69.48
gsed2206	by3exd035	69.49
gsed2206	by3exd037	71.84
gsed2206	by3exd039	70.77
gsed2206	by3fmd026	43.09
gsed2206	by3fmd028	47.01
gsed2206	by3fmd030	48.92
gsed2206	by3fmd031	53.17
gsed2206	by3fmd035	52.83
gsed2206	by3fmd038	60.87
gsed2206	by3fmd040	65.15
gsed2206	by3fmd041	66.09
gsed2206	by3fmd043	69.64
gsed2206	by3fmd044	66.08
gsed2206	by3fmd045	65.31
gsed2206	by3fmd049	70.1
gsed2206	by3fmd050	69.3
gsed2206	by3fmd052	67.76
gsed2206	by3fmd061	72.53
gsed2206	by3gmd025	36.5
gsed2206	by3gmd030	42.43
gsed2206	by3gmd031	42.5
gsed2206	by3gmd032	43.26
gsed2206	by3gmd033	45.06
gsed2206	by3gmd035	43.77
