key	item	tau
gsed2212	gh1sec001	1.1
gsed2212	gh1sec002	3.6
gsed2212	gh1lgc003	4.57
gsed2212	gh1cgc004	6.9
gsed2212	gh1moc005	7.47
gsed2212	gh1sec006	8.26
gsed2212	gh1lgc007	8.32
gsed2212	gh1lgc008	9.3
gsed2212	gh1sec009	10.86
gsed2212	gh1lgc010	12.61
gsed2212	gh1sec011	15.39
gsed2212	gh1moc012	15.66
gsed2212	gh1lgc013	16.03
gsed2212	gh1sec014	16.04
gsed2212	gh1sec015	17.39
gsed2212	gh1lgc016	17.42
gsed2212	gh1sec017	17.81
gsed2212	gh1sec018	20.2
gsed2212	gh1moc019	21.12
gsed2212	gh1moc020	23.05
gsed2212	gh1cgc021	25.64
gsed2212	gh1moc022	26.7
gsed2212	gh1lic023	28.54
gsed2212	gh1moc024	28.69
gsed2212	gh1moc025	28.92
gsed2212	gh1moc026	29.53
gsed2212	gh1moc027	30.2
gsed2212	gh1cgc028	31.41
gsed2212	gh1moc029	31.59
gsed2212	gh1lic030	35.45
gsed2212	gh1moc031	37.43
gsed2212	gh1moc032	37.63
gsed2212	gh1moc033	40.1
gsed2212	gh1lgc034	41.17
gsed2212	gh1moc035	42.33
gsed2212	gh1lgc036	44.73
gsed2212	gh1moc037	46.34
gsed2212	gh1lic038	47.23
gsed2212	gh1moc039	47.58
gsed2212	gh1moc040	48.06
gsed2212	gh1moc041	48.78
gsed2212	gh1lgc042	49.34
gsed2212	gh1sec043	49.84
gsed2212	gh1moc044	50.23
gsed2212	gh1moc045	50.6
gsed2212	gh1moc046	51.66
gsed2212	gh1lgc047	53.97
gsed2212	gh1lgc048	56.1
gsed2212	gh1moc049	56.68
gsed2212	gh1lic050	56.72
gsed2212	gh1lgc051	57.49
gsed2212	gh1lgc052	60.22
gsed2212	gh1lgc053	63.18
gsed2212	gh1moc054	64.14
gsed2212	gh1lgc055	65.72
