key	item	tau	label	instrument	domain	mode	number
gsed2212	gs1sec001	1.1	Does your child smile?	gs1	se	c	001
gsed2212	gs1moc002	3.22	When lying on his/her back, does your child move his/her arms and legs?	gs1	mo	c	002
gsed2212	gs1sec003	3.6	Does your child look at your face when you speak to him/her?	gs1	se	c	003
gsed2212	gs1lgc004	4.57	Does your child cry when he/she is hungry, wet, tired, or wants to be held?	gs1	lg	c	004
gsed2212	gs1moc005	5.77	Does your child grasp your finger if you touch her hand?	gs1	mo	c	005
gsed2212	gs1cgc006	6.9	Does your child look at and focus on objects in front of him/her?	gs1	cg	c	006
gsed2212	gs1moc007	7.47	Does your child bring his/her hand to his/her mouth?	gs1	mo	c	007
gsed2212	gs1moc008	8.14	Does your child try to move his/her head (or eyes) to follow an object or person?	gs1	mo	c	008
gsed2212	gs1sec009	8.26	Does your child smile when you smile or talk with him/her?	gs1	se	c	009
gsed2212	gs1lgc010	8.32	Does your child look at a person when that person starts talking or making noise?	gs1	lg	c	010
gsed2212	gs1sec011	8.88	Does your child stop crying or calm down when you come to the room after being out of sight, or when you pick him or her up?	gs1	se	c	011
gsed2212	gs1lgc012	9.3	When you talk to your child, does he/she smile, make noises, or move arms, legs or trunk in response?	gs1	lg	c	012
gsed2212	gs1sec013	10.86	When you are about to pick up your child, does he/she act happy or excited?	gs1	se	c	013
gsed2212	gs1lgc014	12.61	Does your child turn his/her head towards your voice or some noise?	gs1	lg	c	014
gsed2212	gs1moc015	13.24	Does your child grasp onto a small object (e.g., your finger, a spoon) when put in his/her hand?	gs1	mo	c	015
gsed2212	gs1lgc016	15.25	Does your child make sounds other than crying?	gs1	lg	c	016
gsed2212	gs1sec017	15.39	Does your child sometimes suck his/her thumb or fingers?	gs1	se	c	017
gsed2212	gs1moc018	15.66	While your child is on his/her back, can he/she bring his/her hands together?	gs1	mo	c	018
gsed2212	gs1sec019	16.04	Does your child move excitedly, kick legs, move arms or trunk, or make coo noises when a known person enters the room or speaks to them?	gs1	se	c	019
gsed2212	gs1lgc020	16.03	Does your child make noise or gesture to get your attention?	gs1	lg	c	020
gsed2212	gs1sec021	16.98	If you play a game with your child, does he/she respond with interest? For example, if you play peek-a-boo, pat-a-cake, wave bye-bye, etc. does your child smile, widen their eyes, kick or move arms or vocalize?	gs1	se	c	021
gsed2212	gs1sec022	17.39	Does your child recognize you or other family members (e.g., smile when they enter a room or move toward them)?	gs1	se	c	022
gsed2212	gs1lgc023	17.42	Does your child laugh?	gs1	lg	c	023
gsed2212	gs1sec024	17.81	Does your child smile or become excited when seeing someone familiar?	gs1	se	c	024
gsed2212	gs1moc025	18.65	When your child is on his/her stomach, can he/she turn his/her head to the side?	gs1	mo	c	025
gsed2212	gs1lgc026	18.79	Does your child make sounds when LOOKING at toys or people (not crying)?	gs1	lg	c	026
gsed2212	gs1sec027	20.2	Is your child interested when he/she sees other children playing? Does she or he watch, smile, or look excited?	gs1	se	c	027
gsed2212	gs1moc028	NA	Does your child hold his/her hands in fists all the time?	gs1	mo	c	028
gsed2212	gs1moc029	21.12	Can your child hold his/her head steady for at least a few seconds, without it flopping to the side?	gs1	mo	c	029
gsed2212	gs1moc030	23.05	When held in a sitting position, can the child hold his/her head steady and straight?	gs1	mo	c	030
gsed2212	gs1moc031	23.41	When your child is on his/her stomach, can he/she hold his/her head up off the ground?	gs1	mo	c	031
gsed2212	gs1cgc032	25.64	Does your child show interest in new objects that are put in front of him/her by reaching out for them?	gs1	cg	c	032
gsed2212	gs1moc033	26.7	When he/she is on his/her tummy, can your child hold his/her head straight up, looking around for more than a few seconds? He/she can rest on his/her arms while doing this.	gs1	mo	c	033
gsed2212	gs1moc034	27.52	Can your child roll from his/her back to stomach or stomach to his/her side?	gs1	mo	c	034
gsed2212	gs1moc035	28.36	Can your child reach for AND HOLD an object, at least for a few seconds?	gs1	mo	c	035
gsed2212	gs1lic036	28.54	Can your child eat food from your fingers or off a spoon you hold?	gs1	li	c	036
gsed2212	gs1lgc037	28.43	Does your child make single sounds like 'buh' or 'duh' or 'muh'?	gs1	lg	c	037
gsed2212	gs1moc038	28.92	Can your child sit with support, either leaning against something (furniture or person), or by leaning forward on his or her hands?	gs1	mo	c	038
gsed2212	gs1moc039	28.69	Does your child try to reach for objects that are in front of him/her by extending one or both arms?	gs1	mo	c	039
gsed2212	gs1moc040	28.89	Can your child pick up a small object (e.g., a small toy or small stone) using just one hand?	gs1	mo	c	040
gsed2212	gs1moc041	29.53	When lying on his/her stomach, can your child hold his/her head and chest off the ground using only his/her hands and arms for support?	gs1	mo	c	041
gsed2212	gs1cgc042	29.66	If an object falls to the ground out of view, does your child look for it?	gs1	cg	c	042
gsed2212	gs1moc043	30.2	When lying on his/her back, does the child grab his/her feet?	gs1	mo	c	043
