key	item	tau
gsed2510	by3cgd003	12.12
gsed2510	by3cgd004	15.09
gsed2510	by3cgd005	15.96
gsed2510	by3cgd006	13.58
gsed2510	by3cgd007	18.4
gsed2510	by3cgd008	20.55
gsed2510	by3cgd009	20.05
gsed2510	by3cgd010	22.87
gsed2510	by3cgd012	25.56
gsed2510	by3cgd013	26.42
gsed2510	by3cgd014	26.05
gsed2510	by3cgd015	28.64
gsed2510	by3cgd016	23.96
gsed2510	by3cgd017	24.16
gsed2510	by3cgd018	27.4
gsed2510	by3cgd019	23.24
gsed2510	by3cgd020	25.18
gsed2510	by3cgd021	26.34
gsed2510	by3cgd022	27.09
gsed2510	by3cgd023	28.54
gsed2510	by3cgd024	35.09
gsed2510	by3cgd025	30.4
gsed2510	by3cgd026	31.83
gsed2510	by3cgd027	35.68
gsed2510	by3cgd028	39.97
gsed2510	by3cgd029	37.59
gsed2510	by3cgd030	38.9
gsed2510	by3cgd031	40.34
gsed2510	by3cgd032	38.12
gsed2510	by3cgd033	40.84
gsed2510	by3cgd034	41.81
gsed2510	by3cgd035	46.08
gsed2510	by3cgd036	44.86
gsed2510	by3cgd037	47.98
gsed2510	by3cgd038	48.91
gsed2510	by3cgd039	53.35
gsed2510	by3cgd040	51.44
gsed2510	by3cgd041	52.55
gsed2510	by3cgd042	51.1
gsed2510	by3cgd043	54.66
gsed2510	by3cgd044	55.51
gsed2510	by3cgd045	57.93
gsed2510	by3cgd046	59.86
gsed2510	by3cgd047	52.39
gsed2510	by3cgd049	59.91
gsed2510	by3cgd050	59.3
gsed2510	by3cgd051	58.67
gsed2510	by3cgd052	60.17
gsed2510	by3cgd053	63.29
gsed2510	by3cgd054	57.44
gsed2510	by3cgd055	55.72
gsed2510	by3cgd056	66.3
gsed2510	by3cgd057	62.47
gsed2510	by3cgd058	64.55
gsed2510	by3cgd059	63.92
gsed2510	by3cgd060	69.15
gsed2510	by3cgd061	66.68
gsed2510	by3cgd062	64.75
gsed2510	by3cgd063	68.27
gsed2510	by3cgd064	69.34
gsed2510	by3cgd065	69.93
gsed2510	by3cgd066	71.45
gsed2510	by3cgd067	71.24
gsed2510	by3cgd068	80.9
gsed2510	by3cgd069	73.68
gsed2510	by3cgd070	74.24
gsed2510	by3cgd071	74.53
gsed2510	by3cgd072	80.48
gsed2510	by3cgd073	77.42
gsed2510	by3cgd074	76.02
gsed2510	by3cgd075	81.41
gsed2510	by3cgd076	80.37
gsed2510	by3cgd077	83.3
gsed2510	by3exd001	9.68
gsed2510	by3exd003	15.74
gsed2510	by3exd008	41.52
gsed2510	by3exd009	38.54
gsed2510	by3exd010	45.51
gsed2510	by3exd011	44.11
gsed2510	by3exd013	53.46
gsed2510	by3exd014	52.43
gsed2510	by3exd015	49.26
gsed2510	by3exd016	55.87
gsed2510	by3exd017	52.79
gsed2510	by3exd018	57.97
gsed2510	by3exd019	61.38
gsed2510	by3exd020	61.66
gsed2510	by3exd021	61.33
gsed2510	by3exd022	62.94
gsed2510	by3exd023	66.27
gsed2510	by3exd024	63.44
gsed2510	by3exd025	67.3
gsed2510	by3exd026	67.88
gsed2510	by3exd027	67.17
gsed2510	by3exd028	68.31
gsed2510	by3exd029	71.38
gsed2510	by3exd030	71.47
gsed2510	by3exd031	72.01
gsed2510	by3exd032	75.09
gsed2510	by3exd034	77.01
gsed2510	by3exd035	76.78
gsed2510	by3exd036	76.68
gsed2510	by3exd037	80.56
gsed2510	by3exd043	82.97
gsed2510	by3fmd002	11.88
gsed2510	by3fmd003	17.28
gsed2510	by3fmd004	20.78
gsed2510	by3fmd005	17.21
gsed2510	by3fmd006	19.56
gsed2510	by3fmd007	24.68
gsed2510	by3fmd008	24.97
gsed2510	by3fmd009	25.7
gsed2510	by3fmd010	17.42
gsed2510	by3fmd011	25.69
gsed2510	by3fmd012	25.07
gsed2510	by3fmd013	28.73
gsed2510	by3fmd014	28.19
gsed2510	by3fmd015	28.36
gsed2510	by3fmd016	29.78
gsed2510	by3fmd017	34.31
gsed2510	by3fmd018	36.35
gsed2510	by3fmd019	34.58
gsed2510	by3fmd020	38.22
gsed2510	by3fmd021	39.97
gsed2510	by3fmd022	42.13
gsed2510	by3fmd023	42.7
gsed2510	by3fmd024	41.17
gsed2510	by3fmd025	45.93
gsed2510	by3fmd026	43.76
gsed2510	by3fmd027	50.64
gsed2510	by3fmd028	47.33
gsed2510	by3fmd029	51.22
gsed2510	by3fmd030	50.45
gsed2510	by3fmd031	56.13
