key	item	tau
gsed2406	gh1lgc001	9.3
gsed2406	gh1sec002	10.86
gsed2406	gh1lgc003	12.61
gsed2406	gh1sec004	15.39
gsed2406	gh1moc005	15.66
gsed2406	gh1sec006	16.04
gsed2406	gh1lgc007	16.03
gsed2406	gh1clc008	17.39
gsed2406	gh1clc009	17.42
gsed2406	gh1gmc010	18.65
gsed2406	gh1sec011	20.2
gsed2406	gh1moc012	21.12
gsed2406	gh1gmc013	23.41
gsed2406	gh1clc014	25.64
gsed2406	gh1moc015	26.7
gsed2406	gh1moc016	28.92
gsed2406	gh1moc017	28.89
gsed2406	gh1moc018	29.53
gsed2406	gh1moc019	29.66
gsed2406	gh1moc020	30.2
gsed2406	gh1clc021	31.41
gsed2406	gh1moc022	31.59
gsed2406	gh1sec023	35.45
gsed2406	gh1moc024	37.63
gsed2406	gh1moc025	37.43
gsed2406	gh1moc026	40.1
gsed2406	gh1lgc027	41.17
gsed2406	gh1moc028	42.33
gsed2406	gh1lgc029	44.73
gsed2406	gh1moc030	46.34
gsed2406	gh1sec031	47.23
gsed2406	gh1moc032	47.58
gsed2406	gh1moc033	48.06
gsed2406	gh1moc034	48.78
gsed2406	gh1lgc035	49.34
gsed2406	gh1sec036	49.84
gsed2406	gh1moc037	50.23
gsed2406	gh1gmc038	50.6
gsed2406	gh1moc039	51.66
gsed2406	gh1clc040	53.97
gsed2406	gh1clc041	56.1
gsed2406	gh1moc042	56.68
gsed2406	gh1xxc043	56.72
gsed2406	gh1clc044	57.49
gsed2406	gh1cmc045	60.22
gsed2406	gh1clc046	63.18
gsed2406	gh1moc047	64.14
gsed2406	gh1clc048	65.72
