key	item	tau	label	instrument	domain	mode	number
gsed2208	gs1lgc001	4.57	Does your child cry when he/she is hungry, wet, tired, or wants to be held?	gs1	lg	c	001
gsed2208	gs1cgc002	6.9	Does your child look at and focus on objects in front of him/her?	gs1	cg	c	002
gsed2208	gs1moc003	5.77	Does your child grasp your finger if you touch her hand?	gs1	mo	c	003
gsed2208	gs1sec004	1.1	Does your child smile?	gs1	se	c	004
gsed2208	gs1moc005	8.14	Does your child try to move his/her head (or eyes) to follow an object or person?	gs1	mo	c	005
gsed2208	gs1moc006	3.22	When lying on his/her back, does your child move his/her arms and legs?	gs1	mo	c	006
gsed2208	gs1lgc007	8.32	Does your child look at a person when that person starts talking or making noise?	gs1	lg	c	007
gsed2208	gs1moc008	NA	Does your child hold his/her hands in fists all the time?	gs1	mo	c	008
gsed2208	gs1lgc009	15.25	Does your child make sounds other than crying?	gs1	lg	c	009
gsed2208	gs1sec010	8.26	Does your child smile when you smile or talk with him/her?	gs1	se	c	010
gsed2208	gs1moc011	7.47	Does your child bring his/her hand to his/her mouth?	gs1	mo	c	011
gsed2208	gs1lgc012	9.3	When you talk to your child, does he/she smile, make noises, or move arms, legs or trunk in response?	gs1	lg	c	012
gsed2208	gs1moc013	18.65	When your child is on his/her stomach, can he/she turn his/her head to the side?	gs1	mo	c	013
gsed2208	gs1sec014	10.86	When you are about to pick up your child, does he/she act happy or excited?	gs1	se	c	014
gsed2208	gs1sec015	3.6	Does your child look at your face when you speak to him/her?	gs1	se	c	015
gsed2208	gs1sec016	8.88	Does your child stop crying or calm down when you come to the room after being out of sight, or when you pick him or her up?	gs1	se	c	016
gsed2208	gs1moc017	15.66	While your child is on his/her back, can he/she bring his/her hands together?	gs1	mo	c	017
gsed2208	gs1moc018	23.41	When your child is on his/her stomach, can he/she hold his/her head up off the ground?	gs1	mo	c	018
gsed2208	gs1lgc019	16.03	Does your child make noise or gesture to get your attention?	gs1	lg	c	019
gsed2208	gs1sec020	15.39	Does your child sometimes suck his/her thumb or fingers?	gs1	se	c	020
gsed2208	gs1lgc021	12.61	Does your child turn his/her head towards your voice or some noise?	gs1	lg	c	021
gsed2208	gs1lgc022	18.79	Does your child make sounds when LOOKING at toys or people (not crying)?	gs1	lg	c	022
gsed2208	gs1lgc023	17.42	Does your child laugh?	gs1	lg	c	023
gsed2208	gs1moc024	21.12	Can your child hold his/her head steady for at least a few seconds, without it flopping to the side?	gs1	mo	c	024
gsed2208	gs1sec025	16.04	Does your child move excitedly, kick legs, move arms or trunk, or make coo noises when a known person enters the room or speaks to them?	gs1	se	c	025
gsed2208	gs1moc026	13.24	Does your child grasp onto a small object (e.g., your finger, a spoon) when put in his/her hand?	gs1	mo	c	026
gsed2208	gs1lgc027	28.43	Does your child make single sounds like 'buh' or 'duh' or 'muh'?	gs1	lg	c	027
gsed2208	gs1moc028	28.69	Does your child try to reach for objects that are in front of him/her by extending one or both arms?	gs1	mo	c	028
gsed2208	gs1moc029	26.7	When he/she is on his/her tummy, can your child hold his/her head straight up, looking around for more than a few seconds? He/she can rest on his/her arms while doing this.	gs1	mo	c	029
