key	item	tau
lf2206	gtofmd001	10.08
lf2206	gtofmd002	14.95
lf2206	gtofmd003	25.76
lf2206	gtofmd004	26.83
lf2206	gtofmd005	31.6
lf2206	gtofmd006	29.03
lf2206	gtofmd007	26.56
lf2206	gtofmd008	40.71
lf2206	gtofmd009	36.28
lf2206	gtofmd010	35.85
lf2206	gtofmd011	41.04
lf2206	gtofmd012	41.74
lf2206	gtofmd013	35.75
lf2206	gtofmd014	42.1
lf2206	gtofmd015	43.54
lf2206	gtofmd016	46.83
lf2206	gtofmd017	42.87
lf2206	gtofmd018	46.07
lf2206	gtofmd019	46.17
lf2206	gtofmd020	44.86
lf2206	gtofmd021	44.69
lf2206	gtofmd022	44.54
lf2206	gtofmd023	38.39
lf2206	gtofmd024	49.53
lf2206	gtofmd025	48.77
lf2206	gtofmd026	54.5
lf2206	gtofmd027	45.61
lf2206	gtofmd028	53.19
lf2206	gtofmd029	62.16
lf2206	gtofmd030	61.2
lf2206	gtofmd031	60.58
lf2206	gtofmd032	50.01
lf2206	gtofmd033	55.26
lf2206	gtofmd034	70.11
lf2206	gtofmd035	58.31
lf2206	gtofmd036	62.43
lf2206	gtofmd037	61.45
lf2206	gtofmd038	67.28
lf2206	gtofmd039	65.68
lf2206	gtofmd040	65.18
lf2206	gtofmd041	65.97
lf2206	gtofmd042	67.23
lf2206	gtofmd043	64.08
lf2206	gtofmd044	71.79
lf2206	gtofmd045	68.89
lf2206	gtofmd046	71.95
lf2206	gtofmd047	75.08
lf2206	gtofmd048	73.01
lf2206	gtofmd049	72.35
lf2206	gtofmd050	76.04
lf2206	gtofmd051	73.8
lf2206	gtofmd052	87.37
lf2206	gtofmd053	85.02
lf2206	gtofmd054	80.11
lf2206	gtogmd001	21.17
lf2206	gtogmd002	10.36
lf2206	gtogmd003	9.83
lf2206	gtogmd004	18.59
lf2206	gtogmd005	19.36
lf2206	gtogmd006	22.59
lf2206	gtogmd007	28
lf2206	gtogmd008	27.14
lf2206	gtogmd009	23.33
lf2206	gtogmd010	23.01
lf2206	gtogmd011	23.45
lf2206	gtogmd012	26.09
lf2206	gtogmd013	30.43
lf2206	gtogmd014	35.01
lf2206	gtogmd015	33.33
lf2206	gtogmd016	27.72
lf2206	gtogmd017	33.37
lf2206	gtogmd018	28.9
lf2206	gtogmd019	34.15
lf2206	gtogmd020	27.25
lf2206	gtogmd021	37.84
lf2206	gtogmd022	28.87
lf2206	gtogmd023	37.06
lf2206	gtogmd024	34.95
lf2206	gtogmd025	38.02
lf2206	gtogmd026	37.42
lf2206	gtogmd027	34.7
lf2206	gtogmd028	43.89
lf2206	gtogmd029	41.04
lf2206	gtogmd030	44.42
lf2206	gtogmd031	46.09
lf2206	gtogmd032	44.55
lf2206	gtogmd033	51.93
lf2206	gtogmd034	46.05
lf2206	gtogmd035	65.15
lf2206	gtogmd036	42.24
lf2206	gtogmd037	50.15
lf2206	gtogmd038	79.99
lf2206	gtogmd039	57.2
lf2206	gtogmd040	65.86
lf2206	gtogmd041	69.94
lf2206	gtogmd042	69.5
lf2206	gtogmd043	67.59
lf2206	gtogmd044	72.3
lf2206	gtogmd045	67.16
lf2206	gtogmd046	81.58
lf2206	gtogmd047	77
lf2206	gtogmd048	69.64
lf2206	gtogmd049	84.49
lf2206	gtolgd001	10.2
lf2206	gtolgd002	17.52
lf2206	gtolgd003	9.52
lf2206	gtolgd004	24.62
lf2206	gtolgd005	25.32
lf2206	gtolgd006	30.73
lf2206	gtolgd007	25.96
lf2206	gtolgd008	37.85
lf2206	gtolgd009	33.94
lf2206	gtolgd010	43.24
lf2206	gtolgd011	48.73
lf2206	gtolgd012	42.63
lf2206	gtolgd013	46.34
lf2206	gtolgd014	47.08
lf2206	gtolgd015	49.12
lf2206	gtolgd016	59.41
lf2206	gtolgd017	54.19
lf2206	gtolgd018	50.74
lf2206	gtolgd019	49.22
lf2206	gtolgd020	49.87
lf2206	gtolgd021	54.11
lf2206	gtolgd022	58.14
lf2206	gtolgd023	56.75
lf2206	gtolgd024	59.3
lf2206	gtolgd025	56.72
lf2206	gtolgd026	52.87
lf2206	gtolgd027	61.67
lf2206	gtolgd028	62.03
lf2206	gtolgd029	55.83
lf2206	gtolgd030	66.04
lf2206	gtolgd031	63.78
lf2206	gtolgd032	60.85
lf2206	gtolgd033	59.83
lf2206	gtolgd034	69.69
lf2206	gtolgd035	67.27
lf2206	gtolgd036	63.8
lf2206	gtolgd037	73.46
lf2206	gtolgd038	65.68
lf2206	gtolgd039	73.75
lf2206	gtolgd040	77.31
lf2206	gtolgd041	73.53
lf2206	gtolgd042	77.58
lf2206	gtolgd043	79.85
lf2206	gtolgd044	69.84
lf2206	gtolgd045	69.52
lf2206	gtolgd046	71.48
lf2206	gtolgd047	70.25
lf2206	gtolgd048	79.49
lf2206	gtolgd049	83.81
lf2206	gtolgd050	73.15
lf2206	gtolgd051	81.92
lf2206	gtolgd052	84.87
