key	item	tau
gsed	mulcgd010	29.5
gsed	mulcgd020	29.24
gsed	mulcgd040	33.5
gsed	mulcgd070	38.31
gsed	mulcgd090	42.89
gsed	mulcgd091	47.21
gsed	mulcgd110	46.68
gsed	mulcgd120	47.84
gsed	mulcgd160	52.68
gsed	mulcgd161	56.25
gsed	mulcgd163	61.49
gsed	mulcgd200	63.63
gsed	mulcgd210	64.69
gsed	mulcgd220	68.89
gsed	mulcgd230	65.29
gsed	mulcgd240	68.66
gsed	mulcgd250	67.84
gsed	mulcgd270	71.1
gsed	mulcgd280	72.07
gsed	mulcgd290	69.28
gsed	mulcgd291	70.53
gsed	mulcgd300	71.56
gsed	mulcgd301	73.28
gsed	mulcgd302	74.44
gsed	mulcgd310	76.16
gsed	mulcgd320	74.09
gsed	mulcgd321	75.68
gsed	mulcgd330	74.48
gsed	mulcgd331	76.07
gsed	mulexd080	48.35
gsed	mulexd110	47.19
gsed	mulexd111	50.78
gsed	mulexd112	55.36
gsed	mulexd130	51.77
gsed	mulexd140	57.15
gsed	mulexd150	57.56
gsed	mulexd151	63.94
gsed	mulexd152	67.83
gsed	mulexd160	60.53
gsed	mulexd170	60.22
gsed	mulexd181	68.44
gsed	mulexd182	70.28
gsed	mulexd183	72.56
gsed	mulexd201	66.62
gsed	mulexd210	65.5
gsed	mulexd220	65.07
gsed	mulexd230	70.04
gsed	mulexd240	72.93
gsed	mulexd241	73.56
gsed	mulexd242	74.3
gsed	mulexd243	75.75
gsed	mulexd244	77.75
gsed	mulexd250	70.87
gsed	mulexd260	75
gsed	mulexd261	76.47
gsed	mulexd262	77.08
gsed	mulexd270	76.01
gsed	mulexd271	77.03
gsed	mulexd272	78.17
gsed	mulexd280	77.6
gsed	mulfmd070	37.5
gsed	mulfmd080	43.79
gsed	mulfmd090	41.59
gsed	mulfmd100	43.35
gsed	mulfmd101	48.19
gsed	mulfmd120	46.05
gsed	mulfmd121	52.24
gsed	mulfmd130	43.67
gsed	mulfmd140	48.85
gsed	mulfmd150	52.22
gsed	mulfmd160	54.08
gsed	mulfmd161	62.47
gsed	mulfmd170	58.74
gsed	mulfmd181	70.43
gsed	mulfmd200	67.93
gsed	mulfmd210	69.87
gsed	mulfmd220	72.11
gsed	mulfmd221	75.59
gsed	mulfmd230	72.27
gsed	mulfmd231	75
gsed	mulfmd240	68.76
gsed	mulfmd260	73.97
gsed	mulfmd261	75.8
gsed	mulfmd270	74.26
gsed	mulfmd280	77.58
gsed	mulfmd300	76.33
gsed	mulfmd301	77.4
gsed	mulfmd302	78.28
gsed	mulgmd070	35.23
gsed	mulgmd090	38.28
gsed	mulgmd110	39.81
gsed	mulgmd120	45.67
gsed	mulgmd130	44.19
gsed	mulgmd140	49.13
gsed	mulgmd150	49.12
gsed	mulgmd160	50.79
gsed	mulgmd170	51.9
gsed	mulgmd180	50.67
gsed	mulgmd190	50.06
gsed	mulgmd200	53.39
gsed	mulgmd210	53.72
gsed	mulgmd240	61.71
gsed	mulgmd270	64.47
gsed	mulgmd280	67.17
gsed	mulgmd290	69.37
gsed	mulgmd300	70.22
gsed	mulgmd320	68.18
gsed	mulred040	32.02
gsed	mulred060	32.57
gsed	mulred110	48.38
gsed	mulred150	51.83
gsed	mulred160	57.72
gsed	mulred180	56.78
gsed	mulred181	60.05
gsed	mulred182	61.55
gsed	mulred190	56.16
gsed	mulred200	59.29
gsed	mulred223	75.26
gsed	mulred230	61.06
gsed	mulred231	63.83
gsed	mulred240	64.58
gsed	mulred250	67.37
gsed	mulred260	68.3
gsed	mulred270	73.83
gsed	mulred280	68.41
gsed	mulred290	71.14
gsed	mulred291	72.88
gsed	mulred292	74.35
gsed	mulred293	76.27
gsed	mulred300	75.58
gsed	mulred301	76.07
gsed	mulred302	76.89
gsed	mulred303	77.43
gsed	mulred304	78.87
gsed	mulred320	76.89
gsed	mulred321	78.12
gsed	mulred330	76.21
gsed	mulred331	78.31
