key	item	tau
sf2206	gpalac001	16.22
sf2206	gpacgc002	18.02
sf2206	gpafmc003	17.32
sf2206	gpasec004	13.72
sf2206	gpamoc005	19.03
sf2206	gpamoc006	15.4
sf2206	gpaclc007	19.59
sf2206	gpamoc008	30.98
sf2206	gpalac009	24.58
sf2206	gpasec010	19.47
sf2206	gpamoc011	18.71
sf2206	gpalgc012	20.21
sf2206	gpagmc013	26.98
sf2206	gpasec014	21.4
sf2206	gpasec015	15.62
sf2206	gpasec016	19.61
sf2206	gpamoc017	24.74
sf2206	gpagmc018	30.71
sf2206	gpalgc019	25.28
sf2206	gpasec020	24.59
sf2206	gpalgc021	22.63
sf2206	gpalgc022	27.42
sf2206	gpaclc023	26.3
sf2206	gpamoc024	29.22
sf2206	gpasec025	25.24
sf2206	gpamoc026	23.06
sf2206	gpalgc027	34.62
sf2206	gpamoc028	34.9
sf2206	gpamoc029	33.41
sf2206	gpagmc030	33.95
sf2206	gpasec031	25.69
sf2206	gpasec032	26.69
sf2206	gpaclc033	26.28
sf2206	gpaclc034	32.45
sf2206	gpamoc035	34.57
sf2206	gpagmc036	38.07
sf2206	gpamoc037	30.58
sf2206	gpamoc038	36.01
sf2206	gpasec039	34.69
sf2206	gpamoc040	35.06
sf2206	gpamoc041	35.66
sf2206	gpamoc042	35.74
sf2206	gpamoc043	36.06
sf2206	gpamoc044	35.3
sf2206	gpasec045	28.38
sf2206	gpaclc046	37.34
sf2206	gpaclc047	37.24
sf2206	gpaclc048	38.26
sf2206	gpamoc049	37.69
sf2206	gpamoc050	41.45
sf2206	gpalgc051	38.33
sf2206	gpamoc052	39.97
sf2206	gpamoc053	43.05
sf2206	gpamoc054	42.11
sf2206	gpagmc055	46.77
sf2206	gpamoc056	44.28
sf2206	gpagmc057	46.9
sf2206	gpamoc058	42.52
sf2206	gpalgc059	45.54
sf2206	gpamoc060	46.36
sf2206	gpamoc061	49.75
sf2206	gpamoc062	50.9
sf2206	gpamoc063	52.1
sf2206	gpasec064	40.59
sf2206	gpamoc065	51.23
sf2206	gpamoc066	52.64
sf2206	gpagmc067	53.37
sf2206	gpalgc068	48.4
sf2206	gpagmc069	53.08
sf2206	gpamoc070	51.87
sf2206	gpamoc071	53.24
sf2206	gpalgc072	52.4
sf2206	gpaxxc073	52.21
sf2206	gpaxxc074	51.96
sf2206	gpasec075	50.92
sf2206	gpamoc076	53.46
sf2206	gpamoc077	54.95
sf2206	gpamoc078	54.85
sf2206	gpamoc079	55.95
sf2206	gpamoc080	59.37
sf2206	gpalgc081	57.53
sf2206	gpasec082	50.28
sf2206	gpamoc083	60.26
sf2206	gpamoc084	59.22
sf2206	gpasec085	55.9
sf2206	gpasec086	53.68
sf2206	gpaxxc087	59.75
sf2206	gpaclc088	56.7
sf2206	gpasec089	64.74
sf2206	gpacmc090	62.08
sf2206	gpaclc091	62.67
sf2206	gpaxxc092	59.37
sf2206	gpaclc093	58.86
sf2206	gpasec094	54.01
sf2206	gpasec095	59.99
sf2206	gpaclc096	58.83
sf2206	gpamoc097	61.63
sf2206	gpalgc098	62.38
sf2206	gpalgc099	58.99
sf2206	gpaclc100	64.68
sf2206	gpaclc101	59.89
sf2206	gpalgc102	61.97
sf2206	gpamoc103	68.76
sf2206	gpamoc104	65.13
sf2206	gpaclc105	65.07
sf2206	gpamoc106	65.43
sf2206	gpaclc107	66.82
sf2206	gpaclc108	65.69
sf2206	gpasec109	68.5
sf2206	gpamoc110	63.14
sf2206	gpalgc111	66.84
sf2206	gpaclc112	64.84
sf2206	gpaclc113	66.69
sf2206	gpasec114	69.64
sf2206	gpaclc115	66.15
sf2206	gpaclc116	66.93
sf2206	gpaclc117	69.62
sf2206	gpaclc118	73.62
sf2206	gpaclc119	68.42
sf2206	gpaclc120	68.51
sf2206	gpaclc121	69.68
sf2206	gpaclc122	73.57
sf2206	gpasec123	70.38
sf2206	gpaclc124	71.72
sf2206	gpasec125	73.3
sf2206	gpaclc126	71.67
sf2206	gpalgc127	73.44
sf2206	gpasec128	73.87
sf2206	gpamoc129	75.2
sf2206	gpasec130	64.62
sf2206	gpalgc131	72.03
sf2206	gpamoc132	74.56
sf2206	gpamoc133	73.66
sf2206	gpasec134	67.44
sf2206	gpamoc135	71.88
sf2206	gpasec136	77.66
sf2206	gpasec137	66.85
sf2206	gpaclc138	72.34
sf2206	gpaclc139	74.04
