day	week	month	year	mu	sigma	nu	tau
14	2	0.46	0.0383	12.65	0.2253	0.789	4077.839
21	3	0.69	0.0575	13.58	0.2157	0.8226	3458.376
28	4	0.92	0.0767	14.47	0.2071	0.8544	2960.328
35	5	1.15	0.0958	15.3	0.1992	0.8844	2555.077
42	6	1.38	0.115	16.08	0.192	0.913	2221.78
49	7	1.61	0.1342	16.8	0.1854	0.9401	1945.002
56	8	1.84	0.1533	17.48	0.1794	0.966	1713.137
63	9	2.07	0.1725	18.11	0.1739	0.9907	1517.347
70	10	2.3	0.1916	18.7	0.1688	1.0143	1350.811
77	11	2.53	0.2108	19.28	0.1641	1.037	1208.211
84	12	2.76	0.23	19.85	0.1598	1.0588	1085.352
91	13	2.99	0.2491	20.42	0.1559	1.0799	978.901
98	14	3.22	0.2683	21.01	0.1523	1.1002	886.179
105	15	3.45	0.2875	21.61	0.149	1.12	805.02
112	16	3.68	0.3066	22.23	0.1459	1.1391	733.658
119	17	3.91	0.3258	22.86	0.1431	1.1576	670.643
126	18	4.14	0.345	23.5	0.1404	1.1756	614.777
133	19	4.37	0.3641	24.16	0.1379	1.1931	565.064
140	20	4.6	0.3833	24.82	0.1355	1.2102	520.67
147	21	4.83	0.4025	25.5	0.1333	1.2268	480.895
154	22	5.06	0.4216	26.18	0.1311	1.243	445.148
161	23	5.29	0.4408	26.87	0.1291	1.2589	412.926
168	24	5.52	0.46	27.56	0.1271	1.2743	383.799
175	25	5.749	0.4791	28.27	0.1252	1.2895	357.402
182	26	5.979	0.4983	28.98	0.1234	1.3043	333.418
189	27	6.209	0.5175	29.69	0.1217	1.3187	311.574
196	28	6.439	0.5366	30.41	0.12	1.3329	291.636
203	29	6.669	0.5558	31.12	0.1183	1.3468	273.396
210	30	6.899	0.5749	31.84	0.1167	1.3605	256.676
217	31	7.129	0.5941	32.56	0.1151	1.3739	241.32
224	32	7.359	0.6133	33.27	0.1136	1.387	227.188
231	33	7.589	0.6324	33.98	0.1121	1.3999	214.162
238	34	7.819	0.6516	34.69	0.1107	1.4126	202.132
245	35	8.049	0.6708	35.39	0.1093	1.425	191.005
252	36	8.279	0.6899	36.08	0.1079	1.4372	180.697
259	37	8.509	0.7091	36.77	0.1065	1.4492	171.133
266	38	8.739	0.7283	37.44	0.1052	1.4611	162.245
273	39	8.969	0.7474	38.11	0.1039	1.4727	153.976
280	40	9.199	0.7666	38.77	0.1026	1.4841	146.27
287	41	9.429	0.7858	39.42	0.1013	1.4954	139.081
294	42	9.659	0.8049	40.06	0.1001	1.5065	132.366
301	43	9.889	0.8241	40.7	0.0989	1.5174	126.085
308	44	10.119	0.8433	41.32	0.0977	1.5282	120.203
315	45	10.349	0.8624	41.93	0.0965	1.5388	114.69
322	46	10.579	0.8816	42.53	0.0954	1.5493	109.516
329	47	10.809	0.9008	43.12	0.0942	1.5596	104.655
336	48	11.039	0.9199	43.7	0.0931	1.5698	100.084
343	49	11.269	0.9391	44.27	0.092	1.5798	95.781
350	50	11.499	0.9582	44.83	0.091	1.5897	91.726
357	51	11.729	0.9774	45.38	0.0899	1.5995	87.902
