day	week	month	year	mu	sigma	nu	tau
0	0	0	0	11.61	0.262	0.9079	21.068
7	1	0.23	0.0192	12.4	0.2519	0.931	21.106
14	2	0.46	0.0383	13.2	0.2422	0.9541	21.144
21	3	0.69	0.0575	14	0.2329	0.9772	21.182
28	4	0.92	0.0767	14.8	0.2239	1.0008	21.22
35	5	1.15	0.0958	15.6	0.2153	1.0253	21.257
42	6	1.38	0.115	16.4	0.2071	1.0513	21.295
49	7	1.61	0.1342	17.2	0.1992	1.0789	21.334
56	8	1.84	0.1533	18	0.1916	1.108	21.372
63	9	2.07	0.1725	18.81	0.1844	1.1382	21.41
70	10	2.3	0.1916	19.63	0.1775	1.1692	21.448
77	11	2.53	0.2108	20.45	0.171	1.2008	21.486
84	12	2.76	0.23	21.27	0.1647	1.2328	21.525
91	13	2.99	0.2491	22.1	0.1588	1.2651	21.563
98	14	3.22	0.2683	22.94	0.1532	1.2973	21.602
105	15	3.45	0.2875	23.77	0.1479	1.3293	21.64
112	16	3.68	0.3066	24.62	0.1428	1.3607	21.679
119	17	3.91	0.3258	25.46	0.138	1.3914	21.718
126	18	4.14	0.345	26.31	0.1335	1.4211	21.756
133	19	4.37	0.3641	27.15	0.1292	1.4497	21.795
140	20	4.6	0.3833	28	0.1252	1.4772	21.834
147	21	4.83	0.4025	28.85	0.1213	1.5036	21.873
154	22	5.06	0.4216	29.69	0.1177	1.5292	21.912
161	23	5.29	0.4408	30.53	0.1143	1.5539	21.951
168	24	5.52	0.46	31.36	0.111	1.5778	21.99
175	25	5.75	0.4791	32.18	0.108	1.6011	22.029
182	26	5.98	0.4983	32.99	0.1051	1.6238	22.069
189	27	6.21	0.5175	33.78	0.1023	1.6461	22.108
196	28	6.44	0.5366	34.56	0.0997	1.6682	22.147
203	29	6.67	0.5558	35.32	0.0973	1.6902	22.187
210	30	6.9	0.5749	36.06	0.095	1.712	22.226
217	31	7.13	0.5941	36.79	0.0928	1.7337	22.266
224	32	7.36	0.6133	37.49	0.0908	1.755	22.306
231	33	7.59	0.6324	38.18	0.0888	1.7759	22.345
238	34	7.82	0.6516	38.84	0.087	1.7961	22.385
245	35	8.05	0.6708	39.49	0.0853	1.8155	22.425
252	36	8.28	0.6899	40.12	0.0836	1.8338	22.465
259	37	8.51	0.7091	40.74	0.0821	1.8509	22.505
266	38	8.74	0.7283	41.35	0.0807	1.8667	22.545
273	39	8.97	0.7474	41.94	0.0793	1.8812	22.585
280	40	9.2	0.7666	42.52	0.078	1.8945	22.625
287	41	9.43	0.7858	43.09	0.0768	1.9065	22.665
294	42	9.66	0.8049	43.65	0.0757	1.9173	22.705
301	43	9.89	0.8241	44.2	0.0746	1.9269	22.746
308	44	10.12	0.8433	44.75	0.0736	1.9355	22.786
315	45	10.35	0.8624	45.29	0.0727	1.9431	22.826
322	46	10.58	0.8816	45.82	0.0718	1.9498	22.867
329	47	10.81	0.9008	46.35	0.071	1.9556	22.907
336	48	11.04	0.9199	46.88	0.0703	1.9605	22.948
343	49	11.27	0.9391	47.4	0.0695	1.9647	22.989
350	50	11.5	0.9582	47.92	0.0689	1.9683	23.03
357	51	11.73	0.9774	48.43	0.0682	1.9712	23.07
364	52	11.96	0.9966	48.94	0.0676	1.9736	23.111
371	53	12.19	1.0157	49.45	0.067	1.9757	23.152
378	54	12.42	1.0349	49.94	0.0665	1.9774	23.193
385	55	12.65	1.0541	50.43	0.066	1.9789	23.234
392	56	12.88	1.0732	50.92	0.0655	1.9802	23.276
399	57	13.11	1.0924	51.39	0.065	1.9813	23.317
406	58	13.34	1.1116	51.86	0.0646	1.9822	23.358
413	59	13.57	1.1307	52.32	0.0641	1.9828	23.399
420	60	13.8	1.1499	52.77	0.0637	1.9832	23.441
427	61	14.03	1.1691	53.21	0.0633	1.9831	23.482
434	62	14.26	1.1882	53.64	0.0629	1.9826	23.524
441	63	14.49	1.2074	54.07	0.0626	1.9815	23.566
448	64	14.72	1.2266	54.48	0.0622	1.9797	23.607
455	65	14.95	1.2457	54.89	0.0619	1.9772	23.649
462	66	15.18	1.2649	55.29	0.0615	1.9739	23.691
469	67	15.41	1.2841	55.68	0.0612	1.9699	23.733
476	68	15.64	1.3032	56.06	0.0609	1.9652	23.775
483	69	15.87	1.3224	56.43	0.0606	1.9598	23.817
490	70	16.1	1.3415	56.79	0.0603	1.9539	23.859
497	71	16.33	1.3607	57.14	0.06	1.9475	23.901
504	72	16.56	1.3799	57.49	0.0597	1.9407	23.943
511	73	16.79	1.399	57.82	0.0595	1.9334	23.985
518	74	17.02	1.4182	58.15	0.0592	1.9258	24.028
525	75	17.25	1.4374	58.47	0.0589	1.9179	24.07
532	76	17.48	1.4565	58.79	0.0587	1.9097	24.113
539	77	17.71	1.4757	59.1	0.0585	1.9013	24.155
546	78	17.94	1.4949	59.4	0.0582	1.8927	24.198
553	79	18.17	1.514	59.69	0.058	1.884	24.241
560	80	18.4	1.5332	59.99	0.0578	1.8752	24.283
567	81	18.63	1.5524	60.27	0.0576	1.8664	24.326
574	82	18.86	1.5715	60.55	0.0574	1.8575	24.369
581	83	19.09	1.5907	60.82	0.0572	1.8487	24.412
588	84	19.32	1.6099	61.09	0.057	1.8398	24.455
595	85	19.55	1.629	61.36	0.0568	1.8311	24.498
602	86	19.78	1.6482	61.62	0.0566	1.8224	24.541
609	87	20.01	1.6674	61.88	0.0565	1.8139	24.585
616	88	20.24	1.6865	62.13	0.0563	1.8056	24.628
623	89	20.47	1.7057	62.38	0.0561	1.7977	24.671
630	90	20.7	1.7248	62.63	0.056	1.7902	24.715
637	91	20.93	1.744	62.87	0.0558	1.7834	24.758
644	92	21.16	1.7632	63.11	0.0556	1.7773	24.802
651	93	21.39	1.7823	63.35	0.0555	1.7722	24.846
658	94	21.62	1.8015	63.58	0.0553	1.7679	24.889
665	95	21.85	1.8207	63.81	0.0552	1.7646	24.933
672	96	22.08	1.8398	64.04	0.055	1.7624	24.977
679	97	22.31	1.859	64.26	0.0549	1.7611	25.021
686	98	22.54	1.8782	64.48	0.0548	1.7607	25.065
