day	week	month	year	mu	sigma	nu
0	0	0	0	5.86	0.6058	1
15.2188	2.1741	0.5	0.0417	9.7	0.359	1
30.4375	4.3482	1	0.0833	13.21	0.2592	1
45.6562	6.5223	1.5	0.125	16.44	0.2051	1
60.875	8.6964	2	0.1667	19.41	0.1713	1
76.0938	10.8705	2.5	0.2083	22.15	0.1482	1
91.3125	13.0446	3	0.25	24.68	0.1316	1
106.5312	15.2188	3.5	0.2917	27.01	0.1191	1
121.75	17.3929	4	0.3333	29.18	0.1093	1
136.9688	19.567	4.5	0.375	31.18	0.1015	1
152.1875	21.7411	5	0.4167	33.03	0.0952	1
167.4062	23.9152	5.5	0.4583	34.73	0.09	1
182.625	26.0893	6	0.5	36.32	0.0855	1
197.8438	28.2634	6.5	0.5417	37.78	0.0818	1
213.0625	30.4375	7	0.5833	39.14	0.0786	1
228.2812	32.6116	7.5	0.625	40.4	0.0758	1
243.5	34.7857	8	0.6667	41.59	0.0733	1
258.7188	36.9598	8.5	0.7083	42.7	0.0712	1
273.9375	39.1339	9	0.75	43.76	0.0692	1
289.1562	41.308	9.5	0.7917	44.76	0.0674	1
304.375	43.4821	10	0.8333	45.71	0.0658	1
319.5938	45.6562	10.5	0.875	46.62	0.0644	1
334.8125	47.8304	11	0.9167	47.49	0.063	1
350.0312	50.0045	11.5	0.9583	48.31	0.0618	1
365.25	52.1786	12	1	49.11	0.0607	1
380.4688	54.3527	12.5	1.0417	49.87	0.0596	1
395.6875	56.5268	13	1.0833	50.6	0.0586	1
410.9062	58.7009	13.5	1.125	51.31	0.0577	1
426.125	60.875	14	1.1667	52	0.0568	1
441.3438	63.0491	14.5	1.2083	52.66	0.0559	1
456.5625	65.2232	15	1.25	53.31	0.0551	1
471.7812	67.3973	15.5	1.2917	53.93	0.0544	1
487	69.5714	16	1.3333	54.55	0.0536	1
502.2188	71.7455	16.5	1.375	55.15	0.0529	1
517.4375	73.9196	17	1.4167	55.73	0.0522	1
532.6562	76.0938	17.5	1.4583	56.31	0.0515	1
547.875	78.2679	18	1.5	56.87	0.0509	1
563.0938	80.442	18.5	1.5417	57.42	0.0502	1
578.3125	82.6161	19	1.5833	57.95	0.0496	1
593.5312	84.7902	19.5	1.625	58.48	0.049	1
608.75	86.9643	20	1.6667	58.99	0.0484	1
623.9688	89.1384	20.5	1.7083	59.5	0.0478	1
639.1875	91.3125	21	1.75	59.99	0.0473	1
654.4062	93.4866	21.5	1.7917	60.47	0.0467	1
669.625	95.6607	22	1.8333	60.93	0.0462	1
684.8438	97.8348	22.5	1.875	61.38	0.0457	1
700.0625	100.0089	23	1.9167	61.83	0.0452	1
715.2812	102.183	23.5	1.9583	62.25	0.0447	1
730.5	104.3571	24	2	62.67	0.0442	1
745.7188	106.5312	24.5	2.0417	63.07	0.0438	1
760.9375	108.7054	25	2.0833	63.46	0.0433	1
776.1562	110.8795	25.5	2.125	63.84	0.0429	1
791.375	113.0536	26	2.1667	64.21	0.0425	1
806.5938	115.2277	26.5	2.2083	64.56	0.0421	1
821.8125	117.4018	27	2.25	64.91	0.0417	1
837.0312	119.5759	27.5	2.2917	65.24	0.0413	1
852.25	121.75	28	2.3333	65.56	0.0409	1
867.4688	123.9241	28.5	2.375	65.87	0.0406	1
882.6875	126.0982	29	2.4167	66.17	0.0402	1
897.9062	128.2723	29.5	2.4583	66.47	0.0399	1
913.125	130.4464	30	2.5	66.75	0.0396	1
928.3438	132.6205	30.5	2.5417	67.03	0.0393	1
943.5625	134.7946	31	2.5833	67.29	0.039	1
958.7812	136.9688	31.5	2.625	67.55	0.0387	1
974	139.1429	32	2.6667	67.8	0.0384	1
989.2188	141.317	32.5	2.7083	68.05	0.0382	1
1004.4375	143.4911	33	2.75	68.29	0.0379	1
1019.6562	145.6652	33.5	2.7917	68.52	0.0377	1
1034.875	147.8393	34	2.8333	68.74	0.0375	1
1050.0938	150.0134	34.5	2.875	68.96	0.0373	1
1065.3125	152.1875	35	2.9167	69.17	0.037	1
1080.5312	154.3616	35.5	2.9583	69.38	0.0368	1
1095.75	156.5357	36	3	69.58	0.0367	1
1110.9688	158.7098	36.5	3.0417	69.78	0.0365	1
1126.1875	160.8839	37	3.0833	69.97	0.0363	1
1141.4062	163.058	37.5	3.125	70.16	0.0361	1
1156.625	165.2321	38	3.1667	70.35	0.0359	1
1171.8438	167.4062	38.5	3.2083	70.53	0.0358	1
1187.0625	169.5804	39	3.25	70.7	0.0356	1
1202.2812	171.7545	39.5	3.2917	70.87	0.0355	1
1217.5	173.9286	40	3.3333	71.04	0.0353	1
1232.7188	176.1027	40.5	3.375	71.21	0.0352	1
1247.9375	178.2768	41	3.4167	71.37	0.0351	1
1263.1562	180.4509	41.5	3.4583	71.54	0.0349	1
1278.375	182.625	42	3.5	71.69	0.0348	1
1293.5938	184.7991	42.5	3.5417	71.85	0.0347	1
1308.8125	186.9732	43	3.5833	72	0.0346	1
1324.0312	189.1473	43.5	3.625	72.16	0.0345	1
1339.25	191.3214	44	3.6667	72.3	0.0343	1
1354.4688	193.4955	44.5	3.7083	72.45	0.0342	1
1369.6875	195.6696	45	3.75	72.6	0.0341	1
1384.9062	197.8438	45.5	3.7917	72.74	0.034	1
1400.125	200.0179	46	3.8333	72.88	0.0339	1
1415.3438	202.192	46.5	3.875	73.02	0.0338	1
1430.5625	204.3661	47	3.9167	73.16	0.0337	1
1445.7812	206.5402	47.5	3.9583	73.3	0.0336	1
1461	208.7143	48	4	73.43	0.0335	1
1476.2188	210.8884	48.5	4.0417	73.56	0.0334	1
1491.4375	213.0625	49	4.0833	73.7	0.0333	1
1506.6562	215.2366	49.5	4.125	73.83	0.0333	1
1521.875	217.4107	50	4.1667	73.96	0.0332	1
1537.0938	219.5848	50.5	4.2083	74.08	0.0331	1
1552.3125	221.7589	51	4.25	74.21	0.033	1
1567.5312	223.933	51.5	4.2917	74.34	0.0329	1
