"cohort","age_group","age_range","model_type","intercept","age_coef","log_coef","log_offset","n_obs","r_squared","formula"
"GSED-BGD","group1","age < 0.75","Count",14.9529001187173,37.3414208639991,2.18258938780594,0.2,40,0.999221391983972,"14.95290 + 37.34142 * age + 2.18259 * log(age + 0.20)"
"GSED-BGD","group2","0.75 <= age < 3.2","Count",16.087877381834,-11.9386835127191,69.254310839664,0.92,127,0.999310574390825,"16.08788 + -11.93868 * age + 69.25431 * log(age + 0.92)"
"GSED-BGD","group3","age >= 3.2","Linear",62.6786450869076,4.17726156446816,NA,NA,20,0.999964860707311,"62.67865 + 4.17726 * age"
"GSED-BRA","group1","age < 0.75","Count",15.9870627636647,37.3623449355944,2.1826405778498,0.2,40,0.999222171356315,"15.98706 + 37.36234 * age + 2.18264 * log(age + 0.20)"
"GSED-BRA","group2","0.75 <= age < 3.2","Count",17.1218140890871,-11.9185399120297,69.2558446273096,0.92,127,0.999312707276065,"17.12181 + -11.91854 * age + 69.25584 * log(age + 0.92)"
"GSED-BRA","group3","age >= 3.2","Linear",63.7138817712922,4.19767294544317,NA,NA,20,0.999965213160091,"63.71388 + 4.19767 * age"
"GSED-CHN","group1","age < 0.75","Count",14.0548195487631,38.5195744394067,2.18547170126588,0.2,40,0.999263509235374,"14.05482 + 38.51957 * age + 2.18547 * log(age + 0.20)"
"GSED-CHN","group2","0.75 <= age < 3.2","Count",15.1770751338296,-10.8044752365745,69.3406724920834,0.92,127,0.999417123909849,"15.17708 + -10.80448 * age + 69.34067 * log(age + 0.92)"
"GSED-CHN","group3","age >= 3.2","Linear",61.8410395252141,5.32654751320878,NA,NA,20,0.999978782185653,"61.84104 + 5.32655 * age"
"GSED-CIV","group1","age < 0.75","Count",16.8262441668321,36.5093570872177,2.18055377150477,0.2,40,0.999189419115399,"16.82624 + 36.50936 * age + 2.18055 * log(age + 0.20)"
"GSED-CIV","group2","0.75 <= age < 3.2","Count",17.9702060374793,-12.7397111899293,69.1933184493836,0.92,127,0.999217250886188,"17.97021 + -12.73971 * age + 69.19332 * log(age + 0.92)"
"GSED-CIV","group3","age >= 3.2","Linear",64.5092790292907,3.36558537294933,NA,NA,20,0.999945140146558,"64.50928 + 3.36559 * age"
"GSED-NLD","group1","age < 0.75","Count",13.088107356648,38.410595303702,2.18520508744209,0.2,40,0.999259759399173,"13.08811 + 38.41060 * age + 2.18521 * log(age + 0.20)"
"GSED-NLD","group2","0.75 <= age < 3.2","Count",14.2115396961783,-10.9093894347093,69.3326840443673,0.92,127,0.999408319945512,"14.21154 + -10.90939 * age + 69.33268 * log(age + 0.92)"
"GSED-NLD","group3","age >= 3.2","Linear",60.8687333984298,5.22023863125477,NA,NA,20,0.999977872195521,"60.86873 + 5.22024 * age"
"GSED-PAK","group1","age < 0.75","Count",13.2449064801271,36.9752058650437,2.18169345501522,0.2,40,0.999207558443217,"13.24491 + 36.97521 * age + 2.18169 * log(age + 0.20)"
"GSED-PAK","group2","0.75 <= age < 3.2","Count",14.3838381252626,-12.2912386390912,69.2274663491742,0.92,127,0.999271621762653,"14.38384 + -12.29124 * age + 69.22747 * log(age + 0.92)"
"GSED-PAK","group3","age >= 3.2","Linear",60.9518535126757,3.82001972324892,NA,NA,20,0.999957734890462,"60.95185 + 3.82002 * age"
"GSED-TZA","group1","age < 0.75","Count",14.7517263139647,36.7909886417875,2.18124277371756,0.2,40,0.99920045922147,"14.75173 + 36.79099 * age + 2.18124 * log(age + 0.20)"
"GSED-TZA","group2","0.75 <= age < 3.2","Count",15.8926471328846,-12.468584533197,69.2139627583525,0.92,127,0.99925080124733,"15.89265 + -12.46858 * age + 69.21396 * log(age + 0.92)"
"GSED-TZA","group3","age >= 3.2","Linear",62.4492174162163,3.64031626978873,NA,NA,20,0.999953321112063,"62.44922 + 3.64032 * age"
