day	week	month	year	mu	sigma	nu	tau
14	2	0.46	0.0383	13.68	0.2456	1.1731	15.422
21	3	0.69	0.0575	14.36	0.2324	1.2062	15.54
28	4	0.92	0.0767	15.02	0.2206	1.2375	15.652
35	5	1.15	0.0958	15.68	0.21	1.267	15.758
42	6	1.38	0.115	16.35	0.2005	1.2951	15.86
49	7	1.61	0.1342	17.03	0.1917	1.3218	15.957
56	8	1.84	0.1533	17.73	0.1838	1.3472	16.051
63	9	2.07	0.1725	18.45	0.1765	1.3715	16.141
70	10	2.3	0.1916	19.2	0.1698	1.3947	16.228
77	11	2.53	0.2108	19.97	0.1636	1.417	16.312
84	12	2.76	0.23	20.76	0.1578	1.4383	16.393
91	13	2.99	0.2491	21.55	0.1525	1.4588	16.471
98	14	3.22	0.2683	22.34	0.1475	1.4785	16.546
105	15	3.45	0.2875	23.11	0.1429	1.4975	16.619
112	16	3.68	0.3066	23.89	0.1386	1.5159	16.69
119	17	3.91	0.3258	24.68	0.1346	1.5336	16.759
126	18	4.14	0.345	25.47	0.1308	1.5507	16.825
133	19	4.37	0.3641	26.27	0.1272	1.5672	16.89
140	20	4.6	0.3833	27.09	0.1239	1.5832	16.952
147	21	4.83	0.4025	27.92	0.1208	1.5987	17.013
154	22	5.06	0.4216	28.76	0.1179	1.6138	17.071
161	23	5.29	0.4408	29.62	0.1151	1.6284	17.128
168	24	5.52	0.46	30.48	0.1125	1.6426	17.184
175	25	5.749	0.4791	31.34	0.1101	1.6564	17.237
182	26	5.979	0.4983	32.2	0.1078	1.6698	17.289
189	27	6.209	0.5175	33.05	0.1056	1.6829	17.34
196	28	6.439	0.5366	33.87	0.1035	1.6957	17.389
203	29	6.669	0.5558	34.67	0.1015	1.7082	17.436
210	30	6.899	0.5749	35.44	0.0997	1.7204	17.482
217	31	7.129	0.5941	36.17	0.0979	1.7323	17.527
224	32	7.359	0.6133	36.88	0.0962	1.744	17.57
231	33	7.589	0.6324	37.55	0.0946	1.7554	17.613
238	34	7.819	0.6516	38.2	0.093	1.7666	17.654
245	35	8.049	0.6708	38.83	0.0916	1.7776	17.694
252	36	8.279	0.6899	39.45	0.0901	1.7883	17.732
259	37	8.509	0.7091	40.05	0.0888	1.7988	17.77
266	38	8.739	0.7283	40.63	0.0875	1.8092	17.807
273	39	8.969	0.7474	41.21	0.0862	1.8193	17.843
280	40	9.199	0.7666	41.77	0.085	1.8292	17.877
287	41	9.429	0.7858	42.33	0.0839	1.839	17.911
294	42	9.659	0.8049	42.87	0.0828	1.8486	17.944
301	43	9.889	0.8241	43.4	0.0817	1.858	17.976
308	44	10.119	0.8433	43.93	0.0807	1.8672	18.007
315	45	10.349	0.8624	44.44	0.0797	1.8763	18.038
322	46	10.579	0.8816	44.95	0.0788	1.8853	18.067
329	47	10.809	0.9008	45.45	0.0778	1.894	18.096
336	48	11.039	0.9199	45.95	0.077	1.9027	18.124
343	49	11.269	0.9391	46.43	0.0761	1.9112	18.152
350	50	11.499	0.9582	46.91	0.0753	1.9196	18.178
357	51	11.729	0.9774	47.38	0.0745	1.9278	18.204
364	52	11.959	0.9966	47.85	0.0738	1.9359	18.23
371	53	12.189	1.0157	48.3	0.0731	1.9439	18.255
378	54	12.419	1.0349	48.75	0.0724	1.9518	18.279
385	55	12.649	1.0541	49.19	0.0717	1.9595	18.303
392	56	12.879	1.0732	49.62	0.0711	1.9672	18.326
399	57	13.109	1.0924	50.04	0.0704	1.9747	18.348
406	58	13.339	1.1116	50.45	0.0698	1.9822	18.37
413	59	13.569	1.1307	50.86	0.0693	1.9895	18.392
420	60	13.799	1.1499	51.25	0.0687	1.9968	18.413
427	61	14.029	1.1691	51.64	0.0682	2.0039	18.434
434	62	14.259	1.1882	52.02	0.0676	2.011	18.454
441	63	14.489	1.2074	52.39	0.0671	2.018	18.474
448	64	14.719	1.2266	52.76	0.0666	2.0249	18.493
455	65	14.949	1.2457	53.11	0.0662	2.0317	18.512
