day	week	month	year	mu	sigma	nu	tau
14	2	0.46	0.0383	13.18	0.209	1.4212	40.297
21	3	0.69	0.0575	14.04	0.2016	1.4272	40.178
28	4	0.92	0.0767	14.9	0.1944	1.4332	40.059
35	5	1.15	0.0958	15.76	0.1875	1.4392	39.941
42	6	1.38	0.115	16.62	0.1809	1.4453	39.823
49	7	1.61	0.1342	17.48	0.1746	1.4513	39.705
56	8	1.84	0.1533	18.34	0.1685	1.4573	39.588
63	9	2.07	0.1725	19.2	0.1627	1.4633	39.471
70	10	2.3	0.1916	20.06	0.1572	1.4694	39.354
77	11	2.53	0.2108	20.92	0.1519	1.4754	39.238
84	12	2.76	0.23	21.77	0.1469	1.4814	39.122
91	13	2.99	0.2491	22.63	0.1421	1.4875	39.006
98	14	3.22	0.2683	23.48	0.1375	1.4935	38.891
105	15	3.45	0.2875	24.33	0.1332	1.4995	38.776
112	16	3.68	0.3066	25.18	0.1291	1.5055	38.662
119	17	3.91	0.3258	26.02	0.1251	1.5116	38.547
126	18	4.14	0.345	26.86	0.1214	1.5176	38.433
133	19	4.37	0.3641	27.69	0.1179	1.5236	38.32
140	20	4.6	0.3833	28.52	0.1146	1.5296	38.207
147	21	4.83	0.4025	29.34	0.1114	1.5357	38.094
154	22	5.06	0.4216	30.15	0.1085	1.5417	37.981
161	23	5.29	0.4408	30.96	0.1056	1.5477	37.869
168	24	5.52	0.46	31.75	0.103	1.5537	37.757
175	25	5.749	0.4791	32.54	0.1004	1.5598	37.645
182	26	5.979	0.4983	33.32	0.0981	1.5658	37.534
189	27	6.209	0.5175	34.08	0.0958	1.5718	37.423
196	28	6.439	0.5366	34.83	0.0937	1.5779	37.313
203	29	6.669	0.5558	35.57	0.0916	1.5839	37.203
210	30	6.899	0.5749	36.3	0.0897	1.5899	37.093
217	31	7.129	0.5941	37.01	0.0879	1.5959	36.983
224	32	7.359	0.6133	37.71	0.0862	1.602	36.874
231	33	7.589	0.6324	38.39	0.0846	1.608	36.765
238	34	7.819	0.6516	39.07	0.0831	1.614	36.656
245	35	8.049	0.6708	39.73	0.0817	1.62	36.548
252	36	8.279	0.6899	40.37	0.0803	1.6261	36.44
259	37	8.509	0.7091	41.01	0.079	1.6321	36.332
266	38	8.739	0.7283	41.63	0.0778	1.6381	36.225
273	39	8.969	0.7474	42.24	0.0767	1.6442	36.118
280	40	9.199	0.7666	42.84	0.0756	1.6502	36.011
287	41	9.429	0.7858	43.42	0.0746	1.6562	35.905
294	42	9.659	0.8049	44	0.0736	1.6622	35.799
301	43	9.889	0.8241	44.56	0.0727	1.6683	35.693
308	44	10.119	0.8433	45.12	0.0718	1.6743	35.587
315	45	10.349	0.8624	45.66	0.071	1.6803	35.482
322	46	10.579	0.8816	46.19	0.0702	1.6863	35.377
329	47	10.809	0.9008	46.72	0.0695	1.6924	35.273
336	48	11.039	0.9199	47.23	0.0688	1.6984	35.169
343	49	11.269	0.9391	47.74	0.0681	1.7044	35.065
350	50	11.499	0.9582	48.23	0.0674	1.7104	34.961
357	51	11.729	0.9774	48.72	0.0668	1.7165	34.858
364	52	11.959	0.9966	49.2	0.0663	1.7225	34.755
371	53	12.189	1.0157	49.67	0.0657	1.7285	34.652
378	54	12.419	1.0349	50.13	0.0652	1.7346	34.55
385	55	12.649	1.0541	50.58	0.0647	1.7406	34.448
392	56	12.879	1.0732	51.03	0.0642	1.7466	34.346
399	57	13.109	1.0924	51.46	0.0637	1.7526	34.244
406	58	13.339	1.1116	51.89	0.0633	1.7587	34.143
413	59	13.569	1.1307	52.31	0.0629	1.7647	34.042
420	60	13.799	1.1499	52.72	0.0625	1.7707	33.942
427	61	14.029	1.1691	53.12	0.0621	1.7767	33.841
434	62	14.259	1.1882	53.52	0.0617	1.7828	33.741
441	63	14.489	1.2074	53.9	0.0614	1.7888	33.642
448	64	14.719	1.2266	54.28	0.0611	1.7948	33.542
455	65	14.949	1.2457	54.65	0.0607	1.8008	33.443
462	66	15.179	1.2649	55.02	0.0604	1.8069	33.344
469	67	15.409	1.2841	55.37	0.0602	1.8129	33.246
476	68	15.639	1.3032	55.72	0.0599	1.8189	33.148
483	69	15.869	1.3224	56.06	0.0596	1.825	33.05
490	70	16.099	1.3415	56.39	0.0594	1.831	32.952
497	71	16.329	1.3607	56.72	0.0591	1.837	32.855
504	72	16.559	1.3799	57.04	0.0589	1.843	32.758
511	73	16.789	1.399	57.35	0.0587	1.8491	32.661
518	74	17.018	1.4182	57.66	0.0585	1.8551	32.564
525	75	17.248	1.4374	57.96	0.0584	1.8611	32.468
532	76	17.478	1.4565	58.26	0.0582	1.8671	32.372
539	77	17.708	1.4757	58.55	0.058	1.8732	32.276
546	78	17.938	1.4949	58.84	0.0579	1.8792	32.181
553	79	18.168	1.514	59.12	0.0578	1.8852	32.086
560	80	18.398	1.5332	59.4	0.0576	1.8913	31.991
567	81	18.628	1.5524	59.67	0.0575	1.8973	31.897
574	82	18.858	1.5715	59.94	0.0574	1.9033	31.802
581	83	19.088	1.5907	60.2	0.0573	1.9093	31.708
588	84	19.318	1.6099	60.47	0.0572	1.9154	31.615
595	85	19.548	1.629	60.73	0.0571	1.9214	31.521
602	86	19.778	1.6482	60.98	0.0571	1.9274	31.428
609	87	20.008	1.6674	61.24	0.057	1.9334	31.335
616	88	20.238	1.6865	61.49	0.0569	1.9395	31.243
623	89	20.468	1.7057	61.74	0.0568	1.9455	31.15
630	90	20.698	1.7248	61.98	0.0568	1.9515	31.058
637	91	20.928	1.744	62.23	0.0567	1.9575	30.967
644	92	21.158	1.7632	62.47	0.0567	1.9636	30.875
651	93	21.388	1.7823	62.71	0.0566	1.9696	30.784
658	94	21.618	1.8015	62.95	0.0565	1.9756	30.693
665	95	21.848	1.8207	63.18	0.0565	1.9817	30.602
672	96	22.078	1.8398	63.42	0.0564	1.9877	30.512
679	97	22.308	1.859	63.65	0.0564	1.9937	30.422
686	98	22.538	1.8782	63.88	0.0563	1.9997	30.332
693	99	22.768	1.8973	64.11	0.0563	2.0058	30.242
700	100	22.998	1.9165	64.34	0.0562	2.0118	30.153
707	101	23.228	1.9357	64.57	0.0561	2.0178	30.064
714	102	23.458	1.9548	64.8	0.0561	2.0238	29.975
721	103	23.688	1.974	65.02	0.056	2.0299	29.886
728	104	23.918	1.9932	65.24	0.0559	2.0359	29.798
735	105	24.148	2.0123	65.47	0.0558	2.0419	29.71
742	106	24.378	2.0315	65.69	0.0558	2.0479	29.622
749	107	24.608	2.0507	65.91	0.0557	2.054	29.534
756	108	24.838	2.0698	66.13	0.0556	2.06	29.447
763	109	25.068	2.089	66.35	0.0555	2.066	29.36
770	110	25.298	2.1081	66.57	0.0554	2.0721	29.273
777	111	25.528	2.1273	66.79	0.0553	2.0781	29.187
784	112	25.758	2.1465	67	0.0551	2.0841	29.101
791	113	25.988	2.1656	67.22	0.055	2.0901	29.015
798	114	26.218	2.1848	67.43	0.0549	2.0962	28.929
805	115	26.448	2.204	67.65	0.0548	2.1022	28.843
812	116	26.678	2.2231	67.86	0.0546	2.1082	28.758
819	117	26.908	2.2423	68.07	0.0545	2.1142	28.673
826	118	27.138	2.2615	68.29	0.0544	2.1203	28.589
833	119	27.368	2.2806	68.5	0.0542	2.1263	28.504
840	120	27.598	2.2998	68.71	0.0541	2.1323	28.42
847	121	27.828	2.319	68.91	0.0539	2.1383	28.336
854	122	28.057	2.3381	69.12	0.0538	2.1444	28.252
861	123	28.287	2.3573	69.32	0.0536	2.1504	28.169
868	124	28.517	2.3765	69.53	0.0535	2.1564	28.085
875	125	28.747	2.3956	69.73	0.0534	2.1625	28.002
882	126	28.977	2.4148	69.93	0.0532	2.1685	27.92
889	127	29.207	2.4339	70.13	0.0531	2.1745	27.837
896	128	29.437	2.4531	70.32	0.053	2.1805	27.755
903	129	29.667	2.4723	70.51	0.0529	2.1866	27.673
910	130	29.897	2.4914	70.71	0.0528	2.1926	27.591
917	131	30.127	2.5106	70.89	0.0526	2.1986	27.51
924	132	30.357	2.5298	71.08	0.0525	2.2046	27.428
931	133	30.587	2.5489	71.26	0.0524	2.2107	27.347
938	134	30.817	2.5681	71.45	0.0523	2.2167	27.266
945	135	31.047	2.5873	71.62	0.0523	2.2227	27.186
952	136	31.277	2.6064	71.8	0.0522	2.2287	27.105
959	137	31.507	2.6256	71.97	0.0521	2.2348	27.025
