day	week	month	year	mu	sigma	nu	tau
14	2	0.46	0.0383	13.18	0.2075	1.42	34.189
21	3	0.69	0.0575	14.04	0.2001	1.426	34.121
28	4	0.92	0.0767	14.9	0.193	1.432	34.053
35	5	1.15	0.0958	15.76	0.1861	1.438	33.985
42	6	1.38	0.115	16.62	0.1795	1.444	33.918
49	7	1.61	0.1342	17.47	0.1733	1.45	33.85
56	8	1.84	0.1533	18.33	0.1672	1.456	33.783
63	9	2.07	0.1725	19.19	0.1615	1.462	33.716
70	10	2.3	0.1916	20.05	0.156	1.4681	33.649
77	11	2.53	0.2108	20.91	0.1508	1.4741	33.582
84	12	2.76	0.23	21.77	0.1458	1.4801	33.515
91	13	2.99	0.2491	22.62	0.141	1.4861	33.448
98	14	3.22	0.2683	23.48	0.1365	1.4921	33.382
105	15	3.45	0.2875	24.33	0.1322	1.4981	33.315
112	16	3.68	0.3066	25.18	0.1281	1.5041	33.249
119	17	3.91	0.3258	26.02	0.1242	1.5101	33.183
126	18	4.14	0.345	26.86	0.1205	1.5161	33.117
133	19	4.37	0.3641	27.69	0.117	1.5221	33.051
140	20	4.6	0.3833	28.52	0.1137	1.5281	32.985
147	21	4.83	0.4025	29.34	0.1106	1.5341	32.92
154	22	5.06	0.4216	30.15	0.1076	1.5401	32.854
161	23	5.29	0.4408	30.96	0.1048	1.5461	32.789
168	24	5.52	0.46	31.76	0.1022	1.5522	32.724
175	25	5.749	0.4791	32.54	0.0997	1.5582	32.659
182	26	5.979	0.4983	33.32	0.0973	1.5642	32.594
189	27	6.209	0.5175	34.08	0.0951	1.5702	32.529
196	28	6.439	0.5366	34.84	0.093	1.5762	32.464
203	29	6.669	0.5558	35.58	0.091	1.5822	32.4
210	30	6.899	0.5749	36.3	0.0891	1.5882	32.335
217	31	7.129	0.5941	37.01	0.0873	1.5942	32.271
224	32	7.359	0.6133	37.71	0.0856	1.6002	32.207
231	33	7.589	0.6324	38.4	0.084	1.6062	32.143
238	34	7.819	0.6516	39.08	0.0825	1.6122	32.079
245	35	8.049	0.6708	39.74	0.0811	1.6182	32.015
252	36	8.279	0.6899	40.38	0.0797	1.6242	31.951
259	37	8.509	0.7091	41.02	0.0784	1.6302	31.888
266	38	8.739	0.7283	41.64	0.0772	1.6363	31.824
273	39	8.969	0.7474	42.25	0.0761	1.6423	31.761
280	40	9.199	0.7666	42.85	0.075	1.6483	31.698
287	41	9.429	0.7858	43.44	0.074	1.6543	31.635
294	42	9.659	0.8049	44.01	0.073	1.6603	31.572
301	43	9.889	0.8241	44.58	0.0721	1.6663	31.509
308	44	10.119	0.8433	45.13	0.0712	1.6723	31.446
315	45	10.349	0.8624	45.67	0.0704	1.6783	31.384
322	46	10.579	0.8816	46.21	0.0696	1.6843	31.321
329	47	10.809	0.9008	46.73	0.0689	1.6903	31.259
336	48	11.039	0.9199	47.24	0.0682	1.6963	31.197
343	49	11.269	0.9391	47.75	0.0675	1.7023	31.135
350	50	11.499	0.9582	48.25	0.0669	1.7083	31.073
357	51	11.729	0.9774	48.73	0.0662	1.7143	31.011
364	52	11.959	0.9966	49.21	0.0657	1.7204	30.949
371	53	12.189	1.0157	49.68	0.0651	1.7264	30.888
378	54	12.419	1.0349	50.15	0.0646	1.7324	30.826
385	55	12.649	1.0541	50.6	0.0641	1.7384	30.765
392	56	12.879	1.0732	51.04	0.0636	1.7444	30.704
399	57	13.109	1.0924	51.48	0.0631	1.7504	30.643
406	58	13.339	1.1116	51.91	0.0627	1.7564	30.582
413	59	13.569	1.1307	52.33	0.0623	1.7624	30.521
420	60	13.799	1.1499	52.74	0.0619	1.7684	30.46
427	61	14.029	1.1691	53.14	0.0615	1.7744	30.4
434	62	14.259	1.1882	53.54	0.0611	1.7804	30.339
441	63	14.489	1.2074	53.92	0.0608	1.7864	30.279
448	64	14.719	1.2266	54.3	0.0605	1.7924	30.219
455	65	14.949	1.2457	54.67	0.0601	1.7984	30.158
462	66	15.179	1.2649	55.04	0.0598	1.8045	30.098
469	67	15.409	1.2841	55.39	0.0596	1.8105	30.039
476	68	15.639	1.3032	55.74	0.0593	1.8165	29.979
483	69	15.869	1.3224	56.08	0.059	1.8225	29.919
490	70	16.099	1.3415	56.42	0.0588	1.8285	29.86
497	71	16.329	1.3607	56.74	0.0586	1.8345	29.8
504	72	16.559	1.3799	57.06	0.0583	1.8405	29.741
511	73	16.789	1.399	57.38	0.0581	1.8465	29.682
518	74	17.018	1.4182	57.68	0.0579	1.8525	29.623
525	75	17.248	1.4374	57.99	0.0578	1.8585	29.564
532	76	17.478	1.4565	58.28	0.0576	1.8645	29.505
