scale	item	tau
gcdg	aqicmc022	44.3
gcdg	aqicmc023	46.77
gcdg	aqicmc027	50.53
gcdg	aqicmc033	58.75
gcdg	aqicmc037	67.34
gcdg	aqicmc038	65.82
gcdg	aqicmc040	65.67
gcdg	aqicmc041	70.36
gcdg	aqicmc061	70.65
gcdg	aqifmc015	35.91
gcdg	aqifmc025	53.17
gcdg	aqifmc033	69.66
gcdg	aqigmc012	35.84
gcdg	aqigmc017	40.56
gcdg	aqigmc018	41.2
gcdg	aqigmc020	44.39
gcdg	aqigmc021	43.28
gcdg	aqigmc022	46.79
gcdg	aqigmc023	46.57
gcdg	aqigmc024	50.07
gcdg	aqigmc025	50.14
gcdg	aqigmc026	50.77
gcdg	aqigmc027	50.62
gcdg	aqigmc029	52.73
gcdg	aqipxc021	46.95
gcdg	aqipxc023	50.19
gcdg	aqipxc037	67.8
gcdg	aqipxc038	69.48
gcdg	aqipxc043	66.52
gcdg	barxxx001	11.44
gcdg	barxxx002	10
gcdg	barxxx005	36.43
gcdg	barxxx006	40.16
gcdg	barxxx007	44.95
gcdg	barxxx008	42.93
gcdg	barxxx009	44.01
gcdg	barxxx010	48.84
gcdg	barxxx011	49.88
gcdg	barxxx012	49.86
gcdg	barxxx014	60.92
gcdg	barxxx015	63.58
gcdg	barxxx017	71.29
gcdg	barxxx018	69.66
gcdg	barxxx019	70.09
gcdg	by1mdd039	36.29
gcdg	by1mdd044	36.81
gcdg	by1mdd046	34.68
gcdg	by1mdd047	30.9
gcdg	by1mdd051	33.66
gcdg	by1mdd054	35.16
gcdg	by1mdd056	36.9
gcdg	by1mdd057	34.29
gcdg	by1mdd058	36.16
gcdg	by1mdd060	37.93
gcdg	by1mdd062	37.75
gcdg	by1mdd063	35.98
gcdg	by1mdd064	36.27
gcdg	by1mdd065	38.48
gcdg	by1mdd066	35.28
gcdg	by1mdd067	37.54
gcdg	by1mdd068	36.01
gcdg	by1mdd069	36.53
gcdg	by1mdd070	38.67
gcdg	by1mdd071	37.06
gcdg	by1mdd072	36.07
gcdg	by1mdd073	38.6
gcdg	by1mdd078	38.92
gcdg	by1mdd079	41.5
gcdg	by1mdd080	39.96
gcdg	by1mdd082	43.63
gcdg	by1mdd083	40.86
gcdg	by1mdd085	42.31
gcdg	by1mdd086	43.58
gcdg	by1mdd087	42.79
gcdg	by1mdd088	42.82
gcdg	by1mdd089	46.59
gcdg	by1mdd090	44.53
gcdg	by1mdd091	43.41
gcdg	by1mdd094	46.38
gcdg	by1mdd095	47.47
gcdg	by1mdd096	49.21
gcdg	by1mdd097	46.63
gcdg	by1mdd098	47.8
gcdg	by1mdd099	46.2
gcdg	by1mdd100	47.12
gcdg	by1mdd101	48.72
gcdg	by1mdd102	46.58
gcdg	by1mdd103	46.23
gcdg	by1mdd104	49
gcdg	by1mdd105	48.81
gcdg	by1mdd106	51.03
gcdg	by1mdd107	47.86
gcdg	by1mdd108	49.66
gcdg	by1mdd111	53.17
gcdg	by1mdd112	51.7
gcdg	by1mdd113	52.77
gcdg	by1mdd115	51.73
gcdg	by1mdd116	50.6
gcdg	by1mdd117	52.92
gcdg	by1mdd118	54.08
gcdg	by1mdd119	57.07
gcdg	by1mdd124	57.24
gcdg	by1mdd131	57.32
gcdg	by1mdd134	57.74
gcdg	by1mdd136	59.15
gcdg	by1mdd143	60.87
gcdg	by1pdd020	38.51
gcdg	by1pdd023	33.94
gcdg	by1pdd025	35.79
gcdg	by1pdd027	36.5
gcdg	by1pdd028	36.43
gcdg	by1pdd029	37.74
gcdg	by1pdd030	37.71
gcdg	by1pdd031	38.03
gcdg	by1pdd033	42.83
gcdg	by1pdd034	37.35
gcdg	by1pdd037	43.04
gcdg	by1pdd038	32.21
gcdg	by1pdd040	40.95
gcdg	by1pdd041	44.58
gcdg	by1pdd043	48.35
gcdg	by1pdd045	48.07
gcdg	by1pdd046	49.86
gcdg	by1pdd047	47.26
gcdg	by1pdd048	48.49
gcdg	by1pdd049	51.84
gcdg	by1pdd050	52.97
gcdg	by1pdd051	51.63
gcdg	by1pdd052	51.63
gcdg	by2mdd094	53.85
gcdg	by2mdd097	53.17
gcdg	by2mdd098	54.08
gcdg	by2mdd099	55.3
gcdg	by2mdd110	61.43
gcdg	by2mdd114	59.15
gcdg	by2mdd122	66.6
gcdg	by2mdd123	60.87
gcdg	by2mdd125	67.79
gcdg	by2mdd126	69.59
gcdg	by2mdd127	66.93
gcdg	by2pdd062	49.86
gcdg	by2pdd063	47.56
gcdg	by2pdd066	50.94
gcdg	by2pdd067	51.4
gcdg	by2pdd078	66.1
gcdg	by3cgd034	42.4
gcdg	by3cgd036	44.53
gcdg	by3cgd039	51.42
gcdg	by3cgd042	49.51
gcdg	by3cgd044	53.01
gcdg	by3cgd046	56.2
gcdg	by3cgd047	51.09
gcdg	by3cgd049	56.21
gcdg	by3cgd051	55.11
gcdg	by3cgd055	54.08
gcdg	by3cgd056	60.77
gcdg	by3cgd058	59.5
gcdg	by3cgd059	60.04
gcdg	by3cgd060	63.59
gcdg	by3cgd061	61.98
gcdg	by3cgd062	60.45
gcdg	by3cgd063	63.66
gcdg	by3cgd064	64.7
gcdg	by3cgd065	65.25
gcdg	by3cgd066	65.34
gcdg	by3cgd067	65.81
gcdg	by3cgd068	71.66
gcdg	by3cgd073	69.71
gcdg	by3cgd074	69.72
gcdg	by3exd014	50.34
gcdg	by3exd015	47.75
gcdg	by3exd020	58.21
gcdg	by3exd021	57.59
gcdg	by3exd022	58.19
gcdg	by3exd023	61.88
gcdg	by3exd024	60.15
gcdg	by3exd025	63.42
gcdg	by3exd026	64.01
gcdg	by3exd027	63.06
gcdg	by3exd029	66.36
gcdg	by3exd031	66.51
gcdg	by3exd034	69.5
gcdg	by3exd035	69.5
gcdg	by3exd037	71.85
gcdg	by3exd039	70.79
gcdg	by3exd042	72.51
gcdg	by3exd043	73.62
gcdg	by3fmd026	42.93
gcdg	by3fmd027	48.74
gcdg	by3fmd028	47.02
gcdg	by3fmd029	49.27
gcdg	by3fmd030	48.92
gcdg	by3fmd031	53.17
gcdg	by3fmd032	53.35
gcdg	by3fmd033	57.08
gcdg	by3fmd035	52.83
gcdg	by3fmd036	56.14
gcdg	by3fmd038	60.87
gcdg	by3fmd040	65.16
gcdg	by3fmd041	66.1
gcdg	by3fmd042	65.66
gcdg	by3fmd043	69.66
gcdg	by3fmd044	66.09
gcdg	by3fmd045	65.32
gcdg	by3fmd049	70.11
gcdg	by3fmd050	69.31
gcdg	by3fmd052	67.8
gcdg	by3fmd061	72.56
gcdg	by3gmd021	32.11
gcdg	by3gmd025	36.43
gcdg	by3gmd030	42.44
gcdg	by3gmd031	42.5
gcdg	by3gmd032	43.26
gcdg	by3gmd033	45.07
gcdg	by3gmd035	44.01
gcdg	by3gmd037	45.19
gcdg	by3gmd038	46.3
gcdg	by3gmd039	46.6
gcdg	by3gmd040	48.24
gcdg	by3gmd041	50.65
gcdg	by3gmd042	49.86
gcdg	by3gmd043	51.7
gcdg	by3gmd044	50.97
gcdg	by3gmd045	50.83
gcdg	by3gmd046	51.33
gcdg	by3gmd048	57.04
gcdg	by3gmd050	55.87
gcdg	by3gmd051	58.27
gcdg	by3gmd052	58.88
gcdg	by3gmd053	60.85
gcdg	by3gmd059	66.58
gcdg	by3gmd060	67.03
gcdg	by3gmd062	68.27
gcdg	by3gmd063	66.75
gcdg	by3red015	49.7
gcdg	by3red016	55.08
gcdg	by3red017	52.62
gcdg	by3red019	55.25
gcdg	by3red020	56.39
gcdg	by3red021	56.16
gcdg	by3red022	59.06
gcdg	by3red023	59.41
gcdg	by3red024	59.58
gcdg	by3red025	61.69
gcdg	by3red026	63.18
gcdg	by3red027	66.48
gcdg	by3red028	66.5
gcdg	by3red029	66.32
gcdg	by3red031	67.8
gcdg	by3red040	71.04
gcdg	ddicmm029	2.43
gcdg	ddicmm030	11.44
gcdg	ddicmm031	14.55
gcdg	ddicmm033	36.65
gcdg	ddicmm034	40.8
gcdg	ddicmm036	42.79
gcdg	ddicmm037	48.78
gcdg	ddicmm039	51.1
gcdg	ddicmm041	59.15
