equate	instrument	domain	item	label	(0,6]	(6,12]	(12,18]	(18,24]	(24,30]	(30,36]	(36,42]	(42,48]	(48,54]	(54,60]	<NA>
EXP4	ASQ	Expressive	acom1	Does your baby sometimes make throaty or gurgling sounds? 											
	ASQ		acom2	After you have been out of sight, does your baby smile or get excited when she sees you?											
EXP6	ASQ	Expressive	acom3	Does your baby make cooing sounds such as "ooo", "gah," and  "ah"? 											
	ASQ		acom4	Does your baby make high-pitched squeals?											
	ASQ		acom5	Does your baby smile when you talk to him?											
	ASQ		acom6	When you speak to your baby, does she make sounds back to you?											
	ASQ	Fine Motor	af1	Does your baby touch her face with her hands? 											
	ASQ	Fine Motor	af2	Does your baby grasp your finger if you touch the palm of her hand?											
FM2	ASQ	Fine Motor	af3	Does your baby hold his hands open or partly open when he is awake (rather than in fists, as they were when he was a newborn)? 											
FM1	ASQ	Fine Motor	af4	Is your baby's hand usually tightly closed when he is awake?(If your baby used to do this but no longer does, mark "yes.")  											
	ASQ	Fine Motor	af5	Does your baby grab or scratch at her clothes?											
FM56	ASQ	Fine Motor	af6	When you put a toy in his hand, does your baby hold it in his hand briefly?  											
GM2	ASQ	Gross Motor	ag1	While your baby is on his back, does he wave his arms and legs, wiggle and squirm?											
GM1	ASQ	Gross Motor	ag2	When your baby is on his back, does he kick his legs?											
	ASQ	Gross Motor	ag3	After holding her head up while on her tummy, does your baby lay her head back down on the floor, rather than let it drop or fall forward?											
GM3	ASQ	Gross Motor	ag4	When your baby is on his tummy, does he hold his head up for a few seconds?											
GM5	ASQ	Gross Motor	ag5	While your baby is on his back, does he move his head from side to side?											
GM5	ASQ	Gross Motor	ag6	When your baby is on her tummy, does she turn her head to the side?											
FM34	ASQ	Fine Motor	apbs2	When you move a small toy up and down slowly in front of her face (about 10 inches away), does your baby follow the toy with her eyes?											
FM23	ASQ	Fine Motor	apbs3	When you move a toy slowly from side to side in front of your baby's face (about 10 inches away), does your baby follow the toy with his eyes, sometimes turning his head?											
FM12	ASQ	Fine Motor	apbs4	When you move around, does your baby follow you with her eyes ?											
	Bayley1		b1m100	puts 3 or more cubes in cup											
EXP12	Bayley1	Expressive	b1m101	jabbers expressively											
	Bayley1		b1m102	uncovers blue box											
FM20	Bayley1	Fine Motor	b1m103	turns pages of books											
COG44	Bayley1	Cognitive	b1m104	*pats toy (whistle doll) in imitation											
COG41	Bayley1	Cognitive	b1m105	dangles ring by string											
EXP16	Bayley1	Expressive	b1m106	imitates words											
	Bayley1		b1m107	puts beads in box (6 of 8)											
COG47	Bayley1	Cognitive	b1m108	places 1 peg repeateadly											
COG42	Bayley1	Cognitive	b1m109	removes pellet from bottle											
COG51	Bayley1	Cognitive	b1m110	blue board: places 1 round block											
FM25	Bayley1	Fine Motor	b1m111	builds tower of 2 cubes											
FM24	Bayley1	Fine Motor	b1m112	scribbles sponstaneously											
EXP18	Bayley1	Expressive	b1m113	says 2 words											
COG54	Bayley1	Cognitive	b1m114	puts 9 cubes in cup											
	Bayley1		b1m115	closes round box											
EXP9	Bayley1	Expressive	b1m116	uses gestures to  make wants known											
REC8	Bayley1	Receptive	b1m117	shows shoes or other clothing, or own toy											
COG55	Bayley1	Cognitive	b1m118	pegs placed in 70 seconds											
	Bayley1		b1m119	builds tower of 3 cubes											
COG49	Bayley1	Cognitive	b1m120	pink board: places round block											
	Bayley1		b1m121	blue board: places 2 round blocks											
COG57	Bayley1	Cognitive	b1m122	attains toy with stick											
COG62	Bayley1	Cognitive	b1m123	pegs placed in 42 seconds											
EXP20	Bayley1	Expressive	b1m124	names 1 object											
FM26	Bayley1	Fine Motor	b1m125	imitates crayon stroke											
REC13	Bayley1	Receptive	b1m126	follows directions doll (check parts passed)											
EXP19	Bayley1	Expressive	b1m127	uses words to  make wants known											
REC17	Bayley1	Receptive	b1m128	points to parts of doll (check parts recognised, check manual number of parts)											
COG58	Bayley1	Cognitive	b1m129	blue board: places 2 round and 2 square blocks											
EXP22	Bayley1	Expressive	b1m130	names 1 picture											
	Bayley1		b1m131	finds 2 objects											
REC14	Bayley1	Receptive	b1m132	points to 3 pictures											
	Bayley1		b1m133												
	Bayley1		b1m134	pegs placed in 30 seconds											
	Bayley1		b1m135												
EXP26	Bayley1	Expressive	b1m136	sentence of 2 words											
COG56	Bayley1	Cognitive	b1m137	pink board: completes											
	Bayley1		b1m138												
	Bayley1		b1m139												
	Bayley1		b1m140	broken doll: mends approximately											
	Bayley1		b1m141	names 3 pictures											
	Bayley1		b1m142	blue board: places 6 blocks											
FM32	Bayley1	Fine Motor	b1m143	builds tower of 6 cubes											
	Bayley1		b1m144	discriminates 2: cup, plate, box											
EXP50	Bayley1	Expressive	b1m145	names watch, 4th picture											
EXP27	Bayley1	Expressive	b1m146	names 3 objects											
EXP52	Bayley1	Expressive	b1m147	names watch, 4th picture											
FM35	Bayley1	Fine Motor	b1m147	imitates strokes: vertical and horizontal* (see next)											
FM36	Bayley1	Fine Motor	b1m147	imitates strokes: vertical and horizontal* (see previous)											
	Bayley1		b1m148	points to 7 pictures											
EXP28	Bayley1	Expressive	b1m149	names 5 pictures											
EXP51	Bayley1	Expressive	b1m150	names watch, 2nd picture											
COG60	Bayley1	Cognitive	b1m151	pink board: reverse											
	Bayley1		b1m152	discriminates 3: cup, plate, box											
	Bayley1		b1m153	broken doll: mends exactly											
	Bayley1		b1m16												
	Bayley1		b1m17												
	Bayley1		b1m18												
	Bayley1		b1m19												
	Bayley1		b1m20												
	Bayley1		b1m21												
COG7	Bayley1	Cognitive	b1m22	anticipatory excitement											
	Bayley1		b1m23												
	Bayley1		b1m24												
COG6	Bayley1	Cognitive	b1m25	visually recognises mother											
	Bayley1		b1m26												
	Bayley1		b1m27												
	Bayley1		b1m28												
	Bayley1		b1m29												
	Bayley1		b1m30												
COG9	Bayley1	Cognitive	b1m31	reacts to disappearence of face											
	Bayley1		b1m32												
	Bayley1		b1m33												
	Bayley1		b1m34												
	Bayley1		b1m35												
COG16	Bayley1	Cognitive	b1m36	Simple play with rattle											
	Bayley1		b1m37												
	Bayley1		b1m38												
	Bayley1		b1m39												
	Bayley1		b1m40												
	Bayley1		b1m41												
	Bayley1		b1m42												
	Bayley1		b1m43												
COG17	Bayley1	Cognitive	b1m44	brings ring to mouth											
COG18	Bayley1	Cognitive	b1m45	inspects own hand											
	Bayley1		b1m46												
REC46	Bayley1	Receptive	b1m47	turns head to sound of bell											
	Bayley1		b1m48	turns head to sound of rattle											
COG21	Bayley1	Cognitive	b1m49	reaches for cube											
	Bayley1		b1m50												
	Bayley1		b1m51												
	Bayley1		b1m52												
COG19	Bayley1	Cognitive	b1m53	mirror image approach											
	Bayley1		b1m54												
	Bayley1		b1m55												
COG30	Bayley1	Cognitive	b1m56	retains 2 cubes											
	Bayley1		b1m57												
	Bayley1		b1m58												
	Bayley1		b1m59												
	Bayley1		b1m60												
	Bayley1		b1m61												
	Bayley1		b1m62												
	Bayley1		b1m63												
COG27	Bayley1	Cognitive	b1m64	reaches for second cube											
	Bayley1		b1m65												
COG24	Bayley1	Cognitive	b1m66	bangs in play											
	Bayley1		b1m67	sustained inspection of ring											
COG23	Bayley1	Cognitive	b1m68	exploitive string play											
FM14	Bayley1	Fine Motor	b1m69	transfers objects hand to hand											
	Bayley1		b1m70	picks up cube deftly and directly											
	Bayley1		b1m71	pulls string: secures ring											
	Bayley1		b1m72	interest in sound production											
FM18	Bayley1	Fine Motor	b1m73	lifts cup with handle											
	Bayley1		b1m74	attends to scribbling											
COG25	Bayley1	Cognitive	b1m75	looks for fallen spoon											
COG22	Bayley1	Cognitive	b1m76	playful response to mirror											
COG33	Bayley1	Cognitive	b1m77	retains 2 of 3 cubes offered											
COG26	Bayley1	Cognitive	b1m78	manipulates bell: insterest in details											
EXP49	Bayley1	Expressive	b1m79	vocalizes 4 different syllables											
COG29	Bayley1	Cognitive	b1m80	pulls string adaptively: secures ring											
	Bayley1		b1m81												
COG37	Bayley1	Cognitive	b1m82	attempts to secure 3 cubes											
COG31	Bayley1	Cognitive	b1m83	rings bell purposely											
REC3	Bayley1	Receptive	b1m84	listens selectively with familiar words											
EXP10	Bayley1	Expressive	b1m85	says "da-da" or equivalent											
COG28	Bayley1	Cognitive	b1m86	*uncovers toy (check manual if by pulling cloth											
COG38	Bayley1	Cognitive	b1m87	fingers holes in pegboard											
	Bayley1		b1m88	picks up cup, secures cube											
REC6	Bayley1	Receptive	b1m89	responds to verbal request											
COG36	Bayley1	Cognitive	b1m90	puts cube in cup on command											
	Bayley1		b1m91	looks for content of box											
	Bayley1		b1m92												
COG32	Bayley1	Cognitive	b1m93	looks at pictures in book											
REC4	Bayley1	Receptive	b1m94	inhibits on command											
	Bayley1		b1m95	attempting to imitate scribble											
	Bayley1		b1m96	unwraps cube											
	Bayley1		b1m97												
FM21	Bayley1	Fine Motor	b1m98	holds crayon adaptively											
COG39	Bayley1	Cognitive	b1m99	pushes car along											
EXP18	Bayley2	Expressive	b2m100	Uses Words Appropriately Series: 2 words											
REC8	Bayley2	Receptive	b2m101	Shows shoes other clothing or object											
COG50	Bayley2	Cognitive	b2m102	Retrieves toy - visible displacement											
FM26	Bayley2	Fine Motor	b2m103	Imitates Stroke Series: Random											
COG57	Bayley2	Cognitive	b2m104	Uses rod to attain toy											
	Bayley2		b2m105												
EXP19	Bayley2	Expressive	b2m106	Uses word to make wants known											
REC13	Bayley2	Receptive	b2m107	Follows direction doll											
REC17	Bayley2	Receptive	b2m108	Points to 3 body parts											
EXP22	Bayley2	Expressive	b2m109	Names Picture Series: 1 Picture											
EXP20	Bayley2	Expressive	b2m110	Names Object Series: 1 Object											
EXP21	Bayley2	Expressive	b2m111	Combines word and gesture											
COG58	Bayley2	Cognitive	b2m112	Places 4 pieces in 150 sec											
EXP23	Bayley2	Expressive	b2m113	Says 8 words											
EXP26	Bayley2	Expressive	b2m114	Uses a two-word utterance											
COG56	Bayley2	Cognitive	b2m115	Completes pink											
FM38	Bayley2	Fine Motor	b2m116	Differentiates scribble from stroke											
EXP25	Bayley2	Expressive	b2m117	Imitates a two-word utterance											
	Bayley2		b2m118												
COG62	Bayley2	Cognitive	b2m119	Completes pegboard 25 sec											
COG60	Bayley2	Cognitive	b2m120	Completes reversed pink											
EXP30	Bayley2	Expressive	b2m121	Uses pronouns											
	Bayley2		b2m122												
FM32	Bayley2	Fine Motor	b2m123	Tower of 6 cubes											
	Bayley2		b2m124												
COG64	Bayley2	Cognitive	b2m125	Marches pictures											
EXP27	Bayley2	Expressive	b2m126	Names Object Series: 3 Object											
EXP29	Bayley2	Expressive	b2m127	Uses 3 word sentence											
COG68	Bayley2	Cognitive	b2m128	Matches 3 colors											
EXP33	Bayley2	Expressive	b2m129	Makes a contingent utterance											
COG66	Bayley2	Cognitive	b2m130	Blue board - 75 sec											
COG59	Bayley2	Cognitive	b2m131	Attends to story											
	Bayley2		b2m132												
